! User Name:	Aditya
! Sample Name:	MR(DCMode)_FGT CrPS4_20K_PF_M0.7T_RH_0.5T
! Sample ID:	FGT/CrPS4
! Date:	5/4/2022	Time:	7:12 PM
! Current Source:	Keithley 224 Current Source
! Voltmeter V1:	Keithley 182 Degital voltmeter
! Voltmeter V2:	Keithley 2182A  NanoVoltmeter
! V1 (volts):	Rxx  Device 1
! V2 (volts):	Rxy Device 1
! Max Field (Tesla):0.500000	! Data points (0_maxT:50.000000	! Average Number:5.000000	
! Comments:	FGT/CrPS4 device was made in glove using flaking and dry transfering of flakes. 
! 
! 
! 
! 
Data	Time	Magnetic Field (T)	Helium Level (%)	VTI Temperature (K)	Sample Temparture (K)	Current (A) 	Voltage-1(V)	Std. of V1	Voltage-2 (V)	Std. of V2	VTI  Heater Power (%)	Sample Heater Power (%)
5/4/2022	7:14 PM	-0.5003775400	52.000	52.780	54.994	0.0000010000	-0.0000250134	5.8476309213E-9	0.0000110321	1.2135020405E-9	6.700	27.800
5/4/2022	7:15 PM	-0.4903197000	43.100	18.000	20.000	0.0000010000	-0.0000250141	6.5360963998E-9	0.0000110052	4.6368092477E-10	4.100	26.800
5/4/2022	7:16 PM	-0.4802618600	43.100	18.000	20.000	0.0000010000	-0.0000250251	4.6300405119E-9	0.0000110227	7.4295816944E-10	4.100	26.800
5/4/2022	7:16 PM	-0.4702040200	43.100	17.999	20.000	0.0000010000	-0.0000250104	4.6984518929E-9	0.0000109988	3.9154759474E-10	4.100	26.800
5/4/2022	7:17 PM	-0.4601461800	43.100	17.999	20.000	0.0000010000	-0.0000250235	5.3370719796E-9	0.0000110063	8.9206987131E-10	4.100	26.800
5/4/2022	7:18 PM	-0.4500883400	43.100	17.999	20.000	0.0000010000	-0.0000250141	5.6153938480E-9	0.0000110361	1.2455915849E-9	4.100	26.800
5/4/2022	7:18 PM	-0.4400305000	43.100	18.000	20.000	0.0000010000	-0.0000250243	2.5952502128E-9	0.0000110123	8.2739529308E-10	4.100	26.800
5/4/2022	7:19 PM	-0.4299726600	43.100	18.001	20.000	0.0000010000	-0.0000250148	6.3560257979E-9	0.0000110158	3.8708286934E-10	4.100	26.800
5/4/2022	7:20 PM	-0.4199148200	43.100	18.001	20.000	0.0000010000	-0.0000250174	5.4339460327E-9	0.0000110259	9.9386581434E-10	4.100	26.800
5/4/2022	7:21 PM	-0.4098569800	43.100	18.000	20.000	0.0000010000	-0.0000250184	4.4441477303E-9	0.0000110209	8.9418965053E-10	4.100	26.800
5/4/2022	7:21 PM	-0.3997991400	43.100	18.000	20.000	0.0000010000	-0.0000250180	6.8003767700E-9	0.0000109938	9.0471787406E-10	4.100	26.800
5/4/2022	7:22 PM	-0.3897413000	43.100	18.000	20.000	0.0000010000	-0.0000250207	8.7822015911E-9	0.0000110188	3.7416573868E-10	4.100	26.800
5/4/2022	7:23 PM	-0.3796834600	43.100	17.999	20.000	0.0000010000	-0.0000250112	4.3256004809E-9	0.0000109785	4.2899062187E-9	4.100	26.800
5/4/2022	7:23 PM	-0.3696256200	43.100	17.999	20.000	0.0000010000	-0.0000250175	5.9976697598E-9	0.0000109986	7.5522851952E-10	4.100	26.800
5/4/2022	7:24 PM	-0.3595677800	43.100	17.999	20.000	0.0000010000	-0.0000250251	6.9375070437E-9	0.0000110211	3.4519675235E-10	4.100	26.800
5/4/2022	7:25 PM	-0.3495099400	43.100	17.999	20.000	0.0000010000	-0.0000250112	5.2716828014E-9	0.0000110164	1.1238369250E-9	4.100	26.800
5/4/2022	7:25 PM	-0.3394521000	43.100	18.000	20.000	0.0000010000	-0.0000250284	5.9639191748E-9	0.0000110063	8.1237243570E-10	4.100	26.800
5/4/2022	7:26 PM	-0.3293942600	43.100	18.001	20.000	0.0000010000	-0.0000250294	5.9137765242E-9	0.0000110174	1.2120124021E-9	4.100	26.800
5/4/2022	7:27 PM	-0.3205936500	43.100	18.000	20.000	0.0000010000	-0.0000250226	3.8493403968E-9	0.0000110372	1.9286456063E-9	4.100	26.800
5/4/2022	7:27 PM	-0.3105358100	43.100	18.000	20.000	0.0000010000	-0.0000250180	4.5232016997E-9	0.0000109891	1.6894053971E-9	4.100	26.800
5/4/2022	7:28 PM	-0.3004779700	43.100	18.000	20.000	0.0000010000	-0.0000250208	7.2293049619E-9	0.0000110151	2.2534244983E-9	4.100	26.800
5/4/2022	7:29 PM	-0.2904201300	43.100	18.000	20.000	0.0000010000	-0.0000250320	6.3322663377E-9	0.0000110142	7.7416573868E-10	4.100	26.800
5/4/2022	7:30 PM	-0.2803622900	43.100	18.000	20.000	0.0000010000	-0.0000250074	6.3340975396E-9	0.0000110105	8.3804616516E-10	4.100	26.800
5/4/2022	7:30 PM	-0.2703044500	43.100	18.000	20.000	0.0000010000	-0.0000250308	4.3512512069E-9	0.0000110141	9.0471787406E-10	4.100	26.800
5/4/2022	7:31 PM	-0.2602466100	43.100	17.999	20.000	0.0000010000	-0.0000250107	4.2970511451E-9	0.0000110192	9.0710678119E-10	4.100	26.900
5/4/2022	7:32 PM	-0.2501887700	43.100	17.999	20.000	0.0000010000	-0.0000250301	5.3076059469E-9	0.0000110142	7.7008771255E-10	4.100	26.800
5/4/2022	7:32 PM	-0.2401309300	43.100	18.000	20.000	0.0000010000	-0.0000250073	4.1194112908E-9	0.0000110003	1.3564659966E-9	4.100	26.800
5/4/2022	7:33 PM	-0.2300730900	43.100	18.000	20.000	0.0000010000	-0.0000250260	2.4872798992E-9	0.0000110032	1.9875317823E-9	4.100	26.800
5/4/2022	7:34 PM	-0.2200152500	43.100	18.000	20.000	0.0000010000	-0.0000250173	6.1146085826E-9	0.0000110170	3.9154759474E-10	4.100	26.800
5/4/2022	7:34 PM	-0.2099574100	43.100	17.999	20.000	0.0000010000	-0.0000250218	6.0646450008E-9	0.0000110259	2.5811388301E-10	4.100	26.800
5/4/2022	7:35 PM	-0.1998995700	43.100	18.000	20.000	0.0000010000	-0.0000250206	5.3137425634E-9	0.0000109670	4.2430828689E-9	4.100	26.800
5/4/2022	7:36 PM	-0.1898417300	43.100	17.999	20.000	0.0000010000	-0.0000250243	4.4040862610E-9	0.0000110168	1.4121298353E-9	4.100	26.800
5/4/2022	7:37 PM	-0.1797838900	43.100	17.999	20.000	0.0000010000	-0.0000250216	7.7316773834E-9	0.0000110188	4.4203384502E-10	4.100	26.800
5/4/2022	7:37 PM	-0.1697260500	0.900	18.001	20.000	0.0000010000	-0.0000250308	8.0623455234E-9	0.0000109693	5.0833211891E-9	4.100	26.800
5/4/2022	7:38 PM	-0.1596682100	43.100	17.999	20.000	0.0000010000	-0.0000250058	7.4241220775E-9	0.0000110231	5.6368092477E-10	4.100	26.800
5/4/2022	7:39 PM	-0.1496103700	43.100	18.000	20.000	0.0000010000	-0.0000250195	6.5748238471E-9	0.0000110335	1.1281500598E-9	4.100	26.800
5/4/2022	7:39 PM	-0.1395525300	43.100	17.999	20.000	0.0000010000	-0.0000250201	7.7083815443E-9	0.0000110150	1.3194792169E-9	4.100	26.800
5/4/2022	7:40 PM	-0.1294946900	43.100	18.000	20.000	0.0000010000	-0.0000250188	4.0566903160E-9	0.0000110110	1.1545918207E-9	4.100	26.900
5/4/2022	7:41 PM	-0.1194368500	43.100	18.000	20.000	0.0000010000	-0.0000250138	7.4248247330E-9	0.0000110187	4.6368092477E-10	4.100	26.800
5/4/2022	7:41 PM	-0.1093790100	43.100	17.999	20.000	0.0000010000	-0.0000250202	2.8702675336E-9	0.0000109944	1.7610714480E-9	4.100	26.800
5/4/2022	7:42 PM	-0.1005784000	43.100	17.999	20.000	0.0000010000	-0.0000250287	6.7372452373E-9	0.0000109945	2.0106411231E-8	4.100	26.800
5/4/2022	7:43 PM	-0.0905205600	43.100	18.000	20.000	0.0000010000	-0.0000250321	7.4597240406E-9	0.0000110240	9.5166481892E-10	4.100	26.800
5/4/2022	7:43 PM	-0.0804627200	43.100	17.999	20.000	0.0000010000	-0.0000250152	5.0237460530E-9	0.0000110030	8.2739529308E-10	4.100	26.800
