! User Name:	Aditya
! Sample Name:	MR(DCMode)_FGT CrPS4_20K_PF_P0.65T_RH_0.5T
! Sample ID:	FGT/CrPS4
! Date:	5/4/2022	Time:	10:42 PM
! Current Source:	Keithley 224 Current Source
! Voltmeter V1:	Keithley 182 Degital voltmeter
! Voltmeter V2:	Keithley 2182A  NanoVoltmeter
! V1 (volts):	Rxx  Device 1
! V2 (volts):	Rxy Device 1
! Max Field (Tesla):0.500000	! Data points (0_maxT:50.000000	! Average Number:5.000000	
! Comments:	FGT/CrPS4 device was made in glove using flaking and dry transfering of flakes. 
! 
! 
! 
! 
Data	Time	Magnetic Field (T)	Helium Level (%)	VTI Temperature (K)	Sample Temparture (K)	Current (A) 	Voltage-1(V)	Std. of V1	Voltage-2 (V)	Std. of V2	VTI  Heater Power (%)	Sample Heater Power (%)
5/4/2022	10:44 PM	0.5003775400	52.000	52.780	54.994	0.0000010000	-0.0000243713	7.1275687546E-9	0.0000123565	1.2534257188E-9	6.700	27.800
5/4/2022	10:45 PM	0.4903197000	40.400	18.000	20.000	0.0000010000	-0.0000243604	5.2492646394E-9	0.0000123755	6.6099096785E-10	4.200	26.900
5/4/2022	10:46 PM	0.4802618600	40.400	17.999	20.000	0.0000010000	-0.0000243702	6.0527854277E-9	0.0000123864	1.1372230445E-9	4.200	26.900
5/4/2022	10:47 PM	0.4702040200	40.400	17.999	20.000	0.0000010000	-0.0000243638	7.6933415672E-9	0.0000123480	2.5686071021E-9	4.200	26.900
5/4/2022	10:47 PM	0.4601461800	40.400	17.998	20.000	0.0000010000	-0.0000243640	8.3394841656E-9	0.0000123313	5.1337835475E-9	4.200	26.900
5/4/2022	10:48 PM	0.4500883400	40.400	17.999	20.000	0.0000010000	-0.0000243732	3.8348478957E-9	0.0000123616	1.2467344941E-9	4.200	26.900
5/4/2022	10:49 PM	0.4400305000	40.400	17.998	20.000	0.0000010000	-0.0000243730	6.8322984200E-9	0.0000123821	1.3236067978E-9	4.200	26.900
5/4/2022	10:49 PM	0.4299726600	40.400	18.000	20.000	0.0000010000	-0.0000243630	5.1492809522E-9	0.0000123697	6.0850436627E-10	4.200	26.900
5/4/2022	10:50 PM	0.4199148200	40.400	17.999	20.000	0.0000010000	-0.0000243639	2.4914744870E-9	0.0000123740	4.9664022582E-10	4.200	26.900
5/4/2022	10:51 PM	0.4098569800	40.400	17.999	20.000	0.0000010000	-0.0000243614	5.9428201248E-9	0.0000123328	3.2470509360E-9	4.200	26.900
5/4/2022	10:51 PM	0.3997991400	40.400	17.999	20.000	0.0000010000	-0.0000243692	8.0522934888E-9	0.0000123801	2.9154759474E-10	4.200	26.900
5/4/2022	10:52 PM	0.3897413000	40.400	17.999	20.000	0.0000010000	-0.0000243731	6.7573498114E-9	0.0000123767	2.8708286934E-10	4.200	26.900
5/4/2022	10:53 PM	0.3796834600	40.400	17.998	20.000	0.0000010000	-0.0000243680	3.2085099920E-9	0.0000123889	1.7792758557E-9	4.200	26.900
5/4/2022	10:53 PM	0.3696256200	40.400	17.999	20.000	0.0000010000	-0.0000243525	5.7286978558E-9	0.0000123590	1.0606601718E-9	4.200	26.900
5/4/2022	10:54 PM	0.3595677800	40.400	17.999	20.000	0.0000010000	-0.0000243780	5.6444127436E-9	0.0000123791	1.8708286934E-10	4.200	26.900
