! User Name:	Aditya
! Sample Name:	MR(DCMode)_FGT CrPS4_20K_PF_N5T_RH_0.5T
! Sample ID:	FGT/CrPS4
! Date:	5/5/2022	Time:	3:59 PM
! Current Source:	Keithley 224 Current Source
! Voltmeter V1:	Keithley 182 Degital voltmeter
! Voltmeter V2:	Keithley 2182A  NanoVoltmeter
! V1 (volts):	Rxx  Device 1
! V2 (volts):	Rxy Device 1
! Max Field (Tesla):0.500000	! Data points (0_maxT:50.000000	! Average Number:5.000000	
! Comments:	FGT/CrPS4 device was made in glove using flaking and dry transfering of flakes. 
! 
! 
! 
! 
Data	Time	Magnetic Field (T)	Helium Level (%)	VTI Temperature (K)	Sample Temparture (K)	Current (A) 	Voltage-1(V)	Std. of V1	Voltage-2 (V)	Std. of V2	VTI  Heater Power (%)	Sample Heater Power (%)
5/5/2022	4:01 PM	-0.5003775400	52.000	52.780	54.994	0.0000010000	-0.0000250599	2.9487433311E-9	0.0000108838	9.6205775687E-10	6.700	27.800
5/5/2022	4:02 PM	-0.4903197000	54.300	18.076	20.012	0.0000010000	-0.0000250478	3.8264015525E-9	0.0000108811	3.2360679775E-10	8.400	29.800
5/5/2022	4:03 PM	-0.4802618600	55.400	18.062	20.005	0.0000010000	-0.0000250476	5.2349083428E-9	0.0000108838	7.3385391260E-10	8.000	29.500
5/5/2022	4:04 PM	-0.4702040200	54.600	18.058	20.004	0.0000010000	-0.0000250552	4.1316414672E-9	0.0000108767	2.5495097568E-10	7.800	29.400
5/5/2022	4:05 PM	-0.4601461800	54.000	18.053	20.004	0.0000010000	-0.0000250514	2.8093835094E-9	0.0000108594	3.5557883712E-9	7.600	29.300
5/5/2022	4:05 PM	-0.4500883400	53.700	18.055	20.004	0.0000010000	-0.0000250624	4.1993513722E-9	0.0000108947	4.6368092477E-10	7.500	29.100
5/5/2022	4:06 PM	-0.4400305000	55.000	18.047	20.004	0.0000010000	-0.0000250556	4.9399448164E-9	0.0000108962	1.5691103654E-9	7.300	29.000
5/5/2022	4:07 PM	-0.4299726600	54.600	18.043	20.003	0.0000010000	-0.0000250495	3.4338808432E-9	0.0000108939	8.1763500472E-10	7.200	29.000
5/5/2022	4:07 PM	-0.4199148200	54.600	18.035	20.002	0.0000010000	-0.0000250708	3.2886975369E-9	0.0000108879	5.4649857042E-10	7.100	28.900
5/5/2022	4:08 PM	-0.4098569800	54.600	18.035	20.002	0.0000010000	-0.0000250611	3.8900178288E-9	0.0000108337	4.7782092569E-9	7.000	28.800
5/5/2022	4:09 PM	-0.3997991400	54.600	18.028	20.001	0.0000010000	-0.0000250455	3.6059709854E-9	0.0000108822	9.6397017595E-10	6.900	28.800
5/5/2022	4:09 PM	-0.3897413000	54.600	18.031	20.002	0.0000010000	-0.0000250609	4.4532565744E-9	0.0000108896	8.0771519135E-10	6.800	28.700
