! User Name:	Aditya
! Sample Name:	MR(DCMode)_FGT CrPS4_20K_Sr no 5_PF_P8T_RH_0.5T
! Sample ID:	FGT/CrPS4
! Date:	5/5/2022	Time:	7:11 PM
! Current Source:	Keithley 224 Current Source
! Voltmeter V1:	Keithley 182 Degital voltmeter
! Voltmeter V2:	Keithley 2182A  NanoVoltmeter
! V1 (volts):	Rxx  Device 1
! V2 (volts):	Rxy Device 1
! Max Field (Tesla):0.500000	! Data points (0_maxT:50.000000	! Average Number:5.000000	
! Comments:	FGT/CrPS4 device was made in glove using flaking and dry transfering of flakes. 
! 
! 
! 
! 
Data	Time	Magnetic Field (T)	Helium Level (%)	VTI Temperature (K)	Sample Temparture (K)	Current (A) 	Voltage-1(V)	Std. of V1	Voltage-2 (V)	Std. of V2	VTI  Heater Power (%)	Sample Heater Power (%)
5/5/2022	7:13 PM	-0.5003775400	52.000	52.780	54.994	0.0000010000	-0.0000131520	5.2374435213E-9	0.0000247685	1.1437704174E-9	6.700	27.800
5/5/2022	7:14 PM	-0.4903197000	45.600	18.050	20.006	0.0000010000	-0.0000131549	2.4410116690E-9	0.0000247426	1.0820365039E-9	6.600	28.500
5/5/2022	7:15 PM	-0.4802618600	45.600	18.013	19.999	0.0000010000	-0.0000131516	6.7284960765E-9	0.0000247605	8.4010949186E-10	6.600	28.600
5/5/2022	7:16 PM	-0.4702040200	45.600	18.007	19.999	0.0000010000	-0.0000131624	6.2608988447E-9	0.0000247592	8.3006407546E-10	6.600	28.600
5/5/2022	7:16 PM	-0.4601461800	45.600	18.004	20.000	0.0000010000	-0.0000131557	5.8088898990E-9	0.0000247514	1.4352700094E-9	6.600	28.600
5/5/2022	7:17 PM	-0.4500883400	45.600	18.008	20.001	0.0000010000	-0.0000131590	5.5557522872E-9	0.0000247459	7.6923276251E-10	6.500	28.600
5/5/2022	7:18 PM	-0.4400305000	45.600	18.011	20.001	0.0000010000	-0.0000131543	8.6198375805E-9	0.0000247650	9.7258598040E-10	6.500	28.500
5/5/2022	7:18 PM	-0.4299726600	45.600	18.009	20.001	0.0000010000	-0.0000131610	4.6447609054E-9	0.0000247456	9.8106750810E-10	6.400	28.500
5/5/2022	7:19 PM	-0.4199148200	45.600	18.006	20.001	0.0000010000	-0.0000131507	5.2332313854E-9	0.0000247614	1.1998427010E-9	6.400	28.500
5/5/2022	7:20 PM	-0.4098569800	45.600	18.007	20.000	0.0000010000	-0.0000131548	3.4093831272E-9	0.0000247512	1.5218855351E-9	6.400	28.500
5/5/2022	7:20 PM	-0.3997991400	45.600	18.006	20.000	0.0000010000	-0.0000131539	6.4606389194E-9	0.0000247808	4.7602787773E-10	6.400	28.500
5/5/2022	7:21 PM	-0.3897413000	45.600	18.005	20.000	0.0000010000	-0.0000131588	4.2568219441E-9	0.0000247525	1.7858751527E-9	6.400	28.500
5/5/2022	7:22 PM	-0.3796834600	45.600	18.006	20.000	0.0000010000	-0.0000131565	5.6213358165E-9	0.0000247556	1.5033296378E-9	6.300	28.500
5/5/2022	7:22 PM	-0.3696256200	45.600	18.004	20.001	0.0000010000	-0.0000131445	5.4816177268E-9	0.0000247647	1.2423728323E-9	6.300	28.500
5/5/2022	7:23 PM	-0.3595677800	45.600	18.004	20.000	0.0000010000	-0.0000131627	6.4875181170E-9	0.0000247552	1.6209877668E-9	6.300	28.400
5/5/2022	7:24 PM	-0.3495099400	45.600	18.003	20.000	0.0000010000	-0.0000131634	6.3588765270E-9	0.0000247898	8.5192024052E-10	6.300	28.400
5/5/2022	7:24 PM	-0.3394521000	0.900	18.002	20.000	0.0000010000	-0.0000131533	5.0595725706E-9	0.0000247481	9.9865437593E-10	6.300	28.400
5/5/2022	7:25 PM	-0.3293942600	45.600	18.002	20.000	0.0000010000	-0.0000131672	5.8305328960E-9	0.0000247438	3.3740402654E-9	6.300	28.400
5/5/2022	7:26 PM	-0.3205936500	45.600	18.001	20.000	0.0000010000	-0.0000131435	4.8090596892E-9	0.0000247646	9.2158383626E-10	6.300	28.400
5/5/2022	7:27 PM	-0.3105358100	45.600	18.001	20.000	0.0000010000	-0.0000131546	4.4506421474E-9	0.0000247680	9.8929710972E-10	6.300	28.400
5/5/2022	7:27 PM	-0.3004779700	45.600	18.000	20.000	0.0000010000	-0.0000131574	5.0790846446E-9	0.0000247700	3.9154759474E-10	6.300	28.400
5/5/2022	7:28 PM	-0.2904201300	45.600	18.000	20.000	0.0000010000	-0.0000131583	6.3959122683E-9	0.0000247577	1.3855630341E-9	6.300	28.400
5/5/2022	7:29 PM	-0.2803622900	45.600	17.999	20.000	0.0000010000	-0.0000131553	7.9677243337E-9	0.0000247442	1.3661637486E-9	6.300	28.400
5/5/2022	7:29 PM	-0.2703044500	45.600	18.001	20.000	0.0000010000	-0.0000131482	6.8864668143E-9	0.0000247749	4.6094414809E-10	6.300	28.400
5/5/2022	7:30 PM	-0.2602466100	45.600	17.999	20.000	0.0000010000	-0.0000131460	6.9749078577E-9	0.0000247709	8.9418965053E-10	6.300	28.400
5/5/2022	7:31 PM	-0.2501887700	45.600	18.000	20.000	0.0000010000	-0.0000131595	6.8669465468E-9	0.0000247505	1.2840192568E-9	6.300	28.400
5/5/2022	7:31 PM	-0.2401309300	45.600	17.999	20.000	0.0000010000	-0.0000131615	4.6824598300E-9	0.0000247406	2.0360150074E-9	6.300	28.400
