! User Name:	Aditya
! Sample Name:	MR(DCMode)_FGT CrPS4_20K_Sr no 9_PF_N10T_RH_0.5T
! Sample ID:	FGT/CrPS4
! Date:	5/6/2022	Time:	3:22 AM
! Current Source:	Keithley 224 Current Source
! Voltmeter V1:	Keithley 182 Degital voltmeter
! Voltmeter V2:	Keithley 2182A  NanoVoltmeter
! V1 (volts):	Rxx  Device 1
! V2 (volts):	Rxy Device 1
! Max Field (Tesla):0.500000	! Data points (0_maxT:50.000000	! Average Number:5.000000	
! Comments:	FGT/CrPS4 device was made in glove using flaking and dry transfering of flakes. 
! 
! 
! 
! 
Data	Time	Magnetic Field (T)	Helium Level (%)	VTI Temperature (K)	Sample Temparture (K)	Current (A) 	Voltage-1(V)	Std. of V1	Voltage-2 (V)	Std. of V2	VTI  Heater Power (%)	Sample Heater Power (%)
5/6/2022	3:24 AM	0.5003775400	52.000	52.780	54.994	0.0000010000	-0.0000118833	5.1312351341E-9	0.0000259951	1.6424732034E-9	6.700	27.800
5/6/2022	3:25 AM	0.4903197000	38.400	18.002	19.999	0.0000010000	-0.0000118699	3.9488384334E-9	0.0000259556	2.0553663181E-9	6.700	28.700
5/6/2022	3:26 AM	0.4802618600	38.400	17.999	20.000	0.0000010000	-0.0000118803	4.6498707490E-9	0.0000259299	3.5641016151E-9	6.700	28.800
5/6/2022	3:27 AM	0.4702040200	38.400	18.000	20.000	0.0000010000	-0.0000118689	3.3131347509E-9	0.0000259512	2.3327398470E-9	6.700	28.700
5/6/2022	3:27 AM	0.4601461800	38.400	18.001	20.000	0.0000010000	-0.0000118723	5.1551839625E-9	0.0000259583	2.1836014868E-9	6.700	28.700
5/6/2022	3:28 AM	0.4500883400	38.400	18.003	20.000	0.0000010000	-0.0000118656	7.7849060995E-9	0.0000259597	2.4960883632E-9	6.700	28.700
5/6/2022	3:29 AM	0.4400305000	38.400	18.004	20.001	0.0000010000	-0.0000118781	7.2796373251E-9	0.0000259537	1.1819090848E-9	6.700	28.700
5/6/2022	3:29 AM	0.4299726600	38.400	18.002	20.000	0.0000010000	-0.0000118695	6.5354075936E-9	0.0000259811	1.6566265836E-9	6.700	28.700
5/6/2022	3:30 AM	0.4199148200	38.400	18.002	20.000	0.0000010000	-0.0000118839	6.3306351619E-9	0.0000259735	2.8708286934E-10	6.700	28.700
5/6/2022	3:31 AM	0.4098569800	38.400	18.002	20.000	0.0000010000	-0.0000118696	5.8045947274E-9	0.0000259484	3.0966674103E-9	6.600	28.700
5/6/2022	3:31 AM	0.3997991400	38.400	18.002	20.000	0.0000010000	-0.0000118830	7.7502438501E-9	0.0000259854	1.9955166539E-9	6.600	28.700
5/6/2022	3:32 AM	0.3897413000	38.400	18.002	20.000	0.0000010000	-0.0000118691	5.8988974150E-9	0.0000259806	6.2360679775E-10	6.600	28.700
5/6/2022	3:33 AM	0.3796834600	38.400	18.002	20.000	0.0000010000	-0.0000118753	6.7418848970E-9	0.0000259521	1.4947789731E-9	6.600	28.700
5/6/2022	3:33 AM	0.3696256200	38.400	18.001	20.000	0.0000010000	-0.0000118785	3.2487573975E-9	0.0000259498	2.9682993576E-9	6.600	28.700
5/6/2022	3:34 AM	0.3595677800	38.400	18.001	20.000	0.0000010000	-0.0000118774	5.5944512735E-9	0.0000259817	1.2902019707E-9	6.600	28.700
5/6/2022	3:35 AM	0.3495099400	38.400	18.000	20.000	0.0000010000	-0.0000118681	5.7099009655E-9	0.0000259617	7.3484692284E-10	6.600	28.700
5/6/2022	3:36 AM	0.3394521000	38.400	18.001	20.000	0.0000010000	-0.0000118755	5.7515889296E-9	0.0000259534	2.0956785296E-9	6.600	28.700
5/6/2022	3:36 AM	0.3293942600	38.400	18.000	20.000	0.0000010000	-0.0000118787	4.8150405727E-9	0.0000259724	4.5355339059E-10	6.600	28.700
5/6/2022	3:37 AM	0.3205936500	38.400	18.001	20.000	0.0000010000	-0.0000118740	4.1245049575E-9	0.0000259713	1.6210761431E-9	6.600	28.700
5/6/2022	3:38 AM	0.3105358100	38.400	18.001	20.000	0.0000010000	-0.0000118703	6.4968575428E-9	0.0000259778	1.2964268499E-9	6.600	28.700
5/6/2022	3:38 AM	0.3004779700	38.400	18.001	20.000	0.0000010000	-0.0000118828	7.4291567230E-9	0.0000259711	1.2796344341E-9	6.600	28.700
5/6/2022	3:39 AM	0.2904201300	38.400	18.000	20.000	0.0000010000	-0.0000118739	3.7398411688E-9	0.0000259609	1.6512018786E-9	6.600	28.700
5/6/2022	3:40 AM	0.2803622900	38.400	18.002	20.000	0.0000010000	-0.0000118792	4.5486276087E-9	0.0000259654	1.5291318655E-9	6.600	28.700
5/6/2022	3:40 AM	0.2703044500	38.400	18.001	20.000	0.0000010000	-0.0000118643	5.5804777169E-9	0.0000259298	4.9455418021E-9	6.600	28.700
5/6/2022	3:41 AM	0.2602466100	38.400	18.002	20.000	0.0000010000	-0.0000118822	9.4885768987E-9	0.0000259898	1.0444042793E-9	6.600	28.700
5/6/2022	3:42 AM	0.2501887700	38.400	18.001	20.000	0.0000010000	-0.0000118786	4.9314935265E-9	0.0000259864	6.0777536076E-10	6.600	28.700
5/6/2022	3:42 AM	0.2401309300	38.400	18.002	20.000	0.0000010000	-0.0000118642	3.9753977542E-9	0.0000259781	1.0000000000E-10	6.600	28.700
5/6/2022	3:43 AM	0.2300730900	38.400	18.001	20.000	0.0000010000	-0.0000118784	4.5067045501E-9	0.0000259622	1.8754389257E-9	6.600	28.700
5/6/2022	3:44 AM	0.2200152500	38.400	18.000	20.000	0.0000010000	-0.0000118814	3.8142079685E-9	0.0000259722	3.9154759474E-10	6.600	28.700
5/6/2022	3:44 AM	0.2099574100	38.400	18.001	20.000	0.0000010000	-0.0000118653	5.7737861694E-9	0.0000259710	6.3385391260E-10	6.600	28.700
5/6/2022	3:45 AM	0.1998995700	38.400	18.000	20.000	0.0000010000	-0.0000118592	5.4337149166E-9	0.0000259869	1.7216149268E-9	6.600	28.700
5/6/2022	3:46 AM	0.1898417300	38.400	18.000	20.000	0.0000010000	-0.0000118785	5.6688887973E-9	0.0000259831	6.3066409390E-10	6.600	28.700
5/6/2022	3:46 AM	0.1797838900	38.400	17.999	20.000	0.0000010000	-0.0000118730	6.8868485119E-9	0.0000259617	8.7543465798E-10	6.600	28.700
5/6/2022	3:47 AM	0.1697260500	38.400	18.001	20.000	0.0000010000	-0.0000118774	6.4162937754E-9	0.0000259852	9.6810783693E-10	6.600	28.700
5/6/2022	3:48 AM	0.1596682100	38.400	18.001	20.000	0.0000010000	-0.0000118877	6.3238850084E-9	0.0000259753	1.7610714480E-9	6.600	28.700
5/6/2022	3:48 AM	0.1496103700	38.400	18.000	20.000	0.0000010000	-0.0000118687	5.8081018874E-9	0.0000259775	8.3011626335E-10	6.600	28.700
5/6/2022	3:49 AM	0.1395525300	38.400	18.001	20.000	0.0000010000	-0.0000118756	5.4694296321E-9	0.0000259749	1.3033694078E-9	6.600	28.600
5/6/2022	3:50 AM	0.1294946900	38.400	18.000	20.000	0.0000010000	-0.0000118746	6.0811466733E-9	0.0000259639	2.4896146342E-9	6.600	28.700
5/6/2022	3:50 AM	0.1194368500	38.400	18.000	20.000	0.0000010000	-0.0000118927	7.9098596330E-9	0.0000259780	1.0273618495E-9	6.600	28.700
5/6/2022	3:51 AM	0.1093790100	38.400	17.997	20.000	0.0000010000	-0.0000118775	4.1236091817E-9	0.0000259653	1.7936386446E-9	6.600	28.700
5/6/2022	3:52 AM	0.1005784000	38.400	17.999	20.001	0.0000010000	-0.0000118706	5.6983301943E-9	0.0000259581	1.9403010576E-9	6.600	28.700
5/6/2022	3:53 AM	0.0905205600	38.400	17.998	20.000	0.0000010000	-0.0000118743	7.2901491649E-9	0.0000259644	2.3927377337E-9	6.600	28.700
5/6/2022	3:53 AM	0.0804627200	38.400	18.002	20.000	0.0000010000	-0.0000118750	9.8017318699E-9	0.0000259911	6.5076379411E-10	6.600	28.700
5/6/2022	3:54 AM	0.0704048800	38.400	18.000	20.000	0.0000010000	-0.0000118703	5.7271445941E-9	0.0000259831	6.5495097568E-10	6.600	28.700
5/6/2022	3:55 AM	0.0603470400	38.400	18.000	20.000	0.0000010000	-0.0000118708	6.0266531567E-9	0.0000259740	2.5337220466E-9	6.600	28.700
5/6/2022	3:55 AM	0.0502892000	38.400	18.001	20.000	0.0000010000	-0.0000118824	6.0354252579E-9	0.0000259719	1.0355183893E-9	6.600	28.700
5/6/2022	3:56 AM	0.0402313600	38.400	18.000	20.000	0.0000010000	-0.0000118767	4.3123124498E-9	0.0000259256	5.4843310487E-9	6.600	28.700
5/6/2022	3:57 AM	0.0301735200	38.400	18.000	20.000	0.0000010000	-0.0000118800	5.8420105365E-9	0.0000259843	5.6968808264E-10	6.600	28.700
5/6/2022	3:57 AM	0.0201156800	38.400	18.000	20.001	0.0000010000	-0.0000118777	3.1883572485E-9	0.0000259528	2.9127812812E-9	6.600	28.700
5/6/2022	3:58 AM	0.0100578400	38.400	18.000	20.000	0.0000010000	-0.0000118873	8.5434354547E-9	0.0000259654	2.1014160415E-9	6.600	28.700
5/6/2022	3:59 AM	-0.0000000000	38.400	18.001	20.000	0.0000010000	-0.0000118695	9.7666939480E-9	0.0000259860	1.1901823123E-9	6.600	28.700
5/6/2022	3:59 AM	-0.0100578400	38.400	18.001	20.000	0.0000010000	-0.0000118659	5.4203736892E-9	0.0000259732	1.1536605596E-9	6.600	28.700
5/6/2022	4:00 AM	-0.0201156800	38.400	18.001	20.000	0.0000010000	-0.0000118841	7.1656641344E-9	0.0000259684	1.1998427010E-9	6.600	28.700
5/6/2022	4:01 AM	-0.0301735200	38.400	18.001	20.000	0.0000010000	-0.0000118726	3.4540437970E-9	0.0000259673	9.8102496759E-10	6.600	28.700
5/6/2022	4:01 AM	-0.0402313600	38.400	17.999	20.000	0.0000010000	-0.0000118772	3.4802512738E-9	0.0000259706	2.2638558871E-9	6.600	28.700
5/6/2022	4:02 AM	-0.0502892000	38.400	18.000	20.000	0.0000010000	-0.0000118705	5.1859252292E-9	0.0000259876	8.8740730319E-10	6.600	28.700
5/6/2022	4:03 AM	-0.0603470400	38.400	18.001	20.000	0.0000010000	-0.0000118739	9.0835521883E-9	0.0000259799	2.4494897428E-10	6.600	28.700
5/6/2022	4:03 AM	-0.0704048800	38.400	18.000	20.001	0.0000010000	-0.0000118789	5.2006944884E-9	0.0000259560	3.1173218249E-9	6.600	28.700
5/6/2022	4:04 AM	-0.0804627200	38.400	18.000	20.000	0.0000010000	-0.0000118733	4.1568830930E-9	0.0000259915	3.1622776602E-10	6.600	28.700
5/6/2022	4:05 AM	-0.0905205600	38.400	18.000	20.000	0.0000010000	-0.0000118774	6.1542320827E-9	0.0000259742	6.0724247288E-10	6.600	28.700
5/6/2022	4:06 AM	-0.1005784000	38.400	17.999	20.000	0.0000010000	-0.0000118630	5.3127965364E-9	0.0000259820	1.0669539803E-9	6.600	28.700
5/6/2022	4:06 AM	-0.1093790100	38.400	17.998	20.000	0.0000010000	-0.0000118789	5.1107059732E-9	0.0000259721	8.7413930606E-10	6.600	28.700
5/6/2022	4:07 AM	-0.1194368500	40.600	17.999	20.000	0.0000010000	-0.0000118705	4.4844025709E-9	0.0000259902	2.8058837015E-10	6.600	28.700
5/6/2022	4:08 AM	-0.1294946900	40.600	17.999	20.000	0.0000010000	-0.0000118725	5.9238178745E-9	0.0000259685	1.1813159295E-9	6.600	28.700
