! User Name:	Aditya
! Sample Name:	PF 1T Training effect
! Sample ID:	FGT/CrPS4
! Date:	5/21/2022	Time:	1:21 AM
! Current Source:	Keithley 224 Current Source
! Voltmeter V1:	Keithley 182 Degital voltmeter
! Voltmeter V2:	Keithley 2182A  NanoVoltmeter
! V1 (volts):	Rxx  Device 1
! V2 (volts):	Rxy Device 1
! Max Field (Tesla):0.350000	! Data points (0_maxT:70.000000	! Average Number:5.000000	
! Comments:	FGT/CrPS4 device was made in glove using flaking and dry transfering of flakes. 
! 
! 
! 
! 
Data	Time	Magnetic Field (T)	Helium Level (%)	VTI Temperature (K)	Sample Temparture (K)	Current (A) 	Voltage-1(V)	Std. of V1	Voltage-2 (V)	Std. of V2	VTI  Heater Power (%)	Sample Heater Power (%)
5/21/2022	1:23 AM	0.3495099400	52.000	52.780	54.994	0.0000010000	-0.0000092376	3.9622690371E-9	0.0000334017	1.2877227173E-9	6.700	27.800
5/21/2022	1:24 AM	0.3444810200	93.200	48.000	50.000	0.0000010000	-0.0000092257	3.3745814531E-9	0.0000334098	1.3910427743E-9	10.300	30.800
5/21/2022	1:25 AM	0.3394521000	93.200	48.000	50.000	0.0000010000	-0.0000092366	9.1760657535E-9	0.0000333626	3.3901590763E-9	10.300	30.800
5/21/2022	1:25 AM	0.3344231800	89.400	48.000	50.000	0.0000010000	-0.0000092369	1.3154567224E-8	0.0000333715	1.6239562014E-9	10.300	30.800
5/21/2022	1:26 AM	0.3293942600	89.400	48.000	50.000	0.0000010000	-0.0000092352	5.6467503933E-9	0.0000333755	5.4735969650E-9	10.300	30.800
5/21/2022	1:27 AM	0.3256225700	89.400	48.000	50.000	0.0000010000	-0.0000092275	6.6953784981E-9	0.0000334159	1.4834848275E-9	10.300	30.800
5/21/2022	1:27 AM	0.3205936500	89.400	48.000	50.000	0.0000010000	-0.0000092351	5.8390134647E-9	0.0000334299	1.4858043382E-9	10.300	30.800
5/21/2022	1:28 AM	0.3155647300	89.400	48.000	50.000	0.0000010000	-0.0000092323	1.2375955992E-8	0.0000333581	1.9083775151E-9	10.300	30.800
5/21/2022	1:29 AM	0.3105358100	89.400	48.000	50.000	0.0000010000	-0.0000092251	3.6909863635E-9	0.0000334335	1.6275865163E-9	10.300	30.800
5/21/2022	1:29 AM	0.3055068900	89.400	48.000	50.000	0.0000010000	-0.0000092357	5.0897344367E-9	0.0000334227	1.0338627707E-9	10.300	30.800
