! User Name:	Aditya 
! Sample Name:	FGT_CPS_Device 2_FCf290K_P8T
! Sample ID:	FGT/CrPS4
! Date:	5/25/2022	Time:	4:53 PM
! Current Source:	Keithley 224 Current Source
! Voltmeter V1:	Keithley 182 Degital voltmeter
! Voltmeter V2:	Keithley 2182A  NanoVoltmeter
! V1 (volts):	Rxx Device 1
! V2 (volts):	Rxy Device 1
! Max Field (Tesla):0.000000	! Data points (0_maxT:75.000000	! Average Number:5.000000	
! Comments:	FGT/CrPS4 device was made in glove using flaking and dry transfering of flakes. 
! 
! 
! 
! 
Data	Time	Magnetic Field (T)	Helium Level (%)	VTI Temperature (K)	Sample Temparture (K)	Current (A) 	Voltage-1(V)	Std. of V1	Voltage-2 (V)	Std. of V2	VTI  Heater Power (%)	Sample Heater Power (%)
5/25/2022	5:48 PM	0.1005784000	42.000	98.000	99.999	0.0000010000	-0.0000123341	6.3197175998E-9	0.0000230628	2.6872839226E-9	14.100	38.800
5/25/2022	5:49 PM	0.0955494800	42.000	98.000	99.999	0.0000010000	-0.0000123310	5.0188868168E-9	0.0000230935	7.2166385809E-10	14.100	38.800
5/25/2022	5:50 PM	0.0905205600	42.000	98.000	100.000	0.0000010000	-0.0000123086	4.1229203568E-9	0.0000230622	2.9303731359E-9	14.100	38.800
5/25/2022	5:51 PM	0.0854916400	42.000	98.000	100.000	0.0000010000	-0.0000123232	4.5838950487E-9	0.0000230833	4.1402208188E-10	14.100	38.700
5/25/2022	5:51 PM	0.0804627200	42.000	98.010	100.000	0.0000010000	-0.0000123002	3.4893665698E-9	0.0000230695	1.3639430989E-9	14.000	38.800
5/25/2022	5:52 PM	0.0754338000	42.000	98.010	100.000	0.0000010000	-0.0000123310	3.8075437608E-9	0.0000230270	4.4658602632E-9	14.000	38.800
5/25/2022	5:53 PM	0.0704048800	42.000	98.010	100.000	0.0000010000	-0.0000123437	4.6671886882E-9	0.0000230698	1.3601003170E-9	14.000	38.800
5/25/2022	5:53 PM	0.0653759600	42.000	98.000	99.999	0.0000010000	-0.0000123224	2.6589267129E-9	0.0000230469	3.9127801469E-9	14.000	38.800
5/25/2022	5:54 PM	0.0603470400	42.000	98.000	100.000	0.0000010000	-0.0000123272	5.8597167703E-9	0.0000230762	3.9154759474E-10	14.000	38.700
5/25/2022	5:55 PM	0.0553181200	42.000	98.010	100.000	0.0000010000	-0.0000123300	5.1260544584E-9	0.0000230212	4.9156988716E-9	14.000	38.700
5/25/2022	5:55 PM	0.0502892000	42.000	98.000	99.999	0.0000010000	-0.0000123448	6.1123660167E-9	0.0000230701	8.5732140997E-10	14.000	38.800
5/25/2022	5:56 PM	0.0452602800	42.000	98.000	99.999	0.0000010000	-0.0000123319	3.9052248894E-9	0.0000230575	2.0056651157E-9	14.000	38.800
5/25/2022	5:56 PM	0.0402313600	42.000	98.000	100.000	0.0000010000	-0.0000123469	5.7910120177E-9	0.0000230617	5.3011626335E-10	14.000	38.800
5/25/2022	5:57 PM	0.0352024400	42.000	98.000	99.999	0.0000010000	-0.0000123356	6.4941600543E-9	0.0000230567	1.2824608449E-9	14.000	38.800
5/25/2022	5:58 PM	0.0301735200	42.000	98.000	99.999	0.0000010000	-0.0000123517	6.8333408433E-9	0.0000230527	1.0764136886E-9	14.000	38.800
5/25/2022	5:58 PM	0.0251446000	42.000	98.010	99.999	0.0000010000	-0.0000123390	1.0100121631E-8	0.0000230443	1.2409673646E-9	14.000	38.800
5/25/2022	5:59 PM	0.0201156800	42.000	98.000	100.000	0.0000010000	-0.0000123439	5.0815557406E-9	0.0000230712	7.6278691088E-10	14.000	38.800
5/25/2022	6:00 PM	0.0150867600	42.000	98.010	100.000	0.0000010000	-0.0000123480	5.3137176206E-9	0.0000230625	1.1191948626E-9	14.000	38.700
5/25/2022	6:00 PM	0.0100578400	42.000	98.000	100.000	0.0000010000	-0.0000123703	4.3447779545E-9	0.0000230547	3.5811388301E-10	14.000	38.800
5/25/2022	6:01 PM	0.0050289200	42.000	98.000	100.000	0.0000010000	-0.0000123651	6.2196679955E-9	0.0000230538	8.1723431537E-10	14.000	38.800
5/25/2022	6:02 PM	0.0000000000	42.000	98.000	100.000	0.0000010000	-0.0000124071	4.6658095488E-9	0.0000230294	3.2360679775E-10	14.000	38.700
