! User Name:	Aditya 
! Sample Name:	Device 2_PF 1T Training effect
! Sample ID:	FGT/CrPS4
! Date:	5/22/2022	Time:	6:34 PM
! Current Source:	Keithley 224 Current Source
! Voltmeter V1:	Keithley 182 Degital voltmeter
! Voltmeter V2:	Keithley 2182A  NanoVoltmeter
! V1 (volts):	Rxx Device 1
! V2 (volts):	Rxy Device 1
! Max Field (Tesla):0.000000	! Data points (0_maxT:75.000000	! Average Number:5.000000	
! Comments:	FGT/CrPS4 device was made in glove using flaking and dry transfering of flakes. 
! 
! 
! 
! 
Data	Time	Magnetic Field (T)	Helium Level (%)	VTI Temperature (K)	Sample Temparture (K)	Current (A) 	Voltage-1(V)	Std. of V1	Voltage-2 (V)	Std. of V2	VTI  Heater Power (%)	Sample Heater Power (%)

5/22/2022	9:38 PM	0.5003775400	74.800	2.982	4.998	0.0000010000	-0.0000089973	9.2215032193E-9	0.0000348120	8.3451193012E-10	3.600	15.700
5/22/2022	9:39 PM	0.4953486200	74.800	3.003	5.002	0.0000010000	-0.0000089988	4.7562237958E-9	0.0000348279	2.2124606183E-8	3.600	15.700
5/22/2022	9:40 PM	0.4903197000	74.800	3.000	4.999	0.0000010000	-0.0000090069	8.2978670501E-9	0.0000347825	9.7197490278E-10	3.600	15.800
5/22/2022	9:40 PM	0.4852907800	74.800	2.997	5.002	0.0000010000	-0.0000090037	6.9479475640E-9	0.0000347660	2.8041833783E-9	3.600	15.800
5/22/2022	9:41 PM	0.4802618600	74.800	3.003	4.999	0.0000010000	-0.0000090110	8.6494514852E-9	0.0000347625	3.6900726167E-9	3.600	15.700
5/22/2022	9:42 PM	0.4752329400	74.800	3.003	5.001	0.0000010000	-0.0000090074	8.6637118263E-9	0.0000348291	1.3414543828E-9	3.500	15.900
5/22/2022	9:42 PM	0.4702040200	74.800	2.986	4.999	0.0000010000	-0.0000090174	5.8567927478E-9	0.0000348034	1.9105448982E-9	3.600	15.800
5/22/2022	9:43 PM	0.4651751000	74.800	3.012	5.001	0.0000010000	-0.0000089949	8.8821766678E-9	0.0000347862	4.4021313451E-9	3.700	15.900
5/22/2022	9:43 PM	0.4601461800	74.800	3.013	5.002	0.0000010000	-0.0000090025	7.8116344056E-9	0.0000347376	2.4099246618E-9	3.600	15.700
5/22/2022	9:44 PM	0.4551172600	74.800	2.997	5.000	0.0000010000	-0.0000090048	9.3045520887E-9	0.0000348362	4.3762430286E-9	3.600	15.800
5/22/2022	9:45 PM	0.4500883400	74.800	2.993	5.000	0.0000010000	-0.0000090149	7.6019892893E-9	0.0000347528	4.1596889572E-9	3.600	15.700
5/22/2022	9:45 PM	0.4450594200	74.800	3.001	5.001	0.0000010000	-0.0000090036	6.1801822417E-9	0.0000347808	2.6500824875E-9	3.600	16.000
5/22/2022	9:46 PM	0.4400305000	0.900	3.009	5.000	0.0000010000	-0.0000090056	5.2964691250E-9	0.0000348178	1.8371936774E-8	3.600	15.700
5/22/2022	9:47 PM	0.4350015800	74.800	3.001	4.999	0.0000010000	-0.0000090071	9.2426745232E-9	0.0000348089	1.8157751306E-9	3.600	15.700
5/22/2022	9:47 PM	0.4299726600	74.800	3.018	5.002	0.0000010000	-0.0000090000	9.5455149548E-9	0.0000348321	2.1196593348E-9	3.600	15.700
5/22/2022	9:48 PM	0.4249437400	74.800	3.008	5.002	0.0000010000	-0.0000090104	4.9668452779E-9	0.0000348418	2.4072475953E-9	3.600	15.700
5/22/2022	9:49 PM	0.4199148200	74.800	3.000	5.001	0.0000010000	-0.0000090035	1.0700744585E-8	0.0000348132	2.7758679152E-9	3.600	15.800
5/22/2022	9:49 PM	0.4148859000	74.800	3.002	5.003	0.0000010000	-0.0000090006	6.8334232755E-9	0.0000347464	4.4452733272E-9	3.600	15.800
5/22/2022	9:50 PM	0.4098569800	74.800	3.010	5.004	0.0000010000	-0.0000090032	5.9748359086E-9	0.0000348688	2.6634078565E-9	3.600	15.800
5/22/2022	9:51 PM	0.4048280600	74.800	2.998	4.999	0.0000010000	-0.0000089994	9.2243569702E-9	0.0000348111	2.6496733491E-9	3.600	15.700
5/22/2022	9:51 PM	0.3997991400	74.800	3.002	5.000	0.0000010000	-0.0000090141	3.1602840185E-9	0.0000348306	2.5531841703E-9	3.600	15.700
5/22/2022	9:52 PM	0.3947702200	74.800	3.005	5.001	0.0000010000	-0.0000090068	6.5501434433E-9	0.0000348256	4.6455076458E-9	3.600	15.800
5/22/2022	9:53 PM	0.3897413000	74.800	2.988	4.999	0.0000010000	-0.0000090071	5.2591061059E-9	0.0000348642	1.6738423523E-8	3.600	15.800
5/22/2022	9:53 PM	0.3847123800	74.800	2.997	5.000	0.0000010000	-0.0000090023	1.0286272488E-8	0.0000347606	3.6393710827E-9	3.700	15.600
5/22/2022	9:54 PM	0.3796834600	74.800	2.998	5.003	0.0000010000	-0.0000089988	8.0089490303E-9	0.0000348438	2.6097083088E-9	3.500	15.900
5/22/2022	9:55 PM	0.3746545400	0.900	2.999	5.001	0.0000010000	-0.0000090109	6.9874904124E-9	0.0000348085	1.3693063938E-9	3.600	15.800
5/22/2022	9:55 PM	0.3696256200	74.800	3.006	5.000	0.0000010000	-0.0000090092	5.0107991688E-9	0.0000347789	2.2939350977E-9	3.700	15.800
5/22/2022	9:56 PM	0.3645967000	74.800	2.995	5.000	0.0000010000	-0.0000090135	9.5936020661E-9	0.0000348208	3.2618629637E-9	3.600	15.700
5/22/2022	9:56 PM	0.3595677800	74.800	3.003	5.000	0.0000010000	-0.0000090085	1.0750921098E-8	0.0000348618	3.4967398808E-9	3.600	15.700
5/22/2022	9:57 PM	0.3545388600	74.800	2.999	4.997	0.0000010000	-0.0000089983	9.8558055937E-9	0.0000347826	2.9852623903E-8	3.600	15.700
5/22/2022	9:58 PM	0.3495099400	74.800	3.002	5.000	0.0000010000	-0.0000090103	4.3811360980E-9	0.0000347713	3.0309307243E-9	3.700	15.800
5/22/2022	9:59 PM	0.3444810200	74.800	2.989	4.998	0.0000010000	-0.0000090011	7.3057632002E-9	0.0000347941	2.3177843637E-9	3.600	15.800
5/22/2022	9:59 PM	0.3394521000	74.800	3.001	5.001	0.0000010000	-0.0000090073	5.0917491315E-9	0.0000348093	2.7391549092E-9	3.600	15.800
5/22/2022	10:00 PM	0.3344231800	74.800	3.003	5.000	0.0000010000	-0.0000090040	9.7485341320E-9	0.0000347801	2.0661669118E-9	3.700	15.700
5/22/2022	10:01 PM	0.3293942600	74.800	3.011	5.003	0.0000010000	-0.0000089872	5.6947370410E-9	0.0000348013	3.3409532337E-9	3.600	15.700
5/22/2022	10:01 PM	0.3243653400	74.800	2.995	4.999	0.0000010000	-0.0000090086	4.8504859323E-9	0.0000347974	2.4211146877E-9	3.600	15.500
5/22/2022	10:02 PM	0.3193364200	74.800	3.003	5.003	0.0000010000	-0.0000090015	9.5130214289E-9	0.0000347833	3.3210174507E-9	3.600	15.800
5/22/2022	10:02 PM	0.3143075000	74.800	3.005	4.999	0.0000010000	-0.0000090020	7.9225228548E-9	0.0000348522	1.4404165995E-9	3.600	15.600
5/22/2022	10:03 PM	0.3092785800	74.800	2.982	4.998	0.0000010000	-0.0000089979	5.2616636431E-9	0.0000348408	3.4511547740E-9	3.600	15.700
5/22/2022	10:04 PM	0.3042496600	74.800	2.996	4.997	0.0000010000	-0.0000090136	6.6853068778E-9	0.0000348373	2.1610907579E-8	3.600	15.700
5/22/2022	10:04 PM	0.2992207400	74.800	2.990	4.999	0.0000010000	-0.0000089982	5.6877313398E-9	0.0000348125	2.2168338311E-8	3.600	15.700
5/22/2022	10:05 PM	0.2941918200	74.800	3.000	5.001	0.0000010000	-0.0000090169	7.4922054130E-9	0.0000347880	3.1682740136E-9	3.600	15.700
5/22/2022	10:06 PM	0.2891629000	74.800	3.004	4.999	0.0000010000	-0.0000090142	5.0051692745E-9	0.0000348053	2.3395119965E-9	3.600	15.900
5/22/2022	10:06 PM	0.2841339800	74.800	3.008	4.997	0.0000010000	-0.0000089939	8.4154012582E-9	0.0000348237	2.5289288611E-9	3.600	15.700
5/22/2022	10:07 PM	0.2791050600	74.800	2.996	5.000	0.0000010000	-0.0000090046	6.6116667225E-9	0.0000348625	1.2860613835E-9	3.700	15.700
5/22/2022	10:08 PM	0.2740761400	74.800	2.989	4.998	0.0000010000	-0.0000090165	1.1409130890E-8	0.0000348377	4.0863510651E-9	3.600	15.700
5/22/2022	10:08 PM	0.2690472200	74.800	2.994	4.998	0.0000010000	-0.0000090167	7.1474866671E-9	0.0000348116	3.9289424381E-9	3.600	15.600
5/22/2022	10:09 PM	0.2640183000	74.800	2.998	4.999	0.0000010000	-0.0000090153	6.3018848359E-9	0.0000347931	3.1049085741E-9	3.600	15.800
5/22/2022	10:10 PM	0.2589893800	74.800	2.993	4.997	0.0000010000	-0.0000090135	9.1947337299E-9	0.0000347575	4.7864077634E-9	3.600	15.600
5/22/2022	10:10 PM	0.2539604600	74.800	3.000	5.004	0.0000010000	-0.0000090003	5.8398113796E-9	0.0000347901	1.9017256893E-9	3.600	15.700
5/22/2022	10:11 PM	0.2489315400	74.800	3.019	5.000	0.0000010000	-0.0000090090	7.4817724631E-9	0.0000348245	9.8796700860E-10	3.600	15.800
5/22/2022	10:11 PM	0.2439026200	74.800	2.992	4.998	0.0000010000	-0.0000090012	5.5095296546E-9	0.0000347732	2.8092435396E-9	3.600	15.700
5/22/2022	10:12 PM	0.2388737000	74.800	2.984	4.998	0.0000010000	-0.0000090048	1.0475591855E-8	0.0000347658	3.1300826561E-9	3.600	15.800
5/22/2022	10:13 PM	0.2338447800	74.800	2.989	5.000	0.0000010000	-0.0000090190	7.1227719805E-9	0.0000347944	2.7689124541E-9	3.600	15.700
5/22/2022	10:13 PM	0.2288158600	74.800	2.983	5.002	0.0000010000	-0.0000090096	6.9695590005E-9	0.0000347769	2.8748873851E-9	3.600	15.700
5/22/2022	10:14 PM	0.2237869400	74.800	3.007	5.002	0.0000010000	-0.0000090164	4.7606925912E-9	0.0000348270	1.7934670332E-9	3.600	15.600
5/22/2022	10:15 PM	0.2187580200	74.800	2.997	4.999	0.0000010000	-0.0000090148	1.0057686147E-8	0.0000348637	2.2855041498E-8	3.600	15.700
5/22/2022	10:15 PM	0.2137291000	74.800	3.001	5.001	0.0000010000	-0.0000090083	7.6640831626E-9	0.0000347530	6.0706290037E-9	3.600	15.700
5/22/2022	10:16 PM	0.2087001800	74.800	2.984	4.999	0.0000010000	-0.0000089956	5.5503987483E-9	0.0000348408	1.4939403956E-9	3.600	15.600
5/22/2022	10:17 PM	0.2036712600	74.800	2.996	5.002	0.0000010000	-0.0000090031	7.5311126878E-9	0.0000348343	2.1564168070E-9	3.500	15.500
5/22/2022	10:17 PM	0.1986423400	74.800	2.993	5.000	0.0000010000	-0.0000090047	7.6483175612E-9	0.0000347945	2.8236266803E-9	3.600	15.700
5/22/2022	10:18 PM	0.1936134200	74.800	2.995	5.002	0.0000010000	-0.0000090108	7.3296159034E-9	0.0000347922	3.5723179772E-9	3.600	15.700
5/22/2022	10:18 PM	0.1885845000	74.800	2.998	5.002	0.0000010000	-0.0000090020	5.2459398947E-9	0.0000348205	2.5265342618E-9	3.600	15.800
5/22/2022	10:19 PM	0.1835555800	74.800	3.004	5.002	0.0000010000	-0.0000090056	8.0569296569E-9	0.0000347868	2.5667516028E-9	3.600	15.600
5/22/2022	10:20 PM	0.1785266600	74.800	3.001	5.000	0.0000010000	-0.0000090090	5.6589990545E-9	0.0000348154	4.4610424743E-9	3.500	15.700
5/22/2022	10:20 PM	0.1734977400	74.800	3.000	5.001	0.0000010000	-0.0000089948	1.1863656351E-8	0.0000348661	1.8716123670E-9	3.500	15.600
5/22/2022	10:21 PM	0.1697260500	74.800	3.006	5.002	0.0000010000	-0.0000090066	8.6351531677E-9	0.0000348522	1.6037971125E-9	3.600	15.600
5/22/2022	10:22 PM	0.1194368500	74.800	2.993	4.999	0.0000010000	-0.0000089998	8.3670731189E-9	0.0000348276	2.8622718816E-9	3.600	15.800
5/22/2022	10:22 PM	0.0691476500	74.800	3.002	5.001	0.0000010000	-0.0000090109	7.0533959793E-9	0.0000348505	1.1422803135E-9	3.600	15.700
5/22/2022	10:23 PM	0.0188584500	74.800	2.998	4.999	0.0000010000	-0.0000090099	5.8010647123E-9	0.0000348008	6.2187894516E-9	3.500	15.700
5/22/2022	10:24 PM	-0.0314307500	74.800	2.989	4.999	0.0000010000	-0.0000090119	8.2208510697E-9	0.0000348013	2.9799556101E-9	3.500	15.700
5/22/2022	10:25 PM	-0.0817199500	74.800	2.995	4.998	0.0000010000	-0.0000090146	1.0479979610E-8	0.0000348783	2.3573983356E-9	3.600	15.700
5/22/2022	10:25 PM	-0.1320091500	74.800	2.995	4.999	0.0000010000	-0.0000090051	4.5628841050E-9	0.0000348061	2.1251736091E-9	3.600	15.700
5/22/2022	10:26 PM	-0.1822983500	74.800	2.987	4.998	0.0000010000	-0.0000090214	7.5184703345E-9	0.0000348531	2.4213609801E-9	3.500	15.700
5/22/2022	10:27 PM	-0.1734977400	74.800	2.999	5.001	0.0000010000	-0.0000090033	8.8307220859E-9	0.0000348332	3.9121094424E-9	3.600	15.900
5/22/2022	10:27 PM	-0.1785266600	74.800	3.000	5.000	0.0000010000	-0.0000090004	6.4326890353E-9	0.0000348117	1.2760692430E-9	3.600	15.700
5/22/2022	10:28 PM	-0.1835555800	74.800	3.005	5.001	0.0000010000	-0.0000090132	7.7980413185E-9	0.0000348504	1.0860022573E-9	3.600	15.700
5/22/2022	10:29 PM	-0.1885845000	74.800	3.009	5.003	0.0000010000	-0.0000090078	8.3287329632E-9	0.0000348045	2.8128460104E-9	3.600	15.700
5/22/2022	10:29 PM	-0.1936134200	74.800	3.002	5.000	0.0000010000	-0.0000090073	7.4735133615E-9	0.0000348171	2.1123114498E-9	3.600	15.700
5/22/2022	10:30 PM	-0.1986423400	74.800	3.007	5.001	0.0000010000	-0.0000090131	8.6307392647E-9	0.0000348311	3.9753406284E-9	3.600	15.500
5/22/2022	10:30 PM	-0.2036712600	74.800	2.998	4.999	0.0000010000	-0.0000090116	8.3936987451E-9	0.0000348752	3.7478522560E-9	3.600	15.600
5/22/2022	10:31 PM	-0.2087001800	74.800	2.998	5.000	0.0000010000	-0.0000089991	9.6427138659E-9	0.0000348932	4.6486203379E-9	3.600	15.500
5/22/2022	10:32 PM	-0.2137291000	74.800	2.996	5.000	0.0000010000	-0.0000090139	1.1479543895E-8	0.0000348401	9.4326879784E-10	3.600	15.700
5/22/2022	10:32 PM	-0.2187580200	74.800	3.000	5.001	0.0000010000	-0.0000090117	7.3058631367E-9	0.0000348360	1.7828434843E-9	3.600	15.700
5/22/2022	10:33 PM	-0.2237869400	74.800	3.017	5.003	0.0000010000	-0.0000090146	6.0082020014E-9	0.0000348138	1.4932882864E-9	3.500	15.600
5/22/2022	10:34 PM	-0.2288158600	74.800	3.001	5.000	0.0000010000	-0.0000090193	8.5954857314E-9	0.0000348664	1.3236067977E-9	3.500	15.700
5/22/2022	10:34 PM	-0.2338447800	74.800	3.003	5.002	0.0000010000	-0.0000090142	6.6350640451E-9	0.0000347889	4.0081118082E-9	3.500	15.500
5/22/2022	10:35 PM	-0.2388737000	74.800	2.989	4.997	0.0000010000	-0.0000090203	4.5570478632E-9	0.0000348429	5.4649857042E-10	3.600	15.800
5/22/2022	10:36 PM	-0.2439026200	71.100	3.006	5.001	0.0000010000	-0.0000090029	5.5397490757E-9	0.0000348349	2.4000000000E-9	3.600	15.700
5/22/2022	10:36 PM	-0.2489315400	71.100	2.993	5.000	0.0000010000	-0.0000090133	6.5917558679E-9	0.0000348134	2.7586620743E-9	3.500	15.600
5/22/2022	10:37 PM	-0.2539604600	71.100	3.001	5.000	0.0000010000	-0.0000090167	8.0592676839E-9	0.0000348040	2.8780357267E-9	3.600	15.700
5/22/2022	10:37 PM	-0.2589893800	71.100	3.023	5.005	0.0000010000	-0.0000090201	8.9333935580E-9	0.0000347808	4.2209948556E-9	3.500	15.700
5/22/2022	10:38 PM	-0.2640183000	71.100	2.997	5.001	0.0000010000	-0.0000089987	8.9320763153E-9	0.0000348229	2.3303472743E-9	3.600	15.600
5/22/2022	10:39 PM	-0.2690472200	71.100	3.000	5.000	0.0000010000	-0.0000090169	5.0027413226E-9	0.0000348884	2.9513293300E-9	3.500	15.600
5/22/2022	10:39 PM	-0.2740761400	71.100	3.006	5.000	0.0000010000	-0.0000090059	5.7134846524E-9	0.0000348558	4.3994129571E-9	3.600	15.700
