! User Name:	Aditya 
! Sample Name:	Device 2_PF 8T wait time 1 hour
! Sample ID:	FGT/CrPS4
! Date:	5/24/2022	Time:	5:55 PM
! Current Source:	Keithley 224 Current Source
! Voltmeter V1:	Keithley 182 Degital voltmeter
! Voltmeter V2:	Keithley 2182A  NanoVoltmeter
! V1 (volts):	Rxx Device 1
! V2 (volts):	Rxy Device 1
! Max Field (Tesla):0.000000	! Data points (0_maxT:75.000000	! Average Number:5.000000	
! Comments:	FGT/CrPS4 device was made in glove using flaking and dry transfering of flakes. 
! 
! 
! 
! 
Data	Time	Magnetic Field (T)	Helium Level (%)	VTI Temperature (K)	Sample Temparture (K)	Current (A) 	Voltage-1(V)	Std. of V1	Voltage-2 (V)	Std. of V2	VTI  Heater Power (%)	Sample Heater Power (%)
5/24/2022	5:57 PM	0.2501887700	52.000	52.780	54.994	0.0000010000	-0.0000090671	3.4060982828E-9	0.0000352606	5.4063625993E-10	6.700	27.800
5/24/2022	5:58 PM	0.2451598500	100.000	78.010	80.001	0.0000010000	-0.0000090580	6.4411544052E-9	0.0000352578	7.6278691088E-10	19.400	37.800
5/24/2022	5:59 PM	0.2401309300	100.000	78.010	80.000	0.0000010000	-0.0000090543	3.7798481423E-9	0.0000352513	5.6968808264E-10	19.400	37.800
5/24/2022	5:59 PM	0.2351020100	100.000	78.010	80.001	0.0000010000	-0.0000090604	6.4651363279E-9	0.0000352677	1.4677078252E-9	19.400	37.800
5/24/2022	6:00 PM	0.2300730900	100.000	78.010	80.000	0.0000010000	-0.0000090497	7.4790347440E-9	0.0000352620	8.0438357199E-10	19.300	37.800
5/24/2022	6:00 PM	0.2250441700	100.000	78.010	80.001	0.0000010000	-0.0000090506	4.3724266016E-9	0.0000352696	1.1998427010E-9	19.300	37.800
5/24/2022	6:01 PM	0.2200152500	100.000	78.010	79.999	0.0000010000	-0.0000090641	5.1852099031E-9	0.0000352631	1.5465376345E-9	19.300	37.800
5/24/2022	6:02 PM	0.2149863300	100.000	78.010	80.000	0.0000010000	-0.0000090368	7.2837158381E-9	0.0000352527	5.6368092478E-10	19.300	37.800
5/24/2022	6:02 PM	0.2099574100	100.000	78.010	80.001	0.0000010000	-0.0000090567	4.1119803602E-9	0.0000352638	3.9633576589E-10	19.300	37.800
5/24/2022	6:03 PM	0.2049284900	100.000	78.010	80.000	0.0000010000	-0.0000090527	3.8641452328E-9	0.0000352750	1.1896410602E-9	19.300	37.700
5/24/2022	6:04 PM	0.1998995700	100.000	78.010	80.001	0.0000010000	-0.0000090649	6.4474928174E-9	0.0000352242	3.8479998203E-9	19.300	37.800
5/24/2022	6:04 PM	0.1948706500	100.000	78.010	80.000	0.0000010000	-0.0000090415	1.0464959057E-8	0.0000352561	2.9154759474E-10	19.200	37.800
5/24/2022	6:05 PM	0.1898417300	100.000	78.010	80.000	0.0000010000	-0.0000090617	6.1520136495E-9	0.0000352528	1.6275263718E-9	19.200	37.700
5/24/2022	6:06 PM	0.1848128100	100.000	78.010	80.001	0.0000010000	-0.0000090381	7.3519936943E-9	0.0000352706	6.4510098534E-10	19.200	37.700
5/24/2022	6:06 PM	0.1797838900	100.000	78.010	79.999	0.0000010000	-0.0000090733	5.3611392196E-9	0.0000352639	7.5522851952E-10	19.200	37.700
5/24/2022	6:07 PM	0.1747549700	100.000	78.010	80.000	0.0000010000	-0.0000090287	6.5438036279E-9	0.0000352810	6.6099096785E-10	19.200	37.700
5/24/2022	6:08 PM	0.1697260500	100.000	78.010	80.000	0.0000010000	-0.0000090661	4.5985317323E-9	0.0000352443	1.8059747542E-8	19.200	37.800
5/24/2022	6:08 PM	0.1646971300	100.000	78.010	79.999	0.0000010000	-0.0000090461	6.8655101676E-9	0.0000352790	7.8579944521E-10	19.200	37.800
