! User Name:	Aditya 
! Sample Name:	Device 2_PF 8T wait time 1 hour
! Sample ID:	FGT/CrPS4
! Date:	5/24/2022	Time:	5:55 PM
! Current Source:	Keithley 224 Current Source
! Voltmeter V1:	Keithley 182 Degital voltmeter
! Voltmeter V2:	Keithley 2182A  NanoVoltmeter
! V1 (volts):	Rxx Device 1
! V2 (volts):	Rxy Device 1
! Max Field (Tesla):0.000000	! Data points (0_maxT:75.000000	! Average Number:5.000000	
! Comments:	FGT/CrPS4 device was made in glove using flaking and dry transfering of flakes. 
! 
! 
! 
! 
Data	Time	Magnetic Field (T)	Helium Level (%)	VTI Temperature (K)	Sample Temparture (K)	Current (A) 	Voltage-1(V)	Std. of V1	Voltage-2 (V)	Std. of V2	VTI  Heater Power (%)	Sample Heater Power (%)
5/24/2022	8:08 PM	0.2501887700	100.100	78.010	80.000	0.0000010000	-0.0000090700	8.6881277414E-9	0.0000352528	4.1402208188E-10	17.700	37.300
5/24/2022	8:09 PM	0.2451598500	100.100	78.000	80.001	0.0000010000	-0.0000090464	6.6701144023E-9	0.0000352686	1.8708286934E-10	17.700	37.300
5/24/2022	8:09 PM	0.2401309300	100.100	78.000	80.000	0.0000010000	-0.0000090615	4.7503847908E-9	0.0000352410	3.2889709886E-9	17.700	37.300
5/24/2022	8:10 PM	0.2351020100	100.100	78.000	80.000	0.0000010000	-0.0000090483	6.7890039474E-9	0.0000352561	6.6099096785E-10	17.700	37.200
5/24/2022	8:11 PM	0.2300730900	100.100	78.000	80.000	0.0000010000	-0.0000090497	8.0104341888E-9	0.0000352520	1.3953874667E-9	17.700	37.200
5/24/2022	8:11 PM	0.2250441700	100.100	78.000	79.999	0.0000010000	-0.0000090640	4.9799331279E-9	0.0000352667	5.8708286934E-10	17.700	37.300
5/24/2022	8:12 PM	0.2200152500	100.100	78.000	80.000	0.0000010000	-0.0000090423	6.0645239638E-9	0.0000352568	2.0000000000E-10	17.700	37.300
5/24/2022	8:12 PM	0.2149863300	100.100	78.000	80.000	0.0000010000	-0.0000090633	5.7306351438E-9	0.0000352613	9.0687121620E-10	17.700	37.200
5/24/2022	8:13 PM	0.2099574100	100.100	78.010	80.000	0.0000010000	-0.0000090409	7.1591094597E-9	0.0000352509	7.6588924377E-10	17.700	37.300
5/24/2022	8:14 PM	0.2049284900	100.100	78.000	80.000	0.0000010000	-0.0000090649	8.8704743215E-9	0.0000352489	9.3911649916E-10	17.700	37.300
5/24/2022	8:14 PM	0.1998995700	100.100	78.010	80.000	0.0000010000	-0.0000090618	7.6085437031E-9	0.0000352610	1.3226588009E-9	17.700	37.200
5/24/2022	8:15 PM	0.1948706500	97.800	78.000	80.000	0.0000010000	-0.0000090699	7.3569289353E-9	0.0000352332	1.8843764701E-9	17.700	37.300
5/24/2022	8:16 PM	0.1898417300	97.800	78.000	80.000	0.0000010000	-0.0000090501	5.8153380778E-9	0.0000352547	9.3186001849E-10	17.700	37.200
5/24/2022	8:16 PM	0.1848128100	97.800	78.000	80.000	0.0000010000	-0.0000090577	5.3473982681E-9	0.0000352610	3.9154759474E-10	17.700	37.200
5/24/2022	8:17 PM	0.1797838900	97.800	78.000	80.000	0.0000010000	-0.0000090482	6.1053981618E-9	0.0000352570	6.6368092477E-10	17.700	37.300
5/24/2022	8:18 PM	0.1747549700	97.800	78.000	80.000	0.0000010000	-0.0000090722	8.9414582171E-9	0.0000352653	1.2018130065E-9	17.700	37.200
5/24/2022	8:18 PM	0.1697260500	97.800	78.000	80.000	0.0000010000	-0.0000090555	7.7798873304E-9	0.0000352613	6.8728772252E-10	17.700	37.300
5/24/2022	8:19 PM	0.1646971300	97.800	78.000	80.000	0.0000010000	-0.0000090563	9.2704772037E-9	0.0000352650	9.3186001849E-10	17.700	37.200
5/24/2022	8:20 PM	0.1596682100	97.800	78.000	80.001	0.0000010000	-0.0000090385	5.7109297924E-9	0.0000352619	9.3851648071E-10	17.700	37.200
