! User Name:	Aditya 
! Sample Name:	FGT_CPS_Device 2_FCf290K_P8T
! Sample ID:	FGT/CrPS4
! Date:	5/25/2022	Time:	4:53 PM
! Current Source:	Keithley 224 Current Source
! Voltmeter V1:	Keithley 182 Degital voltmeter
! Voltmeter V2:	Keithley 2182A  NanoVoltmeter
! V1 (volts):	Rxx Device 1
! V2 (volts):	Rxy Device 1
! Max Field (Tesla):0.000000	! Data points (0_maxT:75.000000	! Average Number:5.000000	
! Comments:	FGT/CrPS4 device was made in glove using flaking and dry transfering of flakes. 
! 
! 
! 
! 
Data	Time	Magnetic Field (T)	Helium Level (%)	VTI Temperature (K)	Sample Temparture (K)	Current (A) 	Voltage-1(V)	Std. of V1	Voltage-2 (V)	Std. of V2	VTI  Heater Power (%)	Sample Heater Power (%)
5/25/2022	4:55 PM	0.1005784000	52.000	52.780	54.994	0.0000010000	-0.0000123041	3.5191040678E-9	0.0000231047	9.1203127704E-10	6.700	27.800
5/25/2022	4:56 PM	0.0955494800	41.100	98.010	99.999	0.0000010000	-0.0000123085	9.9925313165E-9	0.0000231122	8.9206987131E-10	14.800	38.400
5/25/2022	4:56 PM	0.0905205600	41.100	98.000	99.999	0.0000010000	-0.0000123089	6.0758261139E-9	0.0000230926	4.4966147775E-10	14.800	38.400
5/25/2022	4:57 PM	0.0854916400	41.100	98.010	99.999	0.0000010000	-0.0000123053	5.5808073761E-9	0.0000231060	4.9664022582E-10	14.800	38.400
5/25/2022	4:58 PM	0.0804627200	41.100	98.010	100.000	0.0000010000	-0.0000123135	6.2116744329E-9	0.0000230701	2.0013430746E-9	14.800	38.400
5/25/2022	4:58 PM	0.0754338000	41.100	98.010	99.999	0.0000010000	-0.0000123070	4.2647693434E-9	0.0000230901	7.8880488828E-10	14.800	38.400
5/25/2022	4:59 PM	0.0704048800	41.100	98.010	100.000	0.0000010000	-0.0000123122	7.7055056803E-9	0.0000230949	6.8506723903E-10	14.800	38.500
5/25/2022	5:00 PM	0.0653759600	41.100	98.010	100.000	0.0000010000	-0.0000122947	7.0704815754E-9	0.0000230909	1.1039416252E-9	14.700	38.400
5/25/2022	5:00 PM	0.0603470400	41.100	98.010	100.000	0.0000010000	-0.0000123172	4.3405872461E-9	0.0000230726	1.2110515400E-9	14.700	38.500
5/25/2022	5:01 PM	0.0553181200	41.100	98.010	100.000	0.0000010000	-0.0000123034	8.1585425592E-9	0.0000230971	3.0955735648E-10	14.700	38.400
5/25/2022	5:02 PM	0.0502892000	41.100	98.010	100.000	0.0000010000	-0.0000123167	4.3698959323E-9	0.0000230732	1.2847679857E-9	14.700	38.400
5/25/2022	5:02 PM	0.0452602800	41.100	98.010	99.999	0.0000010000	-0.0000123076	3.9787791269E-9	0.0000230849	3.5495097568E-10	14.700	38.500
5/25/2022	5:03 PM	0.0402313600	41.100	98.010	100.000	0.0000010000	-0.0000123119	7.0118696961E-9	0.0000230701	1.4149090930E-9	14.700	38.500
5/25/2022	5:04 PM	0.0352024400	41.100	98.010	99.998	0.0000010000	-0.0000123133	5.1991162735E-9	0.0000231019	1.6276472679E-9	14.700	38.500
5/25/2022	5:04 PM	0.0301735200	41.100	98.010	100.000	0.0000010000	-0.0000123168	5.2524137671E-9	0.0000230851	2.9154759474E-10	14.700	38.500
5/25/2022	5:05 PM	0.0251446000	41.100	98.010	99.999	0.0000010000	-0.0000123128	5.6429897626E-9	0.0000230901	5.6368092477E-10	14.600	38.500
5/25/2022	5:06 PM	0.0201156800	41.100	98.010	100.000	0.0000010000	-0.0000122959	7.5365120132E-9	0.0000231221	1.1812006585E-9	14.600	38.500
5/25/2022	5:06 PM	0.0150867600	41.100	98.010	100.000	0.0000010000	-0.0000123164	3.3692275053E-9	0.0000230918	3.5495097568E-10	14.600	38.500
5/25/2022	5:07 PM	0.0100578400	41.100	98.010	100.000	0.0000010000	-0.0000123053	4.7151039392E-9	0.0000230857	1.2549509757E-9	14.600	38.500
5/25/2022	5:08 PM	0.0050289200	41.100	98.010	100.000	0.0000010000	-0.0000123074	5.7797300484E-9	0.0000230835	8.3597923345E-10	14.600	38.500
5/25/2022	5:08 PM	0.0000000000	41.100	98.010	100.000	0.0000010000	-0.0000123212	2.7598088196E-9	0.0000230990	7.2093678194E-10	14.600	38.600
5/25/2022	5:09 PM	-0.0050289200	41.100	98.010	100.000	0.0000010000	-0.0000123037	8.3966984657E-9	0.0000230881	9.9247166206E-10	14.600	38.600
5/25/2022	5:10 PM	-0.0100578400	41.100	98.010	100.000	0.0000010000	-0.0000123208	5.1058153195E-9	0.0000230940	4.0000000000E-10	14.600	38.600
5/25/2022	5:10 PM	-0.0150867600	41.100	98.010	99.999	0.0000010000	-0.0000123094	5.1603163593E-9	0.0000230890	1.0112939289E-9	14.600	38.600
5/25/2022	5:11 PM	-0.0201156800	41.100	98.010	100.000	0.0000010000	-0.0000123055	9.9156791928E-9	0.0000230478	1.8827736030E-9	14.600	38.600
5/25/2022	5:11 PM	-0.0251446000	41.100	98.010	100.000	0.0000010000	-0.0000123246	7.4536947765E-9	0.0000231096	3.2360679775E-10	14.500	38.600
5/25/2022	5:12 PM	-0.0301735200	41.100	98.010	100.000	0.0000010000	-0.0000123163	3.8224788961E-9	0.0000230894	1.6868267677E-9	14.500	38.600
5/25/2022	5:13 PM	-0.0352024400	41.100	98.010	100.000	0.0000010000	-0.0000123048	6.3126380675E-9	0.0000231102	3.5495097568E-10	14.500	38.600
5/25/2022	5:13 PM	-0.0402313600	41.100	98.010	100.000	0.0000010000	-0.0000123139	6.7205293858E-9	0.0000231100	7.4031242374E-10	14.500	38.600
5/25/2022	5:14 PM	-0.0452602800	41.100	98.010	100.000	0.0000010000	-0.0000123128	5.9976281248E-9	0.0000230924	2.2247448714E-10	14.500	38.600
5/25/2022	5:15 PM	-0.0502892000	41.100	98.010	100.000	0.0000010000	-0.0000123178	3.2668369375E-9	0.0000230824	8.3804616516E-10	14.500	38.500
5/25/2022	5:15 PM	-0.0553181200	41.100	98.010	99.999	0.0000010000	-0.0000123271	5.1464887365E-9	0.0000230776	7.3851648071E-10	14.500	38.700
5/25/2022	5:16 PM	-0.0603470400	42.000	98.010	99.999	0.0000010000	-0.0000123010	5.4366782022E-9	0.0000231066	5.7416573868E-10	14.500	38.600
5/25/2022	5:17 PM	-0.0653759600	42.000	98.010	100.000	0.0000010000	-0.0000123072	7.2018916013E-9	0.0000230889	5.5259075049E-10	14.500	38.600
5/25/2022	5:17 PM	-0.0704048800	42.000	98.000	100.000	0.0000010000	-0.0000123127	5.2125203561E-9	0.0000231077	4.7602787773E-10	14.500	38.600
