! User Name:	Aditya 
! Sample Name:	FGT_CPS_Device 2_FCf290K_P8T
! Sample ID:	FGT/CrPS4
! Date:	5/27/2022	Time:	8:26 AM
! Current Source:	Keithley 224 Current Source
! Voltmeter V1:	Keithley 182 Degital voltmeter
! Voltmeter V2:	Keithley 2182A  NanoVoltmeter
! V1 (volts):	Rxx Device 1
! V2 (volts):	Rxy Device 1
! Max Field (Tesla):0.000000	! Data points (0_maxT:75.000000	! Average Number:5.000000	
! Comments:	FGT/CrPS4 device was made in glove using flaking and dry transfering of flakes. 
! 
! 
! 
! 
Data	Time	Magnetic Field (T)	Helium Level (%)	VTI Temperature (K)	Sample Temparture (K)	Current (A) 	Voltage-1(V)	Std. of V1	Voltage-2 (V)	Std. of V2	VTI  Heater Power (%)	Sample Heater Power (%)
5/27/2022	10:43 AM	0.3495099400	56.500	68.000	70.000	0.0000010000	-0.0000115699	7.1955936489E-9	0.0000273342	7.5495097568E-10	11.900	33.500
5/27/2022	10:44 AM	0.3444810200	56.500	68.000	70.000	0.0000010000	-0.0000115703	6.8799730723E-9	0.0000273242	1.2022703843E-9	11.900	33.600
5/27/2022	10:45 AM	0.3394521000	56.500	68.000	70.000	0.0000010000	-0.0000115748	3.8588792868E-9	0.0000273423	7.4031242374E-10	11.900	33.600
5/27/2022	10:46 AM	0.3344231800	56.500	68.000	70.000	0.0000010000	-0.0000115723	6.1351833565E-9	0.0000273413	1.0841646071E-9	11.900	33.600
5/27/2022	10:46 AM	0.3293942600	56.500	68.000	70.000	0.0000010000	-0.0000115758	4.1642056849E-9	0.0000273203	1.5074720840E-9	11.900	33.500
5/27/2022	10:47 AM	0.3243653400	56.500	68.000	70.000	0.0000010000	-0.0000115900	6.8035083282E-9	0.0000272863	4.1764848473E-9	11.900	33.500
5/27/2022	10:48 AM	0.3193364200	56.500	68.000	70.000	0.0000010000	-0.0000115680	4.3076871703E-9	0.0000273337	3.4608128489E-10	11.900	33.500
5/27/2022	10:48 AM	0.3143075000	56.500	68.000	70.000	0.0000010000	-0.0000115767	7.7174079913E-9	0.0000273010	1.9920464457E-9	11.900	33.500
5/27/2022	10:49 AM	0.3092785800	56.500	68.000	70.000	0.0000010000	-0.0000115663	7.3476561603E-9	0.0000273286	1.2301162634E-9	11.900	33.500
5/27/2022	10:50 AM	0.3042496600	56.500	68.000	70.000	0.0000010000	-0.0000115658	5.4527258299E-9	0.0000273272	5.3011626335E-10	11.900	33.500
