! User Name:	Aditya
! Sample Name:	FGT_CPS_device_2_PF_M1T_90m
! Sample ID:	FGT/CrPS4
! Date:	6/8/2022	Time:	1:31 AM
! Current Source:	Keithley 224 Current Source
! Voltmeter V1:	Keithley 182 Degital voltmeter
! Voltmeter V2:	Keithley 2182A  NanoVoltmeter
! V1 (volts):	Rxx  Device 1
! V2 (volts):	Rxy Device 1
! Max Field (Tesla):0.250000	! Data points (0_maxT:50.000000	! Average Number:5.000000	
! Comments:	FGT/CrPS4 device was made in glove using flaking and dry transfering of flakes. 
! 
! 
! 
! 
Data	Time	Magnetic Field (T)	Helium Level (%)	VTI Temperature (K)	Sample Temparture (K)	Current (A) 	Voltage-1(V)	Std. of V1	Voltage-2 (V)	Std. of V2	VTI  Heater Power (%)	Sample Heater Power (%)
6/8/2022	1:33 AM	-0.2501887700	52.000	52.780	54.994	0.0000010000	0.0000079729	9.8302788041E-9	0.0000015917	6.8309518948E-10	6.700	27.800
6/8/2022	1:34 AM	-0.2451598500	100.100	78.000	80.000	0.0000010000	0.0000079657	4.8163695590E-9	0.0000015907	6.8476798574E-10	13.200	34.600
6/8/2022	1:35 AM	-0.2401309300	100.100	78.000	80.000	0.0000010000	0.0000079642	5.4850165695E-9	0.0000016070	7.2048368230E-10	13.200	34.600
6/8/2022	1:36 AM	-0.2351020100	100.100	78.000	80.000	0.0000010000	0.0000079700	6.8606469992E-9	0.0000015992	8.9206987131E-10	13.200	34.600
6/8/2022	1:37 AM	-0.2300730900	100.100	78.000	80.000	0.0000010000	0.0000079641	3.3113708955E-9	0.0000016098	9.3186001849E-10	13.200	34.600
6/8/2022	1:37 AM	-0.2250441700	100.100	78.000	80.000	0.0000010000	0.0000079614	7.6006699776E-9	0.0000015928	5.3851648071E-10	13.200	34.600
6/8/2022	1:38 AM	-0.2200152500	100.100	78.000	80.000	0.0000010000	0.0000079679	6.9302195782E-9	0.0000016013	1.2247448714E-10	13.200	34.600
6/8/2022	1:39 AM	-0.2149863300	100.100	78.000	80.001	0.0000010000	0.0000079703	5.0146797418E-9	0.0000015482	4.1963974107E-9	13.200	34.600
6/8/2022	1:39 AM	-0.2099574100	100.100	78.000	79.999	0.0000010000	0.0000079649	6.8412588980E-9	0.0000016024	6.6115289591E-10	13.200	34.600
6/8/2022	1:40 AM	-0.2049284900	100.100	78.000	80.000	0.0000010000	0.0000079613	7.4710319231E-9	0.0000015974	1.1590001630E-9	13.200	34.700
