! User Name:	Aditya
! Sample Name:	FGT_CPS_device_2_PF_M1T_90m
! Sample ID:	FGT/CrPS4
! Date:	6/8/2022	Time:	2:26 PM
! Current Source:	Keithley 224 Current Source
! Voltmeter V1:	Keithley 182 Degital voltmeter
! Voltmeter V2:	Keithley 2182A  NanoVoltmeter
! V1 (volts):	Rxx  Device 1
! V2 (volts):	Rxy Device 1
! Max Field (Tesla):0.250000	! Data points (0_maxT:50.000000	! Average Number:5.000000	
! Comments:	FGT/CrPS4 device was made in glove using flaking and dry transfering of flakes. 
! 
! 
! 
! 
Data	Time	Magnetic Field (T)	Helium Level (%)	VTI Temperature (K)	Sample Temparture (K)	Current (A) 	Voltage-1(V)	Std. of V1	Voltage-2 (V)	Std. of V2	VTI  Heater Power (%)	Sample Heater Power (%)
6/8/2022	4:39 PM	-0.2501887700	58.800	73.000	75.000	0.0000020000	0.0000158598	3.8711667515E-9	0.0000031345	1.0567515039E-9	12.600	33.400
6/8/2022	4:39 PM	-0.2451598500	58.800	73.000	75.000	0.0000020000	0.0000158688	8.1140368607E-9	0.0000031179	4.8476798574E-10	12.600	33.400
6/8/2022	4:40 PM	-0.2401309300	58.800	73.000	75.000	0.0000020000	0.0000158638	6.1783082228E-9	0.0000031223	1.0850584661E-9	12.600	33.400
6/8/2022	4:41 PM	-0.2351020100	58.800	73.000	75.000	0.0000020000	0.0000158652	5.9164830110E-9	0.0000031177	4.4203384502E-10	12.600	33.400
6/8/2022	4:41 PM	-0.2300730900	58.800	73.000	75.000	0.0000020000	0.0000158604	7.6734998430E-9	0.0000031300	9.3186001849E-10	12.600	33.400
6/8/2022	4:42 PM	-0.2250441700	58.800	73.000	75.000	0.0000020000	0.0000158602	4.7839308456E-9	0.0000031080	1.9252802845E-9	12.600	33.400
6/8/2022	4:42 PM	-0.2200152500	58.800	73.000	75.000	0.0000020000	0.0000158564	5.6159020716E-9	0.0000031229	1.0567515039E-9	12.600	33.400
6/8/2022	4:43 PM	-0.2149863300	58.800	73.000	75.000	0.0000020000	0.0000158560	6.4229050031E-9	0.0000031211	8.3900310986E-10	12.600	33.400
6/8/2022	4:44 PM	-0.2099574100	58.800	73.000	74.999	0.0000020000	0.0000158681	4.6779802072E-9	0.0000031214	1.8708286934E-10	12.600	33.400
6/8/2022	4:44 PM	-0.2049284900	58.800	73.000	75.000	0.0000020000	0.0000158702	7.1817149767E-9	0.0000031213	3.4608128489E-10	12.600	33.400
6/8/2022	4:45 PM	-0.1998995700	58.800	73.000	75.000	0.0000020000	0.0000158654	3.7112576448E-9	0.0000031301	1.8708286934E-10	12.600	33.400
6/8/2022	4:46 PM	-0.1948706500	58.800	73.000	75.001	0.0000020000	0.0000158718	6.2769275200E-9	0.0000031185	6.7185085508E-10	12.600	33.300
6/8/2022	4:46 PM	-0.1898417300	58.800	73.000	75.000	0.0000020000	0.0000158532	9.4027176011E-9	0.0000031299	8.6988284501E-10	12.600	33.400
6/8/2022	4:47 PM	-0.1848128100	58.800	73.000	75.001	0.0000020000	0.0000158623	4.9958165656E-9	0.0000031399	1.4301162634E-9	12.600	33.400
6/8/2022	4:48 PM	-0.1797838900	58.800	73.000	75.000	0.0000020000	0.0000158724	7.0156344493E-9	0.0000031246	4.9154759474E-10	12.600	33.400
6/8/2022	4:48 PM	-0.1747549700	58.800	73.000	75.000	0.0000020000	0.0000158545	6.3826400449E-9	0.0000031046	1.6419632633E-9	12.600	33.400
6/8/2022	4:49 PM	-0.1697260500	58.800	73.000	75.000	0.0000020000	0.0000158676	6.6755880011E-9	0.0000031347	4.1402208188E-10	12.600	33.400
6/8/2022	4:50 PM	-0.1646971300	58.800	73.000	75.000	0.0000020000	0.0000158652	7.0161859487E-9	0.0000031293	7.3971896142E-10	12.600	33.400
6/8/2022	4:50 PM	-0.1596682100	58.800	73.000	75.000	0.0000020000	0.0000158816	1.0245868001E-8	0.0000031048	1.0144781624E-9	12.600	33.400
6/8/2022	4:51 PM	-0.1546392900	58.800	73.000	75.000	0.0000020000	0.0000158658	4.6692072324E-9	0.0000030814	3.2553232235E-9	12.600	33.400
6/8/2022	4:52 PM	-0.1496103700	58.800	73.000	75.001	0.0000020000	0.0000158616	3.0216861129E-9	0.0000031131	6.7008771255E-10	12.600	33.400
6/8/2022	4:52 PM	-0.1445814500	58.800	73.000	75.000	0.0000020000	0.0000158561	8.1141662085E-9	0.0000031187	8.5192024052E-10	12.600	33.400
6/8/2022	4:53 PM	-0.1395525300	58.800	73.000	75.001	0.0000020000	0.0000158590	6.0771985531E-9	0.0000031316	5.4649857042E-10	12.600	33.400
6/8/2022	4:54 PM	-0.1345236100	58.800	73.000	75.001	0.0000020000	0.0000158566	5.4467991452E-9	0.0000031184	4.5355339059E-10	12.600	33.400
6/8/2022	4:54 PM	-0.1294946900	58.800	73.000	75.000	0.0000020000	0.0000158706	5.4115394965E-9	0.0000031186	4.3011626335E-10	12.600	33.400
