! User Name:	Aditya 
! Sample Name:	FGT_CPS_Device 2_PF P1T_100m_
! Sample ID:	FGT/CrPS4
! Date:	5/28/2022	Time:	8:58 PM
! Current Source:	Keithley 224 Current Source
! Voltmeter V1:	Keithley 182 Degital voltmeter
! Voltmeter V2:	Keithley 2182A  NanoVoltmeter
! V1 (volts):	Rxx Device 1
! V2 (volts):	Rxy Device 1
! Max Field (Tesla):0.000000	! Data points (0_maxT:75.000000	! Average Number:5.000000	
! Comments:	FGT/CrPS4 device was made in glove using flaking and dry transfering of flakes. 
! 
! 
! 
! 
Data	Time	Magnetic Field (T)	Helium Level (%)	VTI Temperature (K)	Sample Temparture (K)	Current (A) 	Voltage-1(V)	Std. of V1	Voltage-2 (V)	Std. of V2	VTI  Heater Power (%)	Sample Heater Power (%)
5/28/2022	9:00 PM	0.3004779700	52.000	52.780	54.994	0.0000010000	-0.0000122546	8.0443306079E-9	0.0000269418	5.4649857042E-10	6.700	27.800
5/28/2022	9:01 PM	0.2954490500	100.100	68.000	70.000	0.0000010000	-0.0000122449	9.0334980877E-9	0.0000269060	2.6802437681E-9	14.500	34.500
5/28/2022	9:02 PM	0.2904201300	100.100	68.000	70.000	0.0000010000	-0.0000122467	5.1200882444E-9	0.0000269160	8.4833147735E-10	14.500	34.400
5/28/2022	9:02 PM	0.2853912100	100.100	68.000	70.000	0.0000010000	-0.0000122447	7.2142381479E-9	0.0000269062	2.5355427630E-9	14.500	34.400
5/28/2022	9:03 PM	0.2803622900	100.100	68.000	70.000	0.0000010000	-0.0000122494	4.0430030940E-9	0.0000269151	1.2074720840E-9	14.500	34.400
5/28/2022	9:03 PM	0.2753333700	100.100	68.000	70.000	0.0000010000	-0.0000122665	6.3893784090E-9	0.0000269093	2.4801097075E-9	14.500	34.400
5/28/2022	9:04 PM	0.2703044500	100.100	68.000	70.000	0.0000010000	-0.0000122549	3.7516146056E-9	0.0000269110	1.8200139948E-9	14.500	34.400
5/28/2022	9:05 PM	0.2652755300	100.200	68.000	70.000	0.0000010000	-0.0000122566	3.2979094672E-9	0.0000269049	2.8582235453E-9	14.500	34.400
5/28/2022	9:05 PM	0.2602466100	100.200	68.000	70.000	0.0000010000	-0.0000122539	4.0280731042E-9	0.0000269156	1.5108320987E-9	14.500	34.400
5/28/2022	9:06 PM	0.2552176900	100.200	68.000	70.001	0.0000010000	-0.0000122462	4.5928241349E-9	0.0000269153	5.3851648071E-10	14.500	34.400
5/28/2022	9:07 PM	0.2501887700	100.200	68.000	70.000	0.0000010000	-0.0000122694	3.9872874203E-9	0.0000268961	3.0722721342E-9	14.500	34.400
5/28/2022	9:07 PM	0.2451598500	100.200	68.000	70.000	0.0000010000	-0.0000122603	1.0349692590E-8	0.0000269526	4.1402208188E-10	14.500	34.400
5/28/2022	9:08 PM	0.2401309300	100.200	68.000	70.000	0.0000010000	-0.0000122629	6.6211296657E-9	0.0000269331	8.5893372442E-10	14.500	34.400
5/28/2022	9:09 PM	0.2351020100	100.200	68.000	70.000	0.0000010000	-0.0000122594	6.2310176579E-9	0.0000269198	1.3774645269E-9	14.500	34.400
5/28/2022	9:09 PM	0.2300730900	100.200	68.000	70.000	0.0000010000	-0.0000122700	4.0892967367E-9	0.0000269208	1.8369085302E-9	14.500	34.400
5/28/2022	9:10 PM	0.2250441700	100.200	68.000	69.999	0.0000010000	-0.0000122520	6.5933044837E-9	0.0000269313	4.7863046408E-10	14.500	34.400
5/28/2022	9:10 PM	0.2200152500	100.200	68.000	70.000	0.0000010000	-0.0000122451	5.3611148231E-9	0.0000268819	5.4502410729E-9	14.500	34.400
5/28/2022	9:11 PM	0.2149863300	100.200	68.000	70.000	0.0000010000	-0.0000122552	7.7970044067E-9	0.0000269318	3.5495097568E-10	14.500	34.400
5/28/2022	9:12 PM	0.2099574100	100.200	68.000	70.000	0.0000010000	-0.0000122546	6.6084944497E-9	0.0000269134	1.1905713948E-9	14.500	34.400
5/28/2022	9:13 PM	0.2049284900	100.200	68.000	70.000	0.0000010000	-0.0000122448	8.1942689508E-9	0.0000269320	1.2415627675E-9	14.500	34.400
5/28/2022	9:13 PM	0.1998995700	100.200	68.000	70.000	0.0000010000	-0.0000122466	4.8776265945E-9	0.0000269263	1.1082951062E-9	14.500	34.400
5/28/2022	9:14 PM	0.1948706500	100.200	68.000	70.000	0.0000010000	-0.0000122485	4.5657858879E-9	0.0000269098	3.4370439892E-9	14.500	34.400
5/28/2022	9:15 PM	0.1898417300	100.200	68.000	70.000	0.0000010000	-0.0000122517	4.3349723511E-9	0.0000269360	9.2247448714E-10	14.500	34.400
5/28/2022	9:15 PM	0.1848128100	100.200	68.000	70.000	0.0000010000	-0.0000122466	5.4209853019E-9	0.0000269150	2.8535678877E-9	14.500	34.400
5/28/2022	9:16 PM	0.1797838900	100.200	68.000	70.000	0.0000010000	-0.0000122447	6.6707387988E-9	0.0000269541	1.4618962600E-9	14.500	34.400
5/28/2022	9:17 PM	0.1747549700	100.200	68.000	70.000	0.0000010000	-0.0000122519	6.3952188791E-9	0.0000268884	5.0375985848E-9	14.500	34.400
5/28/2022	9:17 PM	0.1697260500	100.200	68.000	69.999	0.0000010000	-0.0000122469	8.5983922184E-9	0.0000269370	7.7631558048E-10	14.500	34.400
5/28/2022	9:18 PM	0.1646971300	100.200	68.000	70.000	0.0000010000	-0.0000122410	4.4798406722E-9	0.0000269424	1.1422783899E-9	14.500	34.400
5/28/2022	9:19 PM	0.1596682100	100.200	68.000	70.000	0.0000010000	-0.0000122457	7.1534694909E-9	0.0000269236	1.4148217476E-9	14.500	34.400
5/28/2022	9:19 PM	0.1546392900	100.200	68.000	70.000	0.0000010000	-0.0000122479	5.9570391480E-9	0.0000269206	1.7577010297E-9	14.500	34.400
5/28/2022	9:20 PM	0.1496103700	100.200	68.000	70.000	0.0000010000	-0.0000122432	5.7975578953E-9	0.0000269681	2.0320313136E-8	14.500	34.400
5/28/2022	9:20 PM	0.1445814500	100.200	68.000	70.000	0.0000010000	-0.0000122573	4.8623638064E-9	0.0000269677	1.8497930720E-9	14.500	34.400
5/28/2022	9:21 PM	0.1395525300	100.200	68.000	70.000	0.0000010000	-0.0000122586	2.7882105644E-9	0.0000269344	1.6195069567E-9	14.500	34.400
5/28/2022	9:22 PM	0.1345236100	100.200	68.000	70.000	0.0000010000	-0.0000122505	4.9459282506E-9	0.0000269379	9.9865437593E-10	14.500	34.400
5/28/2022	9:22 PM	0.1294946900	100.200	68.000	70.000	0.0000010000	-0.0000122459	7.9545317359E-9	0.0000269059	5.9705576573E-9	14.500	34.400
5/28/2022	9:23 PM	0.1244657700	100.200	68.000	70.001	0.0000010000	-0.0000122503	4.7084186312E-9	0.0000269495	2.8708286934E-10	14.500	34.400
5/28/2022	9:24 PM	0.1194368500	100.200	68.000	70.000	0.0000010000	-0.0000122435	5.7098040816E-9	0.0000269129	2.5567345809E-9	14.500	34.400
5/28/2022	9:25 PM	0.1144079300	100.200	68.000	69.999	0.0000010000	-0.0000122626	7.9655715137E-9	0.0000268987	4.7817360864E-9	14.400	34.400
5/28/2022	9:25 PM	0.1093790100	100.200	68.000	70.000	0.0000010000	-0.0000122431	4.1090557210E-9	0.0000269412	1.7971145480E-9	14.400	34.400
5/28/2022	9:26 PM	0.1043500900	100.200	68.000	70.000	0.0000010000	-0.0000122465	8.2114022469E-9	0.0000269384	8.0000000000E-10	14.500	34.400
5/28/2022	9:27 PM	0.0993211700	100.200	68.000	70.000	0.0000010000	-0.0000122489	4.6981529705E-9	0.0000269252	2.6908989114E-9	14.500	34.400
5/28/2022	9:27 PM	0.0942922500	100.200	68.000	70.001	0.0000010000	-0.0000122459	5.7000125274E-9	0.0000269494	1.0953779756E-9	14.500	34.400
5/28/2022	9:28 PM	0.0892633300	100.200	68.000	70.000	0.0000010000	-0.0000122529	6.9081454028E-9	0.0000269415	1.0549509757E-9	14.400	34.400
5/28/2022	9:28 PM	0.0842344100	100.200	68.000	70.000	0.0000010000	-0.0000122467	7.4380159356E-9	0.0000269561	4.4966147775E-10	14.500	34.400
5/28/2022	9:29 PM	0.0792054900	100.200	68.000	70.000	0.0000010000	-0.0000122480	7.3582247625E-9	0.0000269133	3.0132154710E-9	14.400	34.400
5/28/2022	9:30 PM	0.0741765700	100.200	68.000	70.000	0.0000010000	-0.0000122454	4.3047420804E-9	0.0000269447	8.9641941386E-10	14.400	34.400
5/28/2022	9:30 PM	0.0691476500	100.200	68.000	70.000	0.0000010000	-0.0000122571	6.3505319780E-9	0.0000269253	2.5301003904E-9	14.400	34.400
5/28/2022	9:31 PM	0.0641187300	100.200	68.000	70.001	0.0000010000	-0.0000122613	5.2807076222E-9	0.0000269580	1.8821148682E-9	14.400	34.400
5/28/2022	9:32 PM	0.0590898100	100.200	68.000	70.000	0.0000010000	-0.0000122446	3.9264090224E-9	0.0000268871	5.0967144882E-9	14.400	34.400
5/28/2022	9:32 PM	0.0540608900	100.200	68.000	70.000	0.0000010000	-0.0000122470	6.5309376421E-9	0.0000269398	1.2727840895E-9	14.400	34.400
5/28/2022	9:33 PM	0.0490319700	100.200	68.000	70.000	0.0000010000	-0.0000122538	4.1643245582E-9	0.0000269245	1.5505154259E-9	14.400	34.400
5/28/2022	9:34 PM	0.0440030500	100.200	68.000	70.000	0.0000010000	-0.0000122503	8.7139144174E-9	0.0000269518	4.4203384502E-10	14.400	34.400
5/28/2022	9:34 PM	0.0389741300	100.200	68.000	70.001	0.0000010000	-0.0000122566	6.9688899013E-9	0.0000269198	2.4583123952E-9	14.400	34.400
5/28/2022	9:35 PM	0.0339452100	100.200	68.000	70.000	0.0000010000	-0.0000122615	8.4948005991E-9	0.0000269286	1.5505374442E-9	14.400	34.400
5/28/2022	9:36 PM	0.0289162900	100.200	68.000	70.000	0.0000010000	-0.0000122480	4.5585900761E-9	0.0000269073	3.1764931814E-9	14.400	34.400
5/28/2022	9:36 PM	0.0238873700	100.200	68.000	70.000	0.0000010000	-0.0000122711	5.9417150467E-9	0.0000269507	1.2247448714E-10	14.400	34.400
5/28/2022	9:37 PM	0.0188584500	100.200	68.000	70.000	0.0000010000	-0.0000122562	4.4706665914E-9	0.0000269418	1.5972626075E-9	14.400	34.400
5/28/2022	9:38 PM	0.0138295300	100.200	68.000	69.999	0.0000010000	-0.0000122530	5.3652241223E-9	0.0000269435	3.5355339059E-10	14.400	34.400
5/28/2022	9:38 PM	0.0088006100	100.200	68.000	70.000	0.0000010000	-0.0000122531	7.2861788245E-9	0.0000269358	1.1551907063E-9	14.400	34.400
5/28/2022	9:39 PM	0.0037716900	100.200	68.000	70.000	0.0000010000	-0.0000122446	4.5627594086E-9	0.0000269489	8.3784666345E-10	14.400	34.400
5/28/2022	9:40 PM	-0.0012572300	100.200	68.000	70.000	0.0000010000	-0.0000122617	5.1516768356E-9	0.0000269497	7.4295816944E-10	14.400	34.400
5/28/2022	9:40 PM	-0.0062861500	100.200	68.000	70.001	0.0000010000	-0.0000122553	6.2467263633E-9	0.0000269072	3.4429866340E-9	14.400	34.400
5/28/2022	9:41 PM	-0.0113150700	100.200	68.000	70.000	0.0000010000	-0.0000122579	4.8377397793E-9	0.0000269347	1.3338539126E-9	14.400	34.400
5/28/2022	9:41 PM	-0.0163439900	100.200	68.000	70.000	0.0000010000	-0.0000122546	2.6448778757E-9	0.0000269232	2.4016659311E-9	14.400	34.400
5/28/2022	9:42 PM	-0.0213729100	0.900	68.000	69.999	0.0000010000	-0.0000122461	7.2470563780E-9	0.0000269198	1.8758107601E-9	14.400	34.400
5/28/2022	9:43 PM	-0.0264018300	100.200	68.000	70.001	0.0000010000	-0.0000122542	6.3335300836E-9	0.0000269006	2.1977247718E-9	14.400	34.400
5/28/2022	9:43 PM	-0.0314307500	100.200	68.000	70.000	0.0000010000	-0.0000122708	5.2841118186E-9	0.0000269340	7.9346745639E-10	14.400	34.400
5/28/2022	9:44 PM	-0.0364596700	100.200	68.000	69.999	0.0000010000	-0.0000122491	8.9968623655E-9	0.0000269493	1.3974547130E-9	14.400	34.400
5/28/2022	9:45 PM	-0.0414885900	100.200	68.000	70.000	0.0000010000	-0.0000122533	3.9647344456E-9	0.0000269364	1.7443057723E-9	14.400	34.400
5/28/2022	9:45 PM	-0.0465175100	100.200	68.000	70.000	0.0000010000	-0.0000122505	4.5722126143E-9	0.0000269025	3.5690148006E-9	14.400	34.400
5/28/2022	9:46 PM	-0.0515464300	100.200	68.000	70.000	0.0000010000	-0.0000122572	6.8025999030E-9	0.0000269584	3.0955735648E-10	14.400	34.400
5/28/2022	9:47 PM	-0.0565753500	100.200	68.000	70.000	0.0000010000	-0.0000122403	8.0721170104E-9	0.0000269224	2.5533039982E-9	14.400	34.400
5/28/2022	9:47 PM	-0.0616042700	100.200	68.000	70.001	0.0000010000	-0.0000122557	3.8543210888E-9	0.0000269381	6.6571333342E-10	14.400	34.400
