! User Name:	Aditya 
! Sample Name:	FGT_CPS_Device 2_PF P1T_10m_
! Sample ID:	FGT/CrPS4
! Date:	5/28/2022	Time:	2:58 AM
! Current Source:	Keithley 224 Current Source
! Voltmeter V1:	Keithley 182 Degital voltmeter
! Voltmeter V2:	Keithley 2182A  NanoVoltmeter
! V1 (volts):	Rxx Device 1
! V2 (volts):	Rxy Device 1
! Max Field (Tesla):0.000000	! Data points (0_maxT:75.000000	! Average Number:5.000000	
! Comments:	FGT/CrPS4 device was made in glove using flaking and dry transfering of flakes. 
! 
! 
! 
! 
Data	Time	Magnetic Field (T)	Helium Level (%)	VTI Temperature (K)	Sample Temparture (K)	Current (A) 	Voltage-1(V)	Std. of V1	Voltage-2 (V)	Std. of V2	VTI  Heater Power (%)	Sample Heater Power (%)
5/28/2022	3:00 AM	0.2501887700	52.000	52.780	54.994	0.0000010000	-0.0000115910	5.7816747559E-9	0.0000274112	8.4031242374E-10	6.700	27.800
5/28/2022	3:01 AM	0.2451598500	41.000	73.000	74.999	0.0000010000	-0.0000116008	5.1209627103E-9	0.0000274191	9.3671144832E-10	12.400	33.900
5/28/2022	3:01 AM	0.2401309300	41.000	73.000	74.999	0.0000010000	-0.0000116115	5.4584554308E-9	0.0000273834	1.1407443861E-9	12.400	33.900
5/28/2022	3:02 AM	0.2351020100	41.000	73.000	75.000	0.0000010000	-0.0000115886	5.7798103479E-9	0.0000274019	1.1407443861E-9	12.400	33.900
5/28/2022	3:03 AM	0.2300730900	41.000	73.000	75.000	0.0000010000	-0.0000116043	5.0068401935E-9	0.0000274031	2.9154759474E-10	12.400	33.900
5/28/2022	3:03 AM	0.2250441700	41.000	73.000	74.999	0.0000010000	-0.0000116121	6.5941909449E-9	0.0000273663	3.1015683091E-9	12.400	33.900
5/28/2022	3:04 AM	0.2200152500	41.000	73.000	75.000	0.0000010000	-0.0000115888	4.4179791916E-9	0.0000273958	1.0144781624E-9	12.300	33.900
5/28/2022	3:05 AM	0.2149863300	41.000	73.000	75.000	0.0000010000	-0.0000115894	3.6082136620E-9	0.0000273391	4.6162755550E-9	12.400	33.900
5/28/2022	3:05 AM	0.2099574100	41.000	73.000	75.000	0.0000010000	-0.0000116038	3.2611843987E-9	0.0000274068	3.0000000000E-10	12.400	33.900
5/28/2022	3:06 AM	0.2049284900	41.000	73.000	75.001	0.0000010000	-0.0000116012	5.5417929145E-9	0.0000274005	1.1216116702E-9	12.400	33.900
5/28/2022	3:06 AM	0.1998995700	41.000	73.000	74.999	0.0000010000	-0.0000115956	2.0923322710E-9	0.0000274170	3.7416573868E-10	12.400	33.900
5/28/2022	3:07 AM	0.1948706500	41.000	73.000	75.000	0.0000010000	-0.0000116122	5.5401953623E-9	0.0000273898	1.5476550942E-9	12.400	33.900
5/28/2022	3:08 AM	0.1898417300	41.000	73.000	75.000	0.0000010000	-0.0000116147	5.8519447502E-9	0.0000274000	4.5495097568E-10	12.400	33.900
5/28/2022	3:08 AM	0.1848128100	41.000	73.000	75.000	0.0000010000	-0.0000115894	4.6848864136E-9	0.0000273445	2.0645190002E-8	12.400	33.900
5/28/2022	3:09 AM	0.1797838900	41.000	73.000	75.000	0.0000010000	-0.0000116025	3.2019503559E-9	0.0000274059	7.8366965395E-10	12.400	33.900
5/28/2022	3:10 AM	0.1747549700	41.000	73.000	75.000	0.0000010000	-0.0000116068	4.1251663367E-9	0.0000274194	9.5355339059E-10	12.300	33.900
5/28/2022	3:10 AM	0.1697260500	41.000	73.000	75.000	0.0000010000	-0.0000116030	4.6388155293E-9	0.0000273965	8.4010949186E-10	12.300	34.000
5/28/2022	3:11 AM	0.1646971300	41.000	73.000	75.000	0.0000010000	-0.0000116045	6.2929153891E-9	0.0000273996	4.7416573868E-10	12.300	33.900
5/28/2022	3:12 AM	0.1596682100	41.000	73.000	75.000	0.0000010000	-0.0000115986	4.3316019695E-9	0.0000273954	1.1788289045E-9	12.400	34.000
5/28/2022	3:12 AM	0.1546392900	41.000	73.000	75.000	0.0000010000	-0.0000116005	6.0647710429E-9	0.0000274066	6.0724247288E-10	12.400	33.900
5/28/2022	3:13 AM	0.1496103700	41.000	73.000	75.001	0.0000010000	-0.0000115953	5.3132621258E-9	0.0000273998	2.0839171124E-9	12.400	33.900
5/28/2022	3:14 AM	0.1445814500	41.000	73.000	75.001	0.0000010000	-0.0000116098	8.7619963923E-9	0.0000274056	1.0849903325E-9	12.400	33.900
5/28/2022	3:14 AM	0.1395525300	41.000	73.000	75.000	0.0000010000	-0.0000115978	3.4017298994E-9	0.0000274095	6.6115289591E-10	12.400	34.000
