! User Name:	Aditya 
! Sample Name:	FGT_CPS_Device 2_FCf290K_P8T
! Sample ID:	FGT/CrPS4
! Date:	5/25/2022	Time:	10:38 AM
! Current Source:	Keithley 224 Current Source
! Voltmeter V1:	Keithley 182 Degital voltmeter
! Voltmeter V2:	Keithley 2182A  NanoVoltmeter
! V1 (volts):	Rxx Device 1
! V2 (volts):	Rxy Device 1
! Max Field (Tesla):0.000000	! Data points (0_maxT:75.000000	! Average Number:5.000000	
! Comments:	FGT/CrPS4 device was made in glove using flaking and dry transfering of flakes. 
! 
! 
! 
! 
Data	Time	Magnetic Field (T)	Helium Level (%)	VTI Temperature (K)	Sample Temparture (K)	Current (A) 	Voltage-1(V)	Std. of V1	Voltage-2 (V)	Std. of V2	VTI  Heater Power (%)	Sample Heater Power (%)
5/25/2022	10:40 AM	0.2501887700	52.000	52.780	54.994	0.0000010000	-0.0000117260	3.9742493306E-9	0.0000260361	4.3011626335E-10	6.700	27.800
5/25/2022	10:41 AM	0.2451598500	55.400	78.000	80.000	0.0000010000	-0.0000117184	5.5327707472E-9	0.0000260354	4.9154759474E-10	14.500	36.400
5/25/2022	10:41 AM	0.2401309300	55.400	78.000	80.000	0.0000010000	-0.0000117095	5.9112389517E-9	0.0000260390	6.6368092477E-10	14.500	36.400
5/25/2022	10:42 AM	0.2351020100	55.400	78.000	80.001	0.0000010000	-0.0000117038	3.2701169340E-9	0.0000260242	1.3717493657E-9	14.500	36.300
5/25/2022	10:43 AM	0.2300730900	55.400	78.000	80.000	0.0000010000	-0.0000117108	4.2831531629E-9	0.0000260407	6.3851648071E-10	14.500	36.400
5/25/2022	10:43 AM	0.2250441700	55.400	78.000	80.000	0.0000010000	-0.0000117020	4.3571227832E-9	0.0000260279	2.9154759474E-10	14.500	36.400
5/25/2022	10:44 AM	0.2200152500	55.400	78.000	80.001	0.0000010000	-0.0000117019	3.6296347876E-9	0.0000260380	3.7742546282E-10	14.500	36.400
5/25/2022	10:45 AM	0.2149863300	55.400	78.000	80.000	0.0000010000	-0.0000116955	1.0774090326E-8	0.0000260620	9.1763500472E-10	14.500	36.400
5/25/2022	10:45 AM	0.2099574100	55.400	78.000	80.000	0.0000010000	-0.0000117215	6.1124905704E-9	0.0000260255	1.2204836823E-9	14.500	36.400
5/25/2022	10:46 AM	0.2049284900	55.400	78.000	80.000	0.0000010000	-0.0000117118	7.1253002928E-9	0.0000260400	3.9154759474E-10	14.500	36.400
5/25/2022	10:47 AM	0.1998995700	55.400	78.000	79.999	0.0000010000	-0.0000117280	6.7911070009E-9	0.0000260414	4.1068966709E-10	14.500	36.400
5/25/2022	10:47 AM	0.1948706500	55.400	78.000	80.000	0.0000010000	-0.0000117119	3.3976740684E-9	0.0000260479	6.6099096785E-10	14.500	36.300
5/25/2022	10:48 AM	0.1898417300	55.400	78.000	80.000	0.0000010000	-0.0000117136	5.5346675305E-9	0.0000260375	1.6940658945E-21	14.500	36.400
5/25/2022	10:49 AM	0.1848128100	55.400	78.000	79.999	0.0000010000	-0.0000117106	5.2053621881E-9	0.0000260446	3.8708286934E-10	14.500	36.400
5/25/2022	10:49 AM	0.1797838900	55.400	78.000	80.000	0.0000010000	-0.0000117351	6.0543519587E-9	0.0000260386	6.8309518948E-10	14.500	36.400
5/25/2022	10:50 AM	0.1747549700	55.400	78.000	80.000	0.0000010000	-0.0000117192	6.7132381643E-9	0.0000260433	8.3006407546E-10	14.500	36.400
5/25/2022	10:51 AM	0.1697260500	55.400	78.000	80.000	0.0000010000	-0.0000117157	4.0388150761E-9	0.0000260507	1.1171366312E-9	14.500	36.400
5/25/2022	10:51 AM	0.1646971300	55.400	78.000	80.000	0.0000010000	-0.0000117132	6.3161183574E-9	0.0000260236	5.8615541191E-10	14.500	36.400
5/25/2022	10:52 AM	0.1596682100	55.400	78.000	80.000	0.0000010000	-0.0000117322	5.9292203550E-9	0.0000260521	5.8823014636E-10	14.500	36.300
5/25/2022	10:53 AM	0.1546392900	55.400	78.000	80.000	0.0000010000	-0.0000117080	6.0739154229E-9	0.0000260425	3.7742546282E-10	14.500	36.400
5/25/2022	10:53 AM	0.1496103700	55.400	78.000	80.000	0.0000010000	-0.0000117084	8.8178238633E-9	0.0000260406	5.4649857042E-10	14.500	36.400
5/25/2022	10:54 AM	0.1445814500	55.400	78.000	80.000	0.0000010000	-0.0000117140	5.2162158629E-9	0.0000260448	3.0955735648E-10	14.500	36.400
5/25/2022	10:55 AM	0.1395525300	55.400	78.000	80.000	0.0000010000	-0.0000117131	5.6100574582E-9	0.0000260463	2.2247448714E-10	14.500	36.400
5/25/2022	10:55 AM	0.1345236100	55.400	78.000	80.000	0.0000010000	-0.0000116952	6.4721081227E-9	0.0000260214	1.1074720840E-9	14.500	36.400
5/25/2022	10:56 AM	0.1294946900	55.400	78.000	79.999	0.0000010000	-0.0000116960	5.4374451272E-9	0.0000260316	1.0276472679E-9	14.500	36.400
5/25/2022	10:57 AM	0.1244657700	55.400	78.000	80.000	0.0000010000	-0.0000117315	6.4726620260E-9	0.0000260500	6.6099096785E-10	14.500	36.400
5/25/2022	10:57 AM	0.1194368500	55.400	78.000	80.000	0.0000010000	-0.0000117072	7.2192960079E-9	0.0000260344	7.5355339059E-10	14.500	36.400
5/25/2022	10:58 AM	0.1144079300	55.400	78.000	80.000	0.0000010000	-0.0000117200	3.8973330510E-9	0.0000260214	1.3047590476E-9	14.500	36.400
5/25/2022	10:58 AM	0.1093790100	55.400	78.000	80.001	0.0000010000	-0.0000116969	6.9556492375E-9	0.0000260293	1.1540368496E-9	14.500	36.300
5/25/2022	10:59 AM	0.1043500900	55.400	78.000	79.999	0.0000010000	-0.0000117011	5.0845515379E-9	0.0000260442	8.9932295550E-10	14.500	36.400
5/25/2022	11:00 AM	0.0993211700	55.400	78.000	80.000	0.0000010000	-0.0000117060	7.1527186467E-9	0.0000260502	4.7863046408E-10	14.500	36.400
5/25/2022	11:00 AM	0.0942922500	55.400	78.000	80.000	0.0000010000	-0.0000117152	4.9256605377E-9	0.0000260701	5.1515439249E-10	14.500	36.400
5/25/2022	11:01 AM	0.0892633300	55.400	78.000	79.999	0.0000010000	-0.0000117125	7.6817525215E-9	0.0000260411	1.8140554983E-9	14.500	36.400
5/25/2022	11:02 AM	0.0842344100	55.400	78.000	80.000	0.0000010000	-0.0000117041	6.2264529498E-9	0.0000260610	6.0620192023E-10	14.500	36.300
5/25/2022	11:02 AM	0.0792054900	55.400	78.000	80.000	0.0000010000	-0.0000117118	5.6425000841E-9	0.0000260503	8.8054356926E-10	14.500	36.400
5/25/2022	11:03 AM	0.0741765700	55.400	78.000	80.000	0.0000010000	-0.0000117244	7.2829334299E-9	0.0000260250	2.2711354910E-9	14.500	36.400
5/25/2022	11:04 AM	0.0691476500	55.400	78.000	80.000	0.0000010000	-0.0000117013	6.6634788565E-9	0.0000260618	1.2247448714E-10	14.500	36.400
5/25/2022	11:04 AM	0.0641187300	55.400	78.000	80.000	0.0000010000	-0.0000117187	5.7257480596E-9	0.0000260473	1.0147301372E-9	14.500	36.400
5/25/2022	11:05 AM	0.0590898100	55.400	78.000	80.000	0.0000010000	-0.0000117104	4.6592528053E-9	0.0000260494	6.3011626335E-10	14.500	36.400
5/25/2022	11:05 AM	0.0540608900	55.400	78.000	80.000	0.0000010000	-0.0000117102	9.3129709897E-9	0.0000260604	1.1857741531E-9	14.500	36.400
5/25/2022	11:06 AM	0.0490319700	55.400	78.000	80.000	0.0000010000	-0.0000117147	4.5181977062E-9	0.0000260489	8.4010949186E-10	14.500	36.400
5/25/2022	11:07 AM	0.0440030500	55.400	78.000	80.000	0.0000010000	-0.0000117150	9.1949496597E-9	0.0000260387	1.3661637486E-9	14.500	36.400
5/25/2022	11:07 AM	0.0389741300	55.400	78.000	80.000	0.0000010000	-0.0000117186	7.6631397546E-9	0.0000260587	3.7416573868E-10	14.500	36.300
5/25/2022	11:08 AM	0.0339452100	55.400	78.000	80.000	0.0000010000	-0.0000117184	4.0660239301E-9	0.0000260619	3.0955735648E-10	14.500	36.300
5/25/2022	11:09 AM	0.0289162900	55.400	78.000	80.001	0.0000010000	-0.0000117056	5.6452002613E-9	0.0000260660	7.8036765891E-10	14.500	36.400
5/25/2022	11:09 AM	0.0238873700	55.400	78.000	80.000	0.0000010000	-0.0000117218	4.6757531787E-9	0.0000260480	1.8311878773E-9	14.500	36.400
5/25/2022	11:10 AM	0.0188584500	55.400	78.000	80.000	0.0000010000	-0.0000117185	4.0292494811E-9	0.0000260747	1.7281917619E-9	14.500	36.400
5/25/2022	11:11 AM	0.0138295300	55.400	78.000	80.001	0.0000010000	-0.0000116903	5.5476245913E-9	0.0000260663	7.7439472766E-10	14.500	36.400
5/25/2022	11:11 AM	0.0088006100	55.400	78.000	80.001	0.0000010000	-0.0000117221	6.5994497106E-9	0.0000260511	4.4203384502E-10	14.500	36.400
5/25/2022	11:12 AM	0.0037716900	55.400	78.000	80.000	0.0000010000	-0.0000116994	6.8507401847E-9	0.0000260409	1.5347540490E-9	14.500	36.400
5/25/2022	11:13 AM	-0.0012572300	55.400	78.000	80.000	0.0000010000	-0.0000117235	5.2067167496E-9	0.0000260675	3.5355339059E-10	14.500	36.400
5/25/2022	11:13 AM	-0.0062861500	55.400	78.000	80.000	0.0000010000	-0.0000117007	6.7069597069E-9	0.0000260515	7.4031242374E-10	14.500	36.400
5/25/2022	11:14 AM	-0.0113150700	55.400	78.000	80.000	0.0000010000	-0.0000117108	6.1470420936E-9	0.0000260532	2.8708286934E-10	14.500	36.400
5/25/2022	11:15 AM	-0.0163439900	55.400	78.000	80.000	0.0000010000	-0.0000117262	6.3011312334E-9	0.0000260450	7.0556967662E-10	14.500	36.300
5/25/2022	11:15 AM	-0.0213729100	55.400	78.000	80.000	0.0000010000	-0.0000117180	7.1704214279E-9	0.0000260536	9.2736184955E-10	14.500	36.400
5/25/2022	11:16 AM	-0.0264018300	53.300	78.000	80.000	0.0000010000	-0.0000117174	5.9443933788E-9	0.0000260581	6.5076379411E-10	14.500	36.400
5/25/2022	11:17 AM	-0.0314307500	53.300	78.000	80.000	0.0000010000	-0.0000117022	6.1469773346E-9	0.0000260456	5.6540887349E-10	14.500	36.400
5/25/2022	11:17 AM	-0.0364596700	53.300	78.000	80.000	0.0000010000	-0.0000117252	5.2506947776E-9	0.0000260606	6.5076379411E-10	14.500	36.400
5/25/2022	11:18 AM	-0.0414885900	53.300	78.000	80.000	0.0000010000	-0.0000117100	6.8791145597E-9	0.0000260472	7.4031242374E-10	14.500	36.400
5/25/2022	11:19 AM	-0.0465175100	53.300	78.000	80.000	0.0000010000	-0.0000116921	6.6223779812E-9	0.0000260636	7.5522851952E-10	14.500	36.400
5/25/2022	11:19 AM	-0.0515464300	53.300	78.000	80.000	0.0000010000	-0.0000117155	1.2376179726E-8	0.0000260361	2.1542065781E-9	14.500	36.400
5/25/2022	11:20 AM	-0.0565753500	53.300	78.000	80.000	0.0000010000	-0.0000117052	6.6754896893E-9	0.0000260798	1.3661637486E-9	14.500	36.400
5/25/2022	11:21 AM	-0.0616042700	53.300	78.000	80.001	0.0000010000	-0.0000117152	5.7992158722E-9	0.0000260674	1.1366882263E-9	14.500	36.300
