! User Name:	Aditya 
! Sample Name:	FGT_CPS_Device 2_PF P1T_10m_
! Sample ID:	FGT/CrPS4
! Date:	5/27/2022	Time:	11:53 PM
! Current Source:	Keithley 224 Current Source
! Voltmeter V1:	Keithley 182 Degital voltmeter
! Voltmeter V2:	Keithley 2182A  NanoVoltmeter
! V1 (volts):	Rxx Device 1
! V2 (volts):	Rxy Device 1
! Max Field (Tesla):0.000000	! Data points (0_maxT:75.000000	! Average Number:5.000000	
! Comments:	FGT/CrPS4 device was made in glove using flaking and dry transfering of flakes. 
! 
! 
! 
! 
Data	Time	Magnetic Field (T)	Helium Level (%)	VTI Temperature (K)	Sample Temparture (K)	Current (A) 	Voltage-1(V)	Std. of V1	Voltage-2 (V)	Std. of V2	VTI  Heater Power (%)	Sample Heater Power (%)
5/27/2022	11:55 PM	0.2501887700	52.000	52.780	54.994	0.0000010000	-0.0000116547	2.7423635668E-9	0.0000274705	2.0000000000E-10	6.700	27.800
5/27/2022	11:56 PM	0.2451598500	44.000	78.000	80.000	0.0000010000	-0.0000116315	8.5696897381E-9	0.0000274579	1.0918007434E-9	12.800	35.100
5/27/2022	11:57 PM	0.2401309300	44.000	78.000	80.000	0.0000010000	-0.0000116242	6.6379442144E-9	0.0000274882	4.0620192023E-10	12.800	35.200
5/27/2022	11:57 PM	0.2351020100	44.000	78.000	80.000	0.0000010000	-0.0000116465	3.8679348836E-9	0.0000274543	1.4481309502E-9	12.800	35.200
5/27/2022	11:58 PM	0.2300730900	44.000	78.000	80.000	0.0000010000	-0.0000116345	4.5883023334E-9	0.0000274892	1.2585015750E-9	12.800	35.200
5/27/2022	11:58 PM	0.2250441700	44.000	78.000	79.999	0.0000010000	-0.0000116319	4.4727894614E-9	0.0000274597	2.0614321020E-9	12.800	35.200
5/27/2022	11:59 PM	0.2200152500	44.000	78.000	79.999	0.0000010000	-0.0000116319	6.6681759239E-9	0.0000274859	6.6099096785E-10	12.800	35.200
5/28/2022	12:00 AM	0.2149863300	44.000	78.000	80.000	0.0000010000	-0.0000116410	5.0161524138E-9	0.0000274853	2.2247448714E-10	12.800	35.200
5/28/2022	12:00 AM	0.2099574100	44.000	78.000	80.000	0.0000010000	-0.0000116372	3.8320250325E-9	0.0000274516	2.5433999125E-9	12.800	35.200
5/28/2022	12:01 AM	0.2049284900	44.000	78.000	80.000	0.0000010000	-0.0000116361	4.4350481788E-9	0.0000274814	6.8309518948E-10	12.800	35.100
5/28/2022	12:02 AM	0.1998995700	44.000	78.000	79.999	0.0000010000	-0.0000116204	5.4618729647E-9	0.0000274738	7.2048368230E-10	12.800	35.200
5/28/2022	12:02 AM	0.1948706500	44.000	78.000	80.000	0.0000010000	-0.0000116311	4.4169222783E-9	0.0000274816	4.1402208188E-10	12.800	35.200
5/28/2022	12:03 AM	0.1898417300	44.000	78.000	80.000	0.0000010000	-0.0000116382	6.3204722970E-9	0.0000274729	4.1402208188E-10	12.800	35.100
5/28/2022	12:04 AM	0.1848128100	44.000	78.000	80.000	0.0000010000	-0.0000116278	5.8553357369E-9	0.0000274790	8.2540150734E-10	12.800	35.100
5/28/2022	12:04 AM	0.1797838900	44.000	78.000	80.000	0.0000010000	-0.0000116353	8.0767257708E-9	0.0000274751	5.2619936850E-10	12.800	35.100
5/28/2022	12:05 AM	0.1747549700	44.000	78.000	79.999	0.0000010000	-0.0000116355	3.1361986025E-9	0.0000274836	1.0000000000E-10	12.800	35.200
5/28/2022	12:06 AM	0.1697260500	44.000	78.000	80.000	0.0000010000	-0.0000116337	7.1505038617E-9	0.0000274987	1.0168783487E-9	12.800	35.200
5/28/2022	12:06 AM	0.1646971300	44.000	78.000	80.000	0.0000010000	-0.0000116381	5.2363491244E-9	0.0000274649	7.2559935005E-10	12.800	35.200
5/28/2022	12:07 AM	0.1596682100	44.000	78.000	80.001	0.0000010000	-0.0000116441	5.6237236766E-9	0.0000274751	6.4510098534E-10	12.800	35.200
5/28/2022	12:07 AM	0.1546392900	44.000	78.000	80.000	0.0000010000	-0.0000116391	4.3770940053E-9	0.0000274483	3.1015683091E-9	12.800	35.200
5/28/2022	12:08 AM	0.1496103700	44.000	78.000	79.999	0.0000010000	-0.0000116379	2.7479450061E-9	0.0000274643	1.3714740868E-9	12.800	35.200
5/28/2022	12:09 AM	0.1445814500	44.000	78.000	80.000	0.0000010000	-0.0000116339	6.0730466719E-9	0.0000274734	1.5407138862E-9	12.800	35.200
5/28/2022	12:09 AM	0.1395525300	44.000	78.000	80.000	0.0000010000	-0.0000116151	4.2722385725E-9	0.0000274244	5.0445229816E-9	12.800	35.200
5/28/2022	12:10 AM	0.1345236100	44.000	78.000	80.000	0.0000010000	-0.0000116230	9.6533440671E-9	0.0000274690	1.0669539803E-9	12.800	35.100
5/28/2022	12:11 AM	0.1294946900	44.000	78.000	80.000	0.0000010000	-0.0000116366	6.3254867830E-9	0.0000274240	4.5983367518E-9	12.800	35.100
5/28/2022	12:11 AM	0.1244657700	44.000	78.000	80.000	0.0000010000	-0.0000116324	5.9600232233E-9	0.0000274854	5.2867640737E-10	12.800	35.200
5/28/2022	12:12 AM	0.1194368500	44.000	78.000	80.000	0.0000010000	-0.0000116369	7.5897730596E-9	0.0000274647	1.4190905958E-9	12.800	35.200
5/28/2022	12:13 AM	0.1144079300	44.000	78.000	80.000	0.0000010000	-0.0000116341	4.8437437590E-9	0.0000274771	9.6167953858E-10	12.800	35.100
5/28/2022	12:13 AM	0.1093790100	44.000	78.000	79.999	0.0000010000	-0.0000116302	7.9978532339E-9	0.0000274734	3.8708286934E-10	12.800	35.200
5/28/2022	12:14 AM	0.1043500900	44.000	78.000	80.000	0.0000010000	-0.0000116310	6.4670066925E-9	0.0000274788	5.8309518948E-10	12.800	35.200
5/28/2022	12:15 AM	0.0993211700	44.000	78.000	80.000	0.0000010000	-0.0000116327	2.6569567234E-9	0.0000274758	4.7863046408E-10	12.800	35.200
5/28/2022	12:15 AM	0.0942922500	44.000	78.000	80.000	0.0000010000	-0.0000116154	9.4140799748E-9	0.0000274872	7.5522851952E-10	12.800	35.200
5/28/2022	12:16 AM	0.0892633300	44.000	78.000	79.999	0.0000010000	-0.0000116365	4.4156174095E-9	0.0000274784	1.0000000000E-10	12.800	35.200
5/28/2022	12:17 AM	0.0842344100	44.000	78.000	80.001	0.0000010000	-0.0000116409	9.3462106864E-9	0.0000274744	9.8638791760E-10	12.800	35.200
5/28/2022	12:17 AM	0.0792054900	44.000	78.000	80.000	0.0000010000	-0.0000116367	5.9184254086E-9	0.0000274728	8.0756655164E-10	12.800	35.200
5/28/2022	12:18 AM	0.0741765700	44.000	78.000	79.999	0.0000010000	-0.0000116257	7.6970565166E-9	0.0000274811	4.5355339059E-10	12.800	35.200
5/28/2022	12:19 AM	0.0691476500	44.000	78.000	80.000	0.0000010000	-0.0000116348	6.9112988470E-9	0.0000274768	9.8309518948E-10	12.800	35.200
5/28/2022	12:19 AM	0.0641187300	44.000	78.000	80.000	0.0000010000	-0.0000116483	5.6826171099E-9	0.0000274536	2.1954908712E-9	12.800	35.200
