! User Name:	Aditya
! Sample Name:	FGT_CPS_device_2_PF_M1T_90m
! Sample ID:	FGT/CrPS4
! Date:	6/8/2022	Time:	2:26 PM
! Current Source:	Keithley 224 Current Source
! Voltmeter V1:	Keithley 182 Degital voltmeter
! Voltmeter V2:	Keithley 2182A  NanoVoltmeter
! V1 (volts):	Rxx  Device 1
! V2 (volts):	Rxy Device 1
! Max Field (Tesla):0.250000	! Data points (0_maxT:50.000000	! Average Number:5.000000	
! Comments:	FGT/CrPS4 device was made in glove using flaking and dry transfering of flakes. 
! 
! 
! 
! 
Data	Time	Magnetic Field (T)	Helium Level (%)	VTI Temperature (K)	Sample Temparture (K)	Current (A) 	Voltage-1(V)	Std. of V1	Voltage-2 (V)	Std. of V2	VTI  Heater Power (%)	Sample Heater Power (%)
6/8/2022	2:28 PM	-0.2501887700	52.000	52.780	54.994	0.0000020000	0.0000158554	7.4539916075E-9	0.0000031296	5.6124860802E-10	6.700	27.800
6/8/2022	2:29 PM	-0.2451598500	66.300	73.000	75.000	0.0000020000	0.0000158734	1.0388733134E-8	0.0000031227	8.3006407546E-10	12.600	33.400
6/8/2022	2:30 PM	-0.2401309300	66.300	73.000	75.000	0.0000020000	0.0000158597	4.7685485718E-9	0.0000031049	2.0811612756E-9	12.600	33.400
6/8/2022	2:30 PM	-0.2351020100	66.300	73.000	75.000	0.0000020000	0.0000158425	5.6993709029E-9	0.0000031266	6.4510098534E-10	12.600	33.400
6/8/2022	2:31 PM	-0.2300730900	66.300	73.000	75.000	0.0000020000	0.0000158656	8.1916902527E-9	0.0000031070	1.4320545725E-9	12.600	33.400
6/8/2022	2:32 PM	-0.2250441700	66.300	73.000	75.000	0.0000020000	0.0000158698	4.0900166677E-9	0.0000031129	1.1368220677E-9	12.600	33.400
6/8/2022	2:32 PM	-0.2200152500	66.300	73.000	75.000	0.0000020000	0.0000158770	8.5042118917E-9	0.0000031153	1.2488088482E-9	12.600	33.400
6/8/2022	2:33 PM	-0.2149863300	66.300	73.000	75.000	0.0000020000	0.0000158643	8.0726415682E-9	0.0000031274	3.0955735648E-10	12.600	33.400
6/8/2022	2:34 PM	-0.2099574100	66.300	73.000	74.999	0.0000020000	0.0000158623	6.5650040817E-9	0.0000031190	3.9154759474E-10	12.600	33.400
6/8/2022	2:34 PM	-0.2049284900	66.300	73.000	75.000	0.0000020000	0.0000158701	5.7264904866E-9	0.0000031152	1.2836071525E-9	12.600	33.400
6/8/2022	2:35 PM	-0.1998995700	66.300	73.000	75.000	0.0000020000	0.0000158773	7.6814421458E-9	0.0000031264	1.0875260192E-9	12.600	33.400
6/8/2022	2:36 PM	-0.1948706500	66.300	73.000	75.000	0.0000020000	0.0000158673	4.9934318743E-9	0.0000031209	3.8708286934E-10	12.600	33.400
6/8/2022	2:36 PM	-0.1898417300	66.300	73.000	75.000	0.0000020000	0.0000158582	4.2907355428E-9	0.0000031232	7.2771912927E-10	12.600	33.400
6/8/2022	2:37 PM	-0.1848128100	66.300	73.000	75.000	0.0000020000	0.0000158730	8.1313556520E-9	0.0000031283	1.4000000000E-9	12.600	33.400
6/8/2022	2:38 PM	-0.1797838900	66.300	73.000	75.000	0.0000020000	0.0000158657	5.7880052045E-9	0.0000031141	9.5504373967E-10	12.600	33.400
6/8/2022	2:39 PM	-0.1747549700	66.300	73.000	75.000	0.0000020000	0.0000158581	5.8780103253E-9	0.0000031200	1.2069227312E-9	12.600	33.400
6/8/2022	2:39 PM	-0.1697260500	66.300	73.000	75.001	0.0000020000	0.0000158634	1.1780991076E-8	0.0000031164	4.5355339059E-10	12.600	33.400
6/8/2022	2:40 PM	-0.1646971300	66.300	73.000	75.000	0.0000020000	0.0000158705	7.9045299553E-9	0.0000031303	6.0724247288E-10	12.600	33.400
6/8/2022	2:41 PM	-0.1596682100	66.300	73.000	75.000	0.0000020000	0.0000158681	1.0070704382E-8	0.0000031254	6.6571333342E-10	12.600	33.400
6/8/2022	2:41 PM	-0.1546392900	66.300	73.000	75.000	0.0000020000	0.0000158742	6.1064616332E-9	0.0000031383	1.3685805562E-9	12.600	33.400
6/8/2022	2:42 PM	-0.1496103700	66.300	73.000	75.000	0.0000020000	0.0000158676	6.5680455488E-9	0.0000031322	1.1535533906E-9	12.600	33.400
6/8/2022	2:43 PM	-0.1445814500	66.300	73.000	74.999	0.0000020000	0.0000158694	6.3807349338E-9	0.0000031248	7.2771912927E-10	12.600	33.400
