! User Name:	Aditya_Kumar
! Sample Name:	FGT_CPS_Device 4C-PF P10T-10min
! Sample ID:	CPS_MPS_Device_4C
! Date:	8/1/2022	Time:	9:52 PM
! Current Source:	Keithley 224 Current Source
! Voltmeter V1:	Keithley 182 Degital voltmeter
! Voltmeter V2:	Keithley 2182A  NanoVoltmeter
! V1 (volts):	Rxx
! V2 (volts):	Rxy
! Max Field (Tesla):0.000000	! Data points (0_maxT:75.000000	! Average Number:5.000000	
! Comments:	FGT/MnPS3 device was made in glove using flaking and dry transfering of flakes. 
! 
! 
! 
! 
! 
Data	Time	Magnetic Field (T)	Helium Level (%)	VTI Temperature (K)	Sample Temparture (K)	Current (A) 	Voltage-1(V)	Std. of V1	Voltage-2 (V)	Std. of V2	VTI  Heater Power (%)	Sample Heater Power (%)
8/1/2022	9:54 PM	0.3495099400	52.000	52.780	54.994	0.0000010000	-0.0000519447	6.4095998956E-9	0.0000032058	1.1551907063E-9	6.700	27.800
8/1/2022	9:56 PM	0.3444810200	54.500	3.004	5.000	0.0000010000	-0.0000519454	6.7123612756E-9	0.0000031417	3.4457664734E-9	2.600	14.800
8/1/2022	9:56 PM	0.3394521000	54.500	3.006	5.001	0.0000010000	-0.0000519530	4.5145494733E-9	0.0000031872	9.5487255281E-10	2.600	14.900
8/1/2022	9:57 PM	0.3344231800	54.500	3.009	5.001	0.0000010000	-0.0000519628	6.5834806603E-9	0.0000031855	1.6707970421E-9	2.600	14.900
8/1/2022	9:58 PM	0.3293942600	54.500	2.999	4.998	0.0000010000	-0.0000519473	8.3115494326E-9	0.0000031902	5.6368092477E-10	2.700	14.800
8/1/2022	9:58 PM	0.3243653400	54.500	3.001	5.000	0.0000010000	-0.0000519572	8.0042124458E-9	0.0000031803	9.4833147735E-10	2.600	14.900
8/1/2022	9:59 PM	0.3193364200	54.500	3.006	5.002	0.0000010000	-0.0000519646	9.7618096862E-9	0.0000032115	1.5209002328E-9	2.600	14.800
8/1/2022	10:00 PM	0.3143075000	54.500	2.995	5.001	0.0000010000	-0.0000519486	5.1996227901E-9	0.0000031681	2.0303360042E-9	2.600	14.900
8/1/2022	10:00 PM	0.3092785800	54.500	3.000	5.000	0.0000010000	-0.0000519545	1.2389080606E-8	0.0000032059	1.6404842607E-9	2.600	14.900
8/1/2022	10:01 PM	0.3042496600	54.500	3.002	5.000	0.0000010000	-0.0000519643	6.2010619709E-9	0.0000031855	2.0045074975E-9	2.600	14.800
8/1/2022	10:02 PM	0.2992207400	54.500	2.998	5.000	0.0000010000	-0.0000519499	1.2297663880E-8	0.0000031875	7.4031242374E-10	2.600	14.900
8/1/2022	10:02 PM	0.2941918200	54.500	3.006	5.002	0.0000010000	-0.0000519646	8.1783476246E-9	0.0000031390	3.2424060928E-9	2.600	14.900
8/1/2022	10:03 PM	0.2891629000	54.500	2.991	5.001	0.0000010000	-0.0000519570	6.6900086841E-9	0.0000031908	7.2242968625E-10	2.600	14.800
8/1/2022	10:04 PM	0.2841339800	54.500	2.999	4.999	0.0000010000	-0.0000519542	6.3512835568E-9	0.0000031997	1.7011291782E-9	2.600	14.700
8/1/2022	10:04 PM	0.2791050600	54.500	3.008	5.000	0.0000010000	-0.0000519553	6.0945909784E-9	0.0000032171	1.3910427743E-9	2.600	14.900
8/1/2022	10:05 PM	0.2740761400	54.500	3.008	5.001	0.0000010000	-0.0000519595	8.1391100897E-9	0.0000031821	1.3879579816E-9	2.600	14.900
8/1/2022	10:06 PM	0.2690472200	54.500	2.994	5.000	0.0000010000	-0.0000519615	5.3694605809E-9	0.0000031943	4.1402208188E-10	2.600	14.700
8/1/2022	10:06 PM	0.2640183000	54.500	3.008	5.001	0.0000010000	-0.0000519458	6.9885362544E-9	0.0000031889	2.9424853104E-9	2.500	14.800
8/1/2022	10:07 PM	0.2589893800	54.500	3.003	5.001	0.0000010000	-0.0000519561	6.2620022301E-9	0.0000032024	1.2216013566E-9	2.600	14.800
8/1/2022	10:08 PM	0.2539604600	54.500	3.001	5.002	0.0000010000	-0.0000519514	4.5111291380E-9	0.0000032135	1.8618063776E-9	2.500	14.700
8/1/2022	10:09 PM	0.2489315400	54.500	2.990	5.001	0.0000010000	-0.0000519533	4.1283356276E-9	0.0000031769	3.3174745222E-9	2.600	14.900
8/1/2022	10:09 PM	0.2439026200	54.500	2.993	5.000	0.0000010000	-0.0000519494	5.8924186956E-9	0.0000031970	1.2806248475E-9	2.500	14.700
8/1/2022	10:10 PM	0.2388737000	54.500	3.006	5.000	0.0000010000	-0.0000519523	8.8403663273E-9	0.0000031960	2.8943216465E-9	2.600	14.700
8/1/2022	10:11 PM	0.2338447800	54.500	2.999	4.999	0.0000010000	-0.0000519586	7.1372168273E-9	0.0000031914	2.0033215172E-9	2.600	14.700
8/1/2022	10:11 PM	0.2288158600	54.500	3.001	4.998	0.0000010000	-0.0000519657	7.9573067463E-9	0.0000031818	1.3308533625E-9	2.500	14.600
8/1/2022	10:12 PM	0.2237869400	54.500	2.994	4.999	0.0000010000	-0.0000519546	7.9905292719E-9	0.0000031921	8.0428200203E-10	2.500	14.800
8/1/2022	10:13 PM	0.2187580200	54.500	3.001	5.000	0.0000010000	-0.0000519341	6.7975435770E-9	0.0000031875	7.2166385809E-10	2.500	14.800
8/1/2022	10:13 PM	0.2137291000	54.500	3.000	5.001	0.0000010000	-0.0000519556	7.9986271091E-9	0.0000031875	1.1300537619E-9	2.500	14.800
8/1/2022	10:14 PM	0.2087001800	54.500	2.999	4.999	0.0000010000	-0.0000519551	7.7980239970E-9	0.0000031911	1.2561514854E-9	2.500	14.600
8/1/2022	10:15 PM	0.2036712600	54.500	3.003	5.001	0.0000010000	-0.0000519478	5.3773192652E-9	0.0000032037	1.4684078243E-9	2.500	14.800
8/1/2022	10:15 PM	0.1986423400	54.500	3.003	5.000	0.0000010000	-0.0000519601	3.2700045935E-9	0.0000032062	9.9753483738E-10	2.500	14.700
8/1/2022	10:16 PM	0.1936134200	54.500	2.999	5.000	0.0000010000	-0.0000519484	7.5895005045E-9	0.0000032129	1.8571086543E-9	2.500	14.700
8/1/2022	10:17 PM	0.1885845000	54.500	3.006	5.001	0.0000010000	-0.0000519457	4.2869286632E-9	0.0000031867	8.2958126833E-10	2.500	14.700
8/1/2022	10:17 PM	0.1835555800	54.500	3.010	5.001	0.0000010000	-0.0000519584	6.2559601617E-9	0.0000031597	2.4045407685E-9	2.500	14.700
8/1/2022	10:18 PM	0.1785266600	54.500	3.004	5.001	0.0000010000	-0.0000519537	9.1818971311E-9	0.0000031806	1.1299465711E-9	2.500	14.800
8/1/2022	10:19 PM	0.1734977400	54.500	2.997	5.000	0.0000010000	-0.0000519586	3.9776904351E-9	0.0000031882	1.0307695934E-9	2.500	14.800
8/1/2022	10:19 PM	0.1684688200	54.500	3.007	5.000	0.0000010000	-0.0000519563	6.3039673350E-9	0.0000032265	1.4320545725E-9	2.500	14.700
8/1/2022	10:20 PM	0.1634399000	54.500	2.987	5.001	0.0000010000	-0.0000519548	4.6398377139E-9	0.0000031766	1.3634418517E-9	2.500	14.700
8/1/2022	10:21 PM	0.1584109800	54.500	3.002	4.999	0.0000010000	-0.0000519399	4.3796132052E-9	0.0000031880	1.0186218983E-9	2.500	14.700
8/1/2022	10:21 PM	0.1533820600	54.500	2.996	5.000	0.0000010000	-0.0000519423	7.7745289704E-9	0.0000031868	8.0000000000E-10	2.600	14.700
8/1/2022	10:22 PM	0.1483531400	54.500	2.997	4.998	0.0000010000	-0.0000519476	7.2012346411E-9	0.0000031943	1.9286456063E-9	2.500	14.600
8/1/2022	10:23 PM	0.1433242200	54.500	2.996	5.000	0.0000010000	-0.0000519452	9.3246939774E-9	0.0000031879	1.4215216528E-9	2.500	14.700
8/1/2022	10:23 PM	0.1382953000	54.500	2.993	5.000	0.0000010000	-0.0000519490	5.2578653610E-9	0.0000032034	1.3460250527E-9	2.500	14.700
8/1/2022	10:24 PM	0.1332663800	54.500	3.000	5.001	0.0000010000	-0.0000519447	7.2485807367E-9	0.0000031795	1.5680491707E-9	2.500	14.800
8/1/2022	10:25 PM	0.1282374600	54.500	2.999	5.001	0.0000010000	-0.0000519454	4.3965875595E-9	0.0000031935	0.0000000000E+0	2.500	14.700
8/1/2022	10:25 PM	0.1232085400	54.500	2.998	5.000	0.0000010000	-0.0000519432	1.1594971663E-8	0.0000031962	6.9154759474E-10	2.500	14.700
8/1/2022	10:26 PM	0.1181796200	54.500	2.999	5.000	0.0000010000	-0.0000519473	5.3762321507E-9	0.0000032106	1.1995074486E-9	2.500	14.600
8/1/2022	10:27 PM	0.1131507000	54.500	3.001	4.999	0.0000010000	-0.0000519344	6.2162407989E-9	0.0000031863	8.0632910179E-10	2.500	14.700
8/1/2022	10:27 PM	0.1081217800	54.500	3.009	5.002	0.0000010000	-0.0000519462	6.5663411222E-9	0.0000031945	1.1455900096E-9	2.500	14.800
8/1/2022	10:28 PM	0.1030928600	54.500	3.003	5.000	0.0000010000	-0.0000519486	6.1082399601E-9	0.0000032030	1.0154753215E-9	2.500	14.600
8/1/2022	10:29 PM	0.0980639400	54.500	2.992	4.999	0.0000010000	-0.0000519516	8.0118909516E-9	0.0000031885	2.3606510478E-9	2.500	14.800
8/1/2022	10:29 PM	0.0930350200	54.500	3.001	5.002	0.0000010000	-0.0000519464	1.1124104914E-8	0.0000031941	9.8424360038E-10	2.500	14.700
8/1/2022	10:30 PM	0.0880061000	54.500	2.996	5.000	0.0000010000	-0.0000519488	8.9185526227E-9	0.0000031816	1.0000000000E-9	2.500	14.700
8/1/2022	10:31 PM	0.0829771800	54.500	3.003	4.999	0.0000010000	-0.0000519407	5.8773998316E-9	0.0000031813	1.0025581909E-9	2.500	14.600
8/1/2022	10:31 PM	0.0779482600	54.500	2.999	5.000	0.0000010000	-0.0000519505	7.5069072641E-9	0.0000031724	1.2278004802E-9	2.500	14.600
8/1/2022	10:32 PM	0.0704048800	54.500	3.003	5.000	0.0000010000	-0.0000519442	6.9632698058E-9	0.0000032025	2.4494897428E-10	2.500	14.600
