! User Name:	Aditya_Kumar
! Sample Name:	FGT_CPS_Device 4C-PF 10T-10min
! Sample ID:	CPS_MPS_Device_4A
! Date:	7/26/2022	Time:	2:53 AM
! Current Source:	Keithley 224 Current Source
! Voltmeter V1:	Keithley 182 Degital voltmeter
! Voltmeter V2:	Keithley 2182A  NanoVoltmeter
! V1 (volts):	Rxx
! V2 (volts):	Rxy
! Max Field (Tesla):0.000000	! Data points (0_maxT:75.000000	! Average Number:5.000000	
! Comments:	FGT/MnPS3 device was made in glove using flaking and dry transfering of flakes. 
! 
! 
! 
! 
! 
Data	Time	Magnetic Field (T)	Helium Level (%)	VTI Temperature (K)	Sample Temparture (K)	Current (A) 	Voltage-1(V)	Std. of V1	Voltage-2 (V)	Std. of V2	VTI  Heater Power (%)	Sample Heater Power (%)
7/26/2022	2:56 AM	0.3997991400	52.000	52.780	54.994	0.0000010000	-0.0000583985	8.8753427869E-9	0.0000041504	1.1300537619E-9	6.700	27.800
7/26/2022	2:57 AM	0.3972846800	85.100	3.001	5.003	0.0000010000	-0.0000583984	7.4305887425E-9	0.0000041429	1.2337800257E-9	7.300	27.000
7/26/2022	2:57 AM	0.3947702200	85.100	3.001	5.003	0.0000010000	-0.0000584033	1.0294139652E-8	0.0000041449	8.7464278423E-10	7.300	27.400
7/26/2022	2:58 AM	0.3922557600	85.100	3.001	5.005	0.0000010000	-0.0000583900	1.1786275398E-8	0.0000041521	9.3851648071E-10	7.200	27.900
7/26/2022	2:59 AM	0.3897413000	85.100	3.000	5.002	0.0000010000	-0.0000583976	9.1582972596E-9	0.0000041549	3.8708286934E-10	7.200	27.800
7/26/2022	2:59 AM	0.3872268400	85.100	3.000	4.996	0.0000010000	-0.0000583877	1.0496121346E-8	0.0000041349	1.7570795856E-9	7.200	27.100
7/26/2022	3:00 AM	0.3847123800	85.100	2.999	4.996	0.0000010000	-0.0000584023	1.0015323410E-8	0.0000041475	6.9154759474E-10	7.200	27.200
7/26/2022	3:01 AM	0.3821979200	85.100	2.999	4.999	0.0000010000	-0.0000583910	7.7510191630E-9	0.0000041988	3.2283120120E-9	7.200	27.400
7/26/2022	3:02 AM	0.3796834600	85.100	3.000	5.002	0.0000010000	-0.0000583906	8.2585243675E-9	0.0000041801	2.6975117151E-9	7.200	27.800
7/26/2022	3:02 AM	0.3771690000	85.100	3.000	5.005	0.0000010000	-0.0000583945	8.2247131706E-9	0.0000041134	2.9430668480E-9	7.200	27.400
7/26/2022	3:03 AM	0.3746545400	85.100	2.999	4.997	0.0000010000	-0.0000583985	1.0711300823E-8	0.0000041241	1.6888194417E-9	7.200	26.900
7/26/2022	3:04 AM	0.3721400800	85.100	3.000	5.003	0.0000010000	-0.0000583916	1.1837582781E-8	0.0000041371	9.3671144832E-10	7.200	27.700
7/26/2022	3:04 AM	0.3696256200	85.100	3.000	5.005	0.0000010000	-0.0000583989	1.4745829560E-8	0.0000041228	1.3382022873E-9	7.200	27.100
7/26/2022	3:05 AM	0.3671111600	85.100	3.000	4.995	0.0000010000	-0.0000584146	9.8070182482E-9	0.0000041526	1.3308533625E-9	7.200	27.300
7/26/2022	3:06 AM	0.3645967000	85.100	3.000	5.005	0.0000010000	-0.0000584233	1.3969739013E-8	0.0000041626	2.2247448714E-10	7.200	27.600
7/26/2022	3:06 AM	0.3620822400	85.100	3.000	4.995	0.0000010000	-0.0000584067	1.4663160503E-8	0.0000041814	3.4095594512E-9	7.200	26.900
7/26/2022	3:07 AM	0.3595677800	85.100	3.000	5.002	0.0000010000	-0.0000584155	7.2639465908E-9	0.0000041731	1.6962480278E-9	7.200	27.300
7/26/2022	3:08 AM	0.3570533200	85.100	3.000	4.998	0.0000010000	-0.0000584133	8.2689642119E-9	0.0000041685	1.3634418517E-9	7.200	27.200
7/26/2022	3:08 AM	0.3545388600	85.100	3.000	5.005	0.0000010000	-0.0000584047	1.3113322771E-8	0.0000041629	3.2787447259E-9	7.200	27.300
7/26/2022	3:09 AM	0.3520244000	85.100	3.000	4.995	0.0000010000	-0.0000584093	9.9252679422E-9	0.0000041489	3.0861718560E-9	7.200	27.200
7/26/2022	3:10 AM	0.3495099400	85.100	3.000	5.007	0.0000010000	-0.0000584108	1.3130325928E-8	0.0000041658	3.0955735648E-10	7.200	27.100
7/26/2022	3:10 AM	0.3469954800	85.100	3.000	4.994	0.0000010000	-0.0000584044	1.6714373276E-8	0.0000041157	2.6303410632E-9	7.200	27.500
7/26/2022	3:11 AM	0.3444810200	85.100	2.999	5.004	0.0000010000	-0.0000584162	3.9108918735E-9	0.0000041281	4.1205424932E-9	7.200	27.500
7/26/2022	3:12 AM	0.3419665600	85.100	2.999	4.997	0.0000010000	-0.0000584028	1.1549320098E-8	0.0000041580	5.3011626335E-10	7.300	27.200
7/26/2022	3:12 AM	0.3394521000	85.100	3.000	5.006	0.0000010000	-0.0000584175	1.8717160895E-8	0.0000041532	1.8169234230E-9	7.300	27.200
7/26/2022	3:13 AM	0.3369376400	85.100	3.001	5.000	0.0000010000	-0.0000583992	1.0473704637E-8	0.0000041815	2.4609424700E-9	7.200	27.600
7/26/2022	3:14 AM	0.3344231800	85.100	3.000	5.002	0.0000010000	-0.0000584031	1.1340790073E-8	0.0000041246	2.9752904067E-9	7.200	27.700
7/26/2022	3:14 AM	0.3319087200	85.100	3.000	4.998	0.0000010000	-0.0000583967	7.1127797612E-9	0.0000041371	2.4246204955E-9	7.200	27.300
7/26/2022	3:15 AM	0.3293942600	85.100	3.000	5.006	0.0000010000	-0.0000584160	8.8065448182E-9	0.0000041164	2.8586568690E-9	7.200	27.500
7/26/2022	3:16 AM	0.3268798000	85.100	3.000	5.001	0.0000010000	-0.0000584043	1.2793954386E-8	0.0000041546	1.0210255840E-9	7.200	27.300
7/26/2022	3:17 AM	0.3243653400	85.100	2.999	5.001	0.0000010000	-0.0000584073	8.0990642127E-9	0.0000041501	9.7831803736E-10	7.200	27.400
7/26/2022	3:17 AM	0.3218508800	85.100	2.999	5.004	0.0000010000	-0.0000584154	9.8206530710E-9	0.0000041538	8.1547532152E-10	7.300	27.600
7/26/2022	3:18 AM	0.3193364200	85.100	3.000	4.995	0.0000010000	-0.0000583907	5.5470224659E-9	0.0000041530	1.0918007434E-9	7.300	26.800
7/26/2022	3:19 AM	0.3168219600	85.100	3.000	5.002	0.0000010000	-0.0000583975	9.2722384023E-9	0.0000041451	1.8140554983E-9	7.300	27.800
7/26/2022	3:19 AM	0.3143075000	85.100	3.000	5.004	0.0000010000	-0.0000583943	1.1082732672E-8	0.0000041485	5.7716018834E-10	7.300	27.200
7/26/2022	3:20 AM	0.3117930400	85.100	3.000	4.992	0.0000010000	-0.0000583858	1.4348108877E-8	0.0000041396	1.7798352014E-9	7.300	27.300
7/26/2022	3:21 AM	0.3092785800	85.100	3.000	5.001	0.0000010000	-0.0000583968	1.2739054248E-8	0.0000041505	1.7042947632E-9	7.300	27.500
7/26/2022	3:21 AM	0.3067641200	85.100	3.000	5.003	0.0000010000	-0.0000584078	6.6962409310E-9	0.0000041278	1.8771253127E-9	7.300	27.500
7/26/2022	3:22 AM	0.3042496600	85.100	2.999	4.998	0.0000010000	-0.0000584012	7.1383798839E-9	0.0000041820	1.6904125072E-9	7.300	27.100
7/26/2022	3:23 AM	0.3017352000	85.100	3.000	4.996	0.0000010000	-0.0000583858	4.4143460374E-9	0.0000041563	1.0759023111E-9	7.300	27.100
7/26/2022	3:24 AM	0.2992207400	85.100	3.000	5.001	0.0000010000	-0.0000584056	5.5684663821E-9	0.0000041586	7.5522851952E-10	7.300	27.400
7/26/2022	3:24 AM	0.2967062800	85.100	3.000	4.995	0.0000010000	-0.0000584004	1.1879700967E-8	0.0000041354	1.1905607780E-9	7.300	27.100
7/26/2022	3:25 AM	0.2941918200	85.100	3.000	4.999	0.0000010000	-0.0000583981	1.3653525834E-8	0.0000041904	1.4095815835E-9	7.300	28.000
7/26/2022	3:26 AM	0.2916773600	85.100	3.000	4.999	0.0000010000	-0.0000584048	9.1927259030E-9	0.0000041444	1.0759023111E-9	7.300	27.100
7/26/2022	3:26 AM	0.2891629000	85.100	2.999	4.997	0.0000010000	-0.0000584047	1.0305176225E-8	0.0000041420	5.7416573868E-10	7.300	27.200
