! User Name:	Aditya_Kumar
! Sample Name:	FGT_CPS_Device 4C-PF M10T_10min
! Sample ID:	CPS_MPS_Device_4C
! Date:	8/2/2022	Time:	2:41 AM
! Current Source:	Keithley 224 Current Source
! Voltmeter V1:	Keithley 182 Degital voltmeter
! Voltmeter V2:	Keithley 2182A  NanoVoltmeter
! V1 (volts):	Rxx
! V2 (volts):	Rxy
! Max Field (Tesla):0.000000	! Data points (0_maxT:75.000000	! Average Number:5.000000	
! Comments:	FGT/MnPS3 device was made in glove using flaking and dry transfering of flakes. 
! 
! 
! 
! 
! 
Data	Time	Magnetic Field (T)	Helium Level (%)	VTI Temperature (K)	Sample Temparture (K)	Current (A) 	Voltage-1(V)	Std. of V1	Voltage-2 (V)	Std. of V2	VTI  Heater Power (%)	Sample Heater Power (%)
8/2/2022	2:43 AM	-0.3495099400	52.000	52.780	54.994	0.0000010000	-0.0000519632	8.2185811492E-9	0.0000018355	7.2166385809E-10	6.700	27.800
8/2/2022	2:44 AM	-0.3444810200	47.800	2.996	5.002	0.0000010000	-0.0000519427	1.0390489647E-8	0.0000018185	5.4541221763E-10	2.400	14.500
8/2/2022	2:45 AM	-0.3394521000	47.800	3.000	5.001	0.0000010000	-0.0000519701	1.1765264594E-8	0.0000018458	1.0338627707E-9	2.400	14.300
8/2/2022	2:45 AM	-0.3344231800	47.800	3.012	5.002	0.0000010000	-0.0000519682	1.1718516583E-8	0.0000018439	6.5372306110E-10	2.200	14.300
8/2/2022	2:46 AM	-0.3293942600	47.800	3.007	5.000	0.0000010000	-0.0000519674	8.4097140261E-9	0.0000018251	1.3806248475E-9	2.300	14.200
8/2/2022	2:47 AM	-0.3243653400	0.900	3.003	5.002	0.0000010000	-0.0000519567	1.3241263490E-8	0.0000018124	1.5304136202E-9	2.200	14.300
8/2/2022	2:47 AM	-0.3193364200	47.800	3.005	5.003	0.0000010000	-0.0000519872	1.2578327234E-8	0.0000017945	1.1784477407E-9	2.200	14.100
8/2/2022	2:48 AM	-0.3143075000	47.800	3.016	5.004	0.0000010000	-0.0000519811	1.3908868635E-8	0.0000018202	8.9379718813E-10	2.100	14.000
8/2/2022	2:49 AM	-0.3092785800	47.800	2.998	5.000	0.0000010000	-0.0000519566	9.6409496186E-9	0.0000018325	1.4332168963E-9	2.200	14.100
8/2/2022	2:49 AM	-0.3042496600	47.800	3.008	5.003	0.0000010000	-0.0000519650	1.3089496040E-8	0.0000017824	4.1145062683E-9	2.100	14.100
8/2/2022	2:50 AM	-0.2992207400	47.800	3.005	5.000	0.0000010000	-0.0000519749	9.3258974527E-9	0.0000018389	5.1515439249E-10	2.100	14.100
8/2/2022	2:51 AM	-0.2941918200	47.800	3.004	5.002	0.0000010000	-0.0000519621	1.1780921213E-8	0.0000018393	3.7416573868E-10	2.000	14.000
8/2/2022	2:52 AM	-0.2891629000	47.800	2.997	5.002	0.0000010000	-0.0000519624	1.3625016657E-8	0.0000018385	0.0000000000E+0	2.000	14.100
8/2/2022	2:52 AM	-0.2841339800	47.800	3.001	5.001	0.0000010000	-0.0000519515	1.4318669225E-8	0.0000018280	2.5144579931E-9	1.900	13.800
8/2/2022	2:53 AM	-0.2791050600	47.800	3.011	5.001	0.0000010000	-0.0000519566	1.1921790726E-8	0.0000018236	2.1633182342E-9	1.900	13.900
8/2/2022	2:54 AM	-0.2740761400	47.800	2.999	5.002	0.0000010000	-0.0000519509	9.8772203360E-9	0.0000018512	1.8950659715E-9	1.900	13.800
8/2/2022	2:54 AM	-0.2690472200	47.800	3.010	5.001	0.0000010000	-0.0000519812	1.3315889607E-8	0.0000018289	1.1090373151E-9	1.900	13.800
8/2/2022	2:55 AM	-0.2640183000	47.800	2.994	5.000	0.0000010000	-0.0000519513	1.0869212967E-8	0.0000018243	6.6571333342E-10	1.900	13.800
8/2/2022	2:56 AM	-0.2589893800	42.800	3.000	5.002	0.0000010000	-0.0000519612	1.1470907100E-8	0.0000018551	1.3210023347E-9	1.800	13.800
8/2/2022	2:56 AM	-0.2539604600	42.800	2.998	5.001	0.0000010000	-0.0000519488	1.0185916013E-8	0.0000018230	2.3945392407E-9	1.800	13.800
8/2/2022	2:57 AM	-0.2489315400	42.800	2.992	4.998	0.0000010000	-0.0000519593	1.3244980299E-8	0.0000018454	1.3768602296E-9	1.800	13.800
8/2/2022	2:58 AM	-0.2439026200	42.800	3.005	5.000	0.0000010000	-0.0000519648	8.7032173660E-9	0.0000018312	2.0470179441E-9	1.700	13.600
8/2/2022	2:59 AM	-0.2388737000	42.800	3.001	5.000	0.0000010000	-0.0000519681	7.3403924995E-9	0.0000018161	2.6309445807E-9	1.700	13.700
8/2/2022	2:59 AM	-0.2338447800	42.800	2.997	5.002	0.0000010000	-0.0000519620	8.2746183214E-9	0.0000018552	1.4986599723E-9	1.600	13.600
8/2/2022	3:00 AM	-0.2288158600	42.800	2.995	5.001	0.0000010000	-0.0000519559	1.0640798844E-8	0.0000018162	1.2322919809E-9	1.600	13.600
