! User Name:	Aditya 
! Sample Name:	FGT_CPS_Device  4_FC 8T
! Sample ID:	FGT/CrPS4
! Date:	6/19/2022	Time:	7:18 PM
! Current Source:	Keithley 224 Current Source
! Voltmeter V1:	Keithley 182 Degital voltmeter
! Voltmeter V2:	Keithley 2182A  NanoVoltmeter
! V1 (volts):	Rxx Device 1
! V2 (volts):	Rxy Device 1
! Max Field (Tesla):0.000000	! Data points (0_maxT:75.000000	! Average Number:5.000000	
! Comments:	FGT/CrPS4 device was made in glove using flaking and dry transfering of flakes. 
! 
! 
! 
! 
Data	Time	Magnetic Field (T)	Helium Level (%)	VTI Temperature (K)	Sample Temparture (K)	Current (A) 	Voltage-1(V)	Std. of V1	Voltage-2 (V)	Std. of V2	VTI  Heater Power (%)	Sample Heater Power (%)
6/19/2022	7:20 PM	0.3997991400	52.000	52.780	54.994	0.0000010000	-0.0000601976	9.4958565424E-9	-0.0000048019	8.6368092477E-10	6.700	27.800
6/19/2022	7:21 PM	0.3972846800	58.200	10.494	12.499	0.0000010000	-0.0000601983	1.1664368173E-8	-0.0000047859	8.9418965053E-10	6.100	22.500
6/19/2022	7:22 PM	0.3947702200	58.200	10.497	12.500	0.0000010000	-0.0000601915	8.5205098295E-9	-0.0000048067	7.7631558048E-10	6.100	22.500
6/19/2022	7:22 PM	0.3922557600	58.200	10.506	12.501	0.0000010000	-0.0000601972	8.0381589039E-9	-0.0000047450	3.5045396128E-9	6.000	22.500
6/19/2022	7:23 PM	0.3897413000	58.200	10.499	12.500	0.0000010000	-0.0000601828	9.9627127795E-9	-0.0000047920	4.9664022582E-10	6.000	22.400
6/19/2022	7:24 PM	0.3872268400	58.200	10.501	12.501	0.0000010000	-0.0000602255	6.2528389602E-9	-0.0000047973	4.1306485869E-10	6.000	22.400
6/19/2022	7:24 PM	0.3847123800	58.200	10.500	12.501	0.0000010000	-0.0000601946	5.3852072942E-9	-0.0000047923	1.2247448714E-10	6.000	22.400
6/19/2022	7:25 PM	0.3821979200	58.200	10.503	12.500	0.0000010000	-0.0000601958	1.1721967863E-8	-0.0000048002	2.8058837015E-10	6.000	22.400
6/19/2022	7:26 PM	0.3796834600	58.200	10.508	12.501	0.0000010000	-0.0000602082	1.0438920951E-8	-0.0000048007	3.5495097568E-10	6.000	22.400
6/19/2022	7:26 PM	0.3771690000	58.200	10.506	12.501	0.0000010000	-0.0000602127	9.2386342647E-9	-0.0000047910	9.7258598040E-10	6.000	22.400
