! User Name:	Aditya 
! Sample Name:	FGT_CPS_Device  4_FC 8T
! Sample ID:	FGT/CrPS4
! Date:	6/18/2022	Time:	3:09 AM
! Current Source:	Keithley 224 Current Source
! Voltmeter V1:	Keithley 182 Degital voltmeter
! Voltmeter V2:	Keithley 2182A  NanoVoltmeter
! V1 (volts):	Rxx Device 1
! V2 (volts):	Rxy Device 1
! Max Field (Tesla):0.000000	! Data points (0_maxT:75.000000	! Average Number:5.000000	
! Comments:	FGT/CrPS4 device was made in glove using flaking and dry transfering of flakes. 
! 
! 
! 
! 
Data	Time	Magnetic Field (T)	Helium Level (%)	VTI Temperature (K)	Sample Temparture (K)	Current (A) 	Voltage-1(V)	Std. of V1	Voltage-2 (V)	Std. of V2	VTI  Heater Power (%)	Sample Heater Power (%)
6/18/2022	3:11 AM	0.3004779700	52.000	52.780	54.994	0.0000010000	-0.0000597628	6.6728805754E-9	-0.0000047222	5.9681613616E-10	6.700	27.800
6/18/2022	3:12 AM	0.2979635100	33.400	23.010	25.001	0.0000010000	-0.0000597509	9.7902096885E-9	-0.0000047142	6.3011626335E-10	9.000	33.000
6/18/2022	3:13 AM	0.2954490500	33.400	23.010	25.001	0.0000010000	-0.0000597424	5.1990507214E-9	-0.0000047189	6.8506723903E-10	8.900	33.000
6/18/2022	3:13 AM	0.2929345900	33.400	23.010	25.001	0.0000010000	-0.0000597508	8.0520362029E-9	-0.0000046995	1.0725725623E-9	8.900	33.000
6/18/2022	3:14 AM	0.2904201300	33.400	23.010	25.000	0.0000010000	-0.0000597320	8.9923267409E-9	-0.0000047140	8.2739529308E-10	8.900	32.900
6/18/2022	3:15 AM	0.2879056700	33.400	23.010	25.000	0.0000010000	-0.0000597303	1.2652535273E-8	-0.0000047187	6.3066409390E-10	8.900	32.900
6/18/2022	3:15 AM	0.2853912100	33.400	23.010	25.001	0.0000010000	-0.0000597511	7.2569579698E-9	-0.0000047262	9.6953597148E-10	8.900	32.900
6/18/2022	3:16 AM	0.2828767500	33.400	23.010	25.001	0.0000010000	-0.0000597552	1.1127552536E-8	-0.0000047278	7.4120907249E-10	8.800	32.900
6/18/2022	3:17 AM	0.2803622900	33.400	23.010	25.000	0.0000010000	-0.0000597577	8.5906428665E-9	-0.0000047204	1.1171366312E-9	8.800	32.900
6/18/2022	3:17 AM	0.2778478300	33.400	23.000	25.000	0.0000010000	-0.0000597304	7.6663673497E-9	-0.0000047349	1.1590001630E-9	8.800	32.800
6/18/2022	3:18 AM	0.2753333700	33.400	23.010	25.001	0.0000010000	-0.0000597486	1.2422742046E-8	-0.0000047017	1.9280214957E-9	8.800	32.800
6/18/2022	3:19 AM	0.2728189100	33.400	23.000	25.001	0.0000010000	-0.0000597386	1.1109013940E-8	-0.0000047057	1.1156011653E-9	8.800	32.800
6/18/2022	3:19 AM	0.2703044500	33.400	23.000	25.000	0.0000010000	-0.0000597252	9.6251372189E-9	-0.0000047123	7.5522851952E-10	8.700	32.800
6/18/2022	3:20 AM	0.2677899900	33.400	23.010	25.000	0.0000010000	-0.0000597360	6.1870057639E-9	-0.0000047096	2.5811388301E-10	8.700	32.800
6/18/2022	3:21 AM	0.2652755300	33.400	23.000	25.001	0.0000010000	-0.0000597331	6.1908101957E-9	-0.0000047023	3.5475097138E-9	8.700	32.800
6/18/2022	3:21 AM	0.2627610700	33.400	23.000	25.000	0.0000010000	-0.0000597436	6.8290606321E-9	-0.0000047205	3.7742546282E-10	8.700	32.800
6/18/2022	3:22 AM	0.2602466100	33.400	23.010	25.001	0.0000010000	-0.0000597492	6.8413605391E-9	-0.0000047147	5.5355339059E-10	8.700	32.800
6/18/2022	3:23 AM	0.2577321500	33.400	23.000	25.001	0.0000010000	-0.0000597334	8.4825150208E-9	-0.0000047159	2.5533039982E-9	8.700	32.700
6/18/2022	3:23 AM	0.2552176900	33.400	23.000	25.000	0.0000010000	-0.0000597485	7.0538386202E-9	-0.0000047200	2.8708286934E-10	8.700	32.700
6/18/2022	3:24 AM	0.2527032300	33.400	23.000	25.000	0.0000010000	-0.0000597234	6.4827251045E-9	-0.0000047274	3.2360679775E-10	8.600	32.700
6/18/2022	3:25 AM	0.2501887700	33.400	23.000	25.001	0.0000010000	-0.0000597382	1.0142632480E-8	-0.0000047192	1.1741663363E-9	8.600	32.700
6/18/2022	3:25 AM	0.2476743100	33.400	23.010	25.001	0.0000010000	-0.0000597238	9.3196806969E-9	-0.0000047059	6.3851648071E-10	8.600	32.700
6/18/2022	3:26 AM	0.2451598500	33.400	23.010	25.001	0.0000010000	-0.0000597449	8.6070456213E-9	-0.0000047158	2.0580571116E-9	8.600	32.700
6/18/2022	3:27 AM	0.2426453900	33.400	23.000	25.000	0.0000010000	-0.0000597416	5.5304086540E-9	-0.0000047085	8.2739529308E-10	8.600	32.700
6/18/2022	3:27 AM	0.2401309300	33.400	23.000	25.000	0.0000010000	-0.0000597345	6.8877914760E-9	-0.0000047218	9.9775832693E-10	8.600	32.700
6/18/2022	3:28 AM	0.2376164700	33.400	23.000	25.000	0.0000010000	-0.0000597309	8.8850912188E-9	-0.0000047177	4.7602787773E-10	8.600	32.600
6/18/2022	3:29 AM	0.2351020100	33.400	23.000	25.000	0.0000010000	-0.0000597424	8.5295665766E-9	-0.0000047166	5.6124860802E-10	8.500	32.600
6/18/2022	3:29 AM	0.2325875500	33.400	23.000	25.001	0.0000010000	-0.0000597392	1.1985049623E-8	-0.0000047266	1.0915475947E-9	8.500	32.600
6/18/2022	3:30 AM	0.2300730900	33.400	23.000	25.000	0.0000010000	-0.0000597504	7.8498815285E-9	-0.0000047077	1.4251259996E-9	8.500	32.600
6/18/2022	3:31 AM	0.2275586300	33.400	23.010	25.001	0.0000010000	-0.0000597380	1.0547613344E-8	-0.0000046828	2.9481446303E-9	8.500	32.600
6/18/2022	3:31 AM	0.2250441700	33.400	23.010	25.001	0.0000010000	-0.0000597251	6.5558462973E-9	-0.0000046926	2.1086777790E-9	8.500	32.600
6/18/2022	3:32 AM	0.2225297100	33.400	23.000	25.000	0.0000010000	-0.0000597404	1.0747791416E-8	-0.0000047208	1.2247448714E-10	8.500	32.600
6/18/2022	3:33 AM	0.2200152500	33.400	23.000	25.000	0.0000010000	-0.0000597244	8.0814161912E-9	-0.0000047080	1.0112939289E-9	8.500	32.600
6/18/2022	3:34 AM	0.2175007900	33.400	23.000	25.000	0.0000010000	-0.0000597281	8.7749740834E-9	-0.0000047208	5.8309518948E-10	8.500	32.600
6/18/2022	3:34 AM	0.2149863300	33.400	23.000	25.000	0.0000010000	-0.0000597242	6.6039486652E-9	-0.0000047008	1.3338293254E-9	8.400	32.600
6/18/2022	3:35 AM	0.2124718700	33.400	23.000	25.000	0.0000010000	-0.0000597350	1.2254479997E-8	-0.0000047322	1.6202563836E-9	8.400	32.600
6/18/2022	3:36 AM	0.2099574100	33.400	23.000	25.000	0.0000010000	-0.0000597296	7.6171511645E-9	-0.0000046991	1.3453624047E-9	8.400	32.600
6/18/2022	3:36 AM	0.2074429500	33.400	23.000	25.001	0.0000010000	-0.0000597200	8.0221275825E-9	-0.0000047243	9.6205775687E-10	8.400	32.600
6/18/2022	3:37 AM	0.2049284900	33.400	23.000	25.000	0.0000010000	-0.0000597484	9.6791352329E-9	-0.0000047277	9.3186001849E-10	8.400	32.500
6/18/2022	3:38 AM	0.2024140300	33.400	23.000	25.000	0.0000010000	-0.0000597274	5.7634658213E-9	-0.0000047266	1.8708286934E-10	8.400	32.500
6/18/2022	3:39 AM	0.1998995700	33.400	23.000	25.000	0.0000010000	-0.0000597392	9.7667274345E-9	-0.0000047082	6.8476798574E-10	8.400	32.500
6/18/2022	3:39 AM	0.1973851100	33.400	23.000	25.000	0.0000010000	-0.0000597273	5.7555745332E-9	-0.0000047155	2.4494897428E-10	8.400	32.500
6/18/2022	3:40 AM	0.1948706500	33.400	23.000	25.000	0.0000010000	-0.0000597383	1.2260259605E-8	-0.0000047310	2.4494897428E-10	8.400	32.500
6/18/2022	3:41 AM	0.1923561900	33.400	23.000	25.000	0.0000010000	-0.0000597232	9.5506373997E-9	-0.0000047220	9.8332143549E-10	8.400	32.500
6/18/2022	3:41 AM	0.1898417300	33.400	23.000	25.000	0.0000010000	-0.0000597221	9.8437349303E-9	-0.0000047170	2.2360679775E-10	8.300	32.500
6/18/2022	3:42 AM	0.1873272700	33.400	23.000	25.000	0.0000010000	-0.0000597316	1.0024636518E-8	-0.0000047296	9.3794980865E-10	8.300	32.500
6/18/2022	3:43 AM	0.1848128100	33.400	23.000	25.000	0.0000010000	-0.0000597230	5.5339090744E-9	-0.0000047246	5.0331063536E-10	8.300	32.500
6/18/2022	3:43 AM	0.1822983500	33.400	23.000	25.000	0.0000010000	-0.0000597203	1.0874946117E-8	-0.0000047131	6.5372306110E-10	8.300	32.500
6/18/2022	3:44 AM	0.1797838900	33.400	23.000	25.000	0.0000010000	-0.0000597140	1.1321632459E-8	-0.0000047344	3.2247448714E-10	8.300	32.500
6/18/2022	3:45 AM	0.1772694300	33.400	23.000	25.000	0.0000010000	-0.0000597308	5.2370040734E-9	-0.0000047173	3.0955735648E-10	8.300	32.500
6/18/2022	3:46 AM	0.1747549700	33.400	23.000	25.000	0.0000010000	-0.0000597300	9.2578454687E-9	-0.0000047115	7.9346745639E-10	8.300	32.500
6/18/2022	3:46 AM	0.1722405100	33.400	23.000	25.000	0.0000010000	-0.0000597165	6.9554432392E-9	-0.0000047333	1.1690287121E-9	8.300	32.500
6/18/2022	3:47 AM	0.1697260500	33.400	23.000	25.000	0.0000010000	-0.0000597229	9.5267709089E-9	-0.0000047142	7.5522851952E-10	8.300	32.500
6/18/2022	3:48 AM	0.1672115900	33.400	23.000	25.000	0.0000010000	-0.0000597185	5.2863380690E-9	-0.0000047093	1.7085952748E-9	8.300	32.500
6/18/2022	3:48 AM	0.1646971300	33.400	23.000	25.000	0.0000010000	-0.0000597135	6.5819183487E-9	-0.0000047188	1.1707877060E-9	8.300	32.500
6/18/2022	3:49 AM	0.1621826700	33.400	23.000	25.000	0.0000010000	-0.0000597278	1.1311379360E-8	-0.0000047160	1.1813159295E-9	8.300	32.500
