! User Name:	Aditya 
! Sample Name:	FGT_CPS_Device  4_FC 8T_PF 0T
! Sample ID:	FGT/CrPS4
! Date:	6/13/2022	Time:	8:51 PM
! Current Source:	Keithley 224 Current Source
! Voltmeter V1:	Keithley 182 Degital voltmeter
! Voltmeter V2:	Keithley 2182A  NanoVoltmeter
! V1 (volts):	Rxx Device 1
! V2 (volts):	Rxy Device 1
! Max Field (Tesla):0.000000	! Data points (0_maxT:75.000000	! Average Number:5.000000	
! Comments:	FGT/CrPS4 device was made in glove using flaking and dry transfering of flakes. 
! 
! 
! 
! 
Data	Time	Magnetic Field (T)	Helium Level (%)	VTI Temperature (K)	Sample Temparture (K)	Current (A) 	Voltage-1(V)	Std. of V1	Voltage-2 (V)	Std. of V2	VTI  Heater Power (%)	Sample Heater Power (%)
6/13/2022	8:53 PM	0.3997991400	52.000	52.780	54.994	0.0000010000	-0.0000599928	7.1966818708E-9	-0.0000047355	1.9199969635E-9	6.700	27.800
6/13/2022	8:54 PM	0.3947702200	58.400	13.006	15.002	0.0000010000	-0.0000599842	7.8958233104E-9	-0.0000047338	9.1488424909E-10	7.800	26.600
6/13/2022	8:55 PM	0.3897413000	58.400	13.011	15.002	0.0000010000	-0.0000599500	6.0606788075E-9	-0.0000047405	1.4783828188E-9	7.700	26.500
6/13/2022	8:56 PM	0.3847123800	58.400	13.005	15.001	0.0000010000	-0.0000599404	5.3375375236E-9	-0.0000047646	1.3206555616E-9	7.600	26.400
6/13/2022	8:56 PM	0.3796834600	58.400	13.011	15.001	0.0000010000	-0.0000599069	1.0125208108E-8	-0.0000047314	1.0632188733E-9	7.600	26.400
6/13/2022	8:57 PM	0.3746545400	58.400	13.011	15.001	0.0000010000	-0.0000599390	6.0798597654E-9	-0.0000047433	1.5023736134E-9	7.500	26.400
6/13/2022	8:58 PM	0.3696256200	58.400	13.008	15.001	0.0000010000	-0.0000599016	6.4793026865E-9	-0.0000047417	9.1203127704E-10	7.500	26.300
6/13/2022	8:58 PM	0.3645967000	58.400	13.007	15.001	0.0000010000	-0.0000599199	7.9806442071E-9	-0.0000047432	2.0295124405E-9	7.400	26.300
6/13/2022	8:59 PM	0.3595677800	58.400	13.007	15.002	0.0000010000	-0.0000599018	4.8635687399E-9	-0.0000047428	1.4838352503E-9	7.400	26.200
6/13/2022	9:00 PM	0.3545388600	58.400	13.005	15.002	0.0000010000	-0.0000599147	8.0540373540E-9	-0.0000047595	1.4778050923E-9	7.300	26.200
6/13/2022	9:00 PM	0.3495099400	58.400	13.009	15.000	0.0000010000	-0.0000598951	9.9781222103E-9	-0.0000047226	5.3614480931E-9	7.300	26.200
6/13/2022	9:01 PM	0.3444810200	58.400	13.003	15.001	0.0000010000	-0.0000598969	1.1422273211E-8	-0.0000047681	9.7258598040E-10	7.300	26.200
6/13/2022	9:02 PM	0.3394521000	58.400	13.004	15.001	0.0000010000	-0.0000598742	7.2100841630E-9	-0.0000047682	1.7888158269E-9	7.200	26.200
6/13/2022	9:02 PM	0.3344231800	58.400	13.002	15.001	0.0000010000	-0.0000598629	6.3602868565E-9	-0.0000047475	3.2247448714E-10	7.200	26.100
6/13/2022	9:03 PM	0.3293942600	58.400	13.002	15.001	0.0000010000	-0.0000598306	5.6084803346E-9	-0.0000047479	5.4063625993E-10	7.200	26.100
6/13/2022	9:04 PM	0.3243653400	58.400	13.000	15.000	0.0000010000	-0.0000598560	1.3331648063E-8	-0.0000047443	7.6212327846E-10	7.200	26.100
6/13/2022	9:04 PM	0.3193364200	58.400	13.003	15.000	0.0000010000	-0.0000598151	1.1718694417E-8	-0.0000047659	9.9753483738E-10	7.100	26.100
6/13/2022	9:05 PM	0.3143075000	58.400	13.006	15.001	0.0000010000	-0.0000598346	1.6578632277E-8	-0.0000047551	7.1237243570E-10	7.100	26.000
6/13/2022	9:06 PM	0.3092785800	58.400	13.004	15.001	0.0000010000	-0.0000598428	1.7163027140E-8	-0.0000047551	7.2559935005E-10	7.100	26.000
6/13/2022	9:06 PM	0.3042496600	58.400	13.003	15.000	0.0000010000	-0.0000598153	2.1021589991E-8	-0.0000047381	8.1763500472E-10	7.100	26.000
6/13/2022	9:07 PM	0.2992207400	58.400	13.003	15.001	0.0000010000	-0.0000598429	1.6646104332E-8	-0.0000047464	6.3851648071E-10	7.000	26.000
6/13/2022	9:08 PM	0.2941918200	58.400	13.003	15.001	0.0000010000	-0.0000598277	1.4871717294E-8	-0.0000047598	3.9154759474E-10	7.000	25.900
6/13/2022	9:08 PM	0.2891629000	58.400	13.001	15.001	0.0000010000	-0.0000598389	1.2158025533E-8	-0.0000047533	9.0349945473E-10	7.000	25.900
6/13/2022	9:09 PM	0.2841339800	58.400	13.001	15.000	0.0000010000	-0.0000598470	1.8647773926E-8	-0.0000047333	4.1838663415E-9	7.000	25.900
6/13/2022	9:10 PM	0.2791050600	58.400	13.005	15.001	0.0000010000	-0.0000598105	1.4451316088E-8	-0.0000047643	3.0000000000E-10	6.900	25.900
6/13/2022	9:10 PM	0.2740761400	58.400	13.005	15.001	0.0000010000	-0.0000598258	7.3705141201E-9	-0.0000047457	1.0825982435E-9	6.900	25.800
6/13/2022	9:11 PM	0.2690472200	58.400	13.002	15.001	0.0000010000	-0.0000598195	1.1804315361E-8	-0.0000047643	7.4031242374E-10	6.900	25.800
6/13/2022	9:12 PM	0.2640183000	58.400	13.003	15.000	0.0000010000	-0.0000597953	5.7063615498E-9	-0.0000047551	1.6118973456E-9	6.900	25.800
6/13/2022	9:12 PM	0.2589893800	58.400	13.002	15.001	0.0000010000	-0.0000598051	8.0363136339E-9	-0.0000047435	1.4684078243E-9	6.800	25.800
