! User Name:	Aditya 
! Sample Name:	FGT_CPS_Device  4_FC 8T_PF repeat
! Sample ID:	FGT/CrPS4
! Date:	6/15/2022	Time:	10:13 PM
! Current Source:	Keithley 224 Current Source
! Voltmeter V1:	Keithley 182 Degital voltmeter
! Voltmeter V2:	Keithley 2182A  NanoVoltmeter
! V1 (volts):	Rxx Device 1
! V2 (volts):	Rxy Device 1
! Max Field (Tesla):0.000000	! Data points (0_maxT:75.000000	! Average Number:5.000000	
! Comments:	FGT/CrPS4 device was made in glove using flaking and dry transfering of flakes. 
! 
! 
! 
! 
Data	Time	Magnetic Field (T)	Helium Level (%)	VTI Temperature (K)	Sample Temparture (K)	Current (A) 	Voltage-1(V)	Std. of V1	Voltage-2 (V)	Std. of V2	VTI  Heater Power (%)	Sample Heater Power (%)
6/15/2022	10:15 PM	0.3997991400	52.000	52.780	54.994	0.0000010000	-0.0000598241	6.4716484503E-9	-0.0000047461	3.5495097568E-10	6.700	27.800
6/15/2022	10:17 PM	0.3972846800	43.100	18.003	20.000	0.0000010000	-0.0000598220	8.6071565031E-9	-0.0000047613	9.7358920452E-10	6.600	29.900
6/15/2022	10:17 PM	0.3947702200	43.100	18.000	20.000	0.0000010000	-0.0000598027	4.0665266416E-9	-0.0000047470	1.4976338337E-9	6.700	29.900
6/15/2022	10:18 PM	0.3922557600	43.100	18.001	20.001	0.0000010000	-0.0000598065	8.3033590652E-9	-0.0000047530	8.0415229868E-10	6.700	29.900
6/15/2022	10:19 PM	0.3897413000	43.100	18.001	20.000	0.0000010000	-0.0000598204	1.0638372854E-8	-0.0000047437	1.4007837644E-9	6.600	29.900
6/15/2022	10:19 PM	0.3872268400	43.100	18.002	20.000	0.0000010000	-0.0000597960	1.1938238430E-8	-0.0000047562	4.7602787773E-10	6.600	29.900
6/15/2022	10:20 PM	0.3847123800	43.100	18.002	20.000	0.0000010000	-0.0000598178	1.1126420680E-8	-0.0000047511	7.5192024052E-10	6.600	29.900
6/15/2022	10:21 PM	0.3821979200	43.100	18.001	20.000	0.0000010000	-0.0000598249	6.2246098621E-9	-0.0000047490	1.1401754251E-9	6.600	29.900
6/15/2022	10:21 PM	0.3796834600	43.100	18.002	20.000	0.0000010000	-0.0000598059	6.1872954400E-9	-0.0000047361	8.9418965053E-10	6.600	29.900
6/15/2022	10:22 PM	0.3771690000	43.100	18.001	20.000	0.0000010000	-0.0000598064	7.9209248434E-9	-0.0000047271	1.4318112053E-9	6.600	29.900
6/15/2022	10:23 PM	0.3746545400	43.100	17.998	20.000	0.0000010000	-0.0000598106	7.2652267917E-9	-0.0000047468	8.2958126833E-10	6.600	29.800
6/15/2022	10:23 PM	0.3721400800	43.100	18.001	20.000	0.0000010000	-0.0000598051	8.2032463727E-9	-0.0000047398	1.2456232619E-9	6.600	29.800
6/15/2022	10:24 PM	0.3696256200	43.100	18.000	20.000	0.0000010000	-0.0000598152	7.2247660194E-9	-0.0000047456	5.4649857042E-10	6.600	29.800
6/15/2022	10:25 PM	0.3671111600	43.100	18.003	20.000	0.0000010000	-0.0000598221	7.7334935404E-9	-0.0000047442	2.0000000000E-10	6.600	29.800
6/15/2022	10:26 PM	0.3645967000	43.100	18.001	20.000	0.0000010000	-0.0000598074	9.1426090765E-9	-0.0000047411	1.4308818388E-9	6.600	29.800
6/15/2022	10:26 PM	0.3620822400	43.100	17.999	20.000	0.0000010000	-0.0000598037	7.0553937218E-9	-0.0000047463	5.0620192023E-10	6.600	29.800
6/15/2022	10:27 PM	0.3595677800	43.100	18.002	20.000	0.0000010000	-0.0000598192	8.5655331431E-9	-0.0000047516	1.5745340648E-9	6.600	29.800
6/15/2022	10:28 PM	0.3570533200	43.100	18.001	20.000	0.0000010000	-0.0000598137	9.8003157333E-9	-0.0000047589	1.3385164807E-9	6.600	29.800
6/15/2022	10:28 PM	0.3545388600	43.100	18.001	20.000	0.0000010000	-0.0000598221	6.7715901749E-9	-0.0000047331	1.0276472679E-9	6.600	29.800
6/15/2022	10:29 PM	0.3520244000	43.100	18.001	20.001	0.0000010000	-0.0000598204	6.7067038370E-9	-0.0000047501	7.2559935005E-10	6.600	29.800
6/15/2022	10:30 PM	0.3495099400	43.100	18.000	20.000	0.0000010000	-0.0000598308	5.9857069857E-9	-0.0000047362	9.3874768826E-10	6.600	29.800
6/15/2022	10:30 PM	0.3469954800	43.100	17.999	20.000	0.0000010000	-0.0000598061	1.3374673413E-8	-0.0000047493	4.1402208188E-10	6.600	29.800
6/15/2022	10:31 PM	0.3444810200	43.100	18.001	20.000	0.0000010000	-0.0000598267	8.8490928663E-9	-0.0000047419	3.0955735648E-10	6.600	29.800
6/15/2022	10:32 PM	0.3419665600	43.100	18.002	20.000	0.0000010000	-0.0000598102	1.3510763635E-8	-0.0000047379	8.8740730319E-10	6.600	29.800
6/15/2022	10:32 PM	0.3394521000	43.100	18.000	20.000	0.0000010000	-0.0000598199	9.9318311795E-9	-0.0000047443	4.7602787773E-10	6.600	29.800
6/15/2022	10:33 PM	0.3369376400	43.100	17.999	20.000	0.0000010000	-0.0000598080	8.6550156460E-9	-0.0000047543	4.7855777343E-10	6.600	29.800
6/15/2022	10:34 PM	0.3344231800	43.100	17.999	20.000	0.0000010000	-0.0000598190	8.4745738058E-9	-0.0000047626	1.1149461492E-9	6.600	29.800
6/15/2022	10:34 PM	0.3319087200	43.100	18.001	20.000	0.0000010000	-0.0000598359	1.3772654162E-8	-0.0000047486	5.5259075049E-10	6.600	29.800
6/15/2022	10:35 PM	0.3293942600	43.100	17.988	19.998	0.0000010000	-0.0000598132	7.2755409364E-9	-0.0000047506	5.3385391260E-10	6.600	29.900
6/15/2022	10:36 PM	0.3268798000	43.100	17.997	20.000	0.0000010000	-0.0000598224	7.6911574373E-9	-0.0000047371	1.0276472679E-9	6.600	29.900
6/15/2022	10:36 PM	0.3243653400	43.100	18.001	20.000	0.0000010000	-0.0000598153	7.3790062518E-9	-0.0000047460	3.2247448714E-10	6.600	29.900
6/15/2022	10:37 PM	0.3218508800	43.100	18.001	20.000	0.0000010000	-0.0000598281	3.4985407328E-9	-0.0000047462	6.0850436627E-10	6.600	29.900
6/15/2022	10:38 PM	0.3193364200	43.100	17.999	20.000	0.0000010000	-0.0000598171	5.6367245177E-9	-0.0000047394	1.0000000000E-10	6.600	29.900
6/15/2022	10:38 PM	0.3168219600	43.100	18.001	20.000	0.0000010000	-0.0000598140	8.8040932536E-9	-0.0000047512	9.5770568927E-10	6.600	29.900
6/15/2022	10:39 PM	0.3143075000	43.100	17.999	20.000	0.0000010000	-0.0000598321	7.8520213088E-9	-0.0000047065	3.6231558438E-9	6.600	29.900
6/15/2022	10:40 PM	0.3117930400	43.100	18.000	20.000	0.0000010000	-0.0000598266	4.7240377904E-9	-0.0000047492	4.9154759474E-10	6.600	29.800
6/15/2022	10:40 PM	0.3092785800	43.100	18.001	20.000	0.0000010000	-0.0000598184	6.3662723468E-9	-0.0000047440	9.4471840095E-10	6.600	29.800
6/15/2022	10:41 PM	0.3067641200	43.100	17.999	20.000	0.0000010000	-0.0000598243	1.2365558375E-8	-0.0000047422	5.4649857042E-10	6.600	29.800
6/15/2022	10:42 PM	0.3042496600	43.100	18.002	20.000	0.0000010000	-0.0000598202	7.9224417327E-9	-0.0000047319	1.5323866476E-9	6.600	29.800
6/15/2022	10:42 PM	0.3017352000	43.100	18.001	20.000	0.0000010000	-0.0000598161	5.2696549987E-9	-0.0000047357	1.5124474049E-9	6.600	29.800
6/15/2022	10:43 PM	0.2992207400	43.100	17.999	20.000	0.0000010000	-0.0000598141	6.0051719850E-9	-0.0000047204	2.9514348104E-9	6.600	29.800
6/15/2022	10:44 PM	0.2967062800	43.100	18.000	20.000	0.0000010000	-0.0000598170	8.1385198536E-9	-0.0000047411	4.5355339059E-10	6.600	29.800
6/15/2022	10:44 PM	0.2941918200	43.100	18.001	20.000	0.0000010000	-0.0000598163	6.5207257444E-9	-0.0000047594	1.3460250527E-9	6.600	29.800
6/15/2022	10:45 PM	0.2916773600	43.100	18.001	20.000	0.0000010000	-0.0000598213	6.3688174559E-9	-0.0000047194	2.3870828693E-9	6.600	29.800
6/15/2022	10:46 PM	0.2891629000	43.100	18.000	20.000	0.0000010000	-0.0000598042	8.0809946490E-9	-0.0000047444	3.2360679775E-10	6.600	29.800
6/15/2022	10:46 PM	0.2866484400	43.100	18.000	20.000	0.0000010000	-0.0000598062	7.4257474464E-9	-0.0000047588	6.5632839974E-10	6.600	29.800
6/15/2022	10:47 PM	0.2841339800	43.100	18.000	20.000	0.0000010000	-0.0000598258	4.7077253387E-9	-0.0000047447	5.0620192023E-10	6.600	29.800
6/15/2022	10:48 PM	0.2816195200	43.100	17.999	20.000	0.0000010000	-0.0000598108	1.0011361041E-8	-0.0000047255	7.7459666924E-10	6.600	29.800
6/15/2022	10:48 PM	0.2791050600	43.100	18.003	20.000	0.0000010000	-0.0000598158	8.5765953523E-9	-0.0000047454	6.5076379411E-10	6.600	29.800
