! User Name:	Aditya 
! Sample Name:	FGT_CPS_Device  4_FC8T_
! Sample ID:	FGT/CrPS4
! Date:	6/21/2022	Time:	7:14 PM
! Current Source:	Keithley 224 Current Source
! Voltmeter V1:	Keithley 182 Degital voltmeter
! Voltmeter V2:	Keithley 2182A  NanoVoltmeter
! V1 (volts):	Rxx Device 1
! V2 (volts):	Rxy Device 1
! Max Field (Tesla):0.000000	! Data points (0_maxT:75.000000	! Average Number:5.000000	
! Comments:	FGT/CrPS4 device was made in glove using flaking and dry transfering of flakes. 
! 
! 
! 
! 
Data	Time	Magnetic Field (T)	Helium Level (%)	VTI Temperature (K)	Sample Temparture (K)	Current (A) 	Voltage-1(V)	Std. of V1	Voltage-2 (V)	Std. of V2	VTI  Heater Power (%)	Sample Heater Power (%)
6/21/2022	7:16 PM	0.3997991400	52.000	52.780	54.994	0.0000010000	-0.0000588324	7.5204802431E-9	-0.0000053444	2.0929451782E-9	6.700	27.800
6/21/2022	7:18 PM	0.3972846800	40.700	15.503	17.501	0.0000010000	-0.0000588405	7.9268762543E-9	-0.0000053523	9.5137038954E-10	8.400	28.100
6/21/2022	7:18 PM	0.3947702200	40.700	15.509	17.500	0.0000010000	-0.0000588323	7.7785650347E-9	-0.0000053492	1.2585015750E-9	8.300	28.000
6/21/2022	7:19 PM	0.3922557600	39.300	15.505	17.501	0.0000010000	-0.0000588410	6.7907179853E-9	-0.0000053652	8.0428200203E-10	8.300	28.000
6/21/2022	7:20 PM	0.3897413000	39.300	15.508	17.500	0.0000010000	-0.0000588301	9.2680843497E-9	-0.0000053391	2.4937899579E-9	8.300	28.000
6/21/2022	7:20 PM	0.3872268400	39.300	15.504	17.501	0.0000010000	-0.0000588278	9.0665532852E-9	-0.0000053446	8.9418965053E-10	8.300	27.900
6/21/2022	7:21 PM	0.3847123800	39.300	15.501	17.501	0.0000010000	-0.0000588296	9.2885500431E-9	-0.0000053477	3.8708286934E-10	8.300	27.900
6/21/2022	7:22 PM	0.3821979200	39.300	15.506	17.501	0.0000010000	-0.0000588346	9.8155720197E-9	-0.0000053460	5.8708286934E-10	8.200	27.900
6/21/2022	7:23 PM	0.3796834600	39.300	15.505	17.501	0.0000010000	-0.0000588242	6.4677521299E-9	-0.0000053567	1.4679596916E-9	8.200	27.800
6/21/2022	7:23 PM	0.3771690000	39.300	15.502	17.500	0.0000010000	-0.0000588299	5.7791354457E-9	-0.0000053321	4.4297671105E-9	8.200	27.800
6/21/2022	7:24 PM	0.3746545400	39.300	15.500	17.500	0.0000010000	-0.0000588338	6.5796809011E-9	-0.0000053537	8.2739529308E-10	8.200	27.800
6/21/2022	7:25 PM	0.3721400800	39.300	15.501	17.501	0.0000010000	-0.0000588256	7.5136114761E-9	-0.0000053562	6.9663036372E-10	8.200	27.800
6/21/2022	7:25 PM	0.3696256200	39.300	15.507	17.501	0.0000010000	-0.0000588276	8.2882673942E-9	-0.0000053603	6.3851648071E-10	8.100	27.800
6/21/2022	7:26 PM	0.3671111600	39.300	15.502	17.501	0.0000010000	-0.0000588334	5.6098908608E-9	-0.0000053311	2.4848192179E-9	8.100	27.700
6/21/2022	7:27 PM	0.3645967000	39.300	15.503	17.502	0.0000010000	-0.0000588231	8.4405254339E-9	-0.0000053536	1.3942671667E-9	8.100	27.700
6/21/2022	7:28 PM	0.3620822400	39.300	15.508	17.500	0.0000010000	-0.0000588329	7.1133064595E-9	-0.0000053679	8.9526339942E-10	8.100	27.700
6/21/2022	7:28 PM	0.3595677800	39.300	15.501	17.500	0.0000010000	-0.0000588394	8.5312353263E-9	-0.0000053477	1.7104032780E-9	8.100	27.700
6/21/2022	7:29 PM	0.3570533200	39.300	15.502	17.500	0.0000010000	-0.0000588257	7.6845641485E-9	-0.0000053407	6.8476798574E-10	8.100	27.700
6/21/2022	7:30 PM	0.3545388600	39.300	15.504	17.501	0.0000010000	-0.0000588413	8.9829192966E-9	-0.0000053585	5.9406747484E-10	8.100	27.600
6/21/2022	7:30 PM	0.3520244000	39.300	15.505	17.501	0.0000010000	-0.0000588373	6.8199544114E-9	-0.0000053577	1.4198561699E-9	8.000	27.600
6/21/2022	7:31 PM	0.3495099400	39.300	15.504	17.501	0.0000010000	-0.0000588353	8.9787675073E-9	-0.0000053484	2.4494897428E-10	8.000	27.600
6/21/2022	7:32 PM	0.3469954800	39.300	15.506	17.501	0.0000010000	-0.0000588223	1.1272072776E-8	-0.0000053390	1.2189094443E-9	8.000	27.600
