! User Name:	Aditya 
! Sample Name:	FGT_CPS_Device  4_FC8T_
! Sample ID:	FGT/CrPS4
! Date:	6/26/2022	Time:	5:02 AM
! Current Source:	Keithley 224 Current Source
! Voltmeter V1:	Keithley 182 Degital voltmeter
! Voltmeter V2:	Keithley 2182A  NanoVoltmeter
! V1 (volts):	Rxx Device 1
! V2 (volts):	Rxy Device 1
! Max Field (Tesla):0.000000	! Data points (0_maxT:75.000000	! Average Number:5.000000	
! Comments:	FGT/CrPS4 device was made in glove using flaking and dry transfering of flakes. 
! 
! 
! 
! 
Data	Time	Magnetic Field (T)	Helium Level (%)	VTI Temperature (K)	Sample Temparture (K)	Current (A) 	Voltage-1(V)	Std. of V1	Voltage-2 (V)	Std. of V2	VTI  Heater Power (%)	Sample Heater Power (%)
6/26/2022	5:04 AM	0.3004779700	52.000	52.780	54.994	0.0000010000	-0.0000636852	8.8315970670E-9	-0.0000062541	3.2360679775E-10	6.700	27.800
6/26/2022	5:05 AM	0.2979635100	98.000	38.010	40.000	0.0000010000	-0.0000636783	4.3720382900E-9	-0.0000062507	2.5495097568E-10	11.900	26.700
6/26/2022	5:06 AM	0.2954490500	98.000	38.010	40.000	0.0000010000	-0.0000636956	5.3183927349E-9	-0.0000062432	6.8728772252E-10	11.800	26.700
6/26/2022	5:07 AM	0.2929345900	98.000	38.010	40.000	0.0000010000	-0.0000637093	5.6857707773E-9	-0.0000062413	1.4679596916E-9	11.800	26.700
6/26/2022	5:07 AM	0.2904201300	98.000	38.010	40.000	0.0000010000	-0.0000637246	3.2252801271E-9	-0.0000062497	1.3849977244E-9	11.800	26.700
6/26/2022	5:08 AM	0.2879056700	98.000	38.010	40.000	0.0000010000	-0.0000637246	6.5819129736E-9	-0.0000062702	1.1124262395E-9	11.800	26.700
6/26/2022	5:09 AM	0.2853912100	98.000	38.010	40.000	0.0000010000	-0.0000637268	7.5667137907E-9	-0.0000062633	6.9774951497E-10	11.800	26.700
6/26/2022	5:10 AM	0.2828767500	98.000	38.010	40.000	0.0000010000	-0.0000637132	4.1448889712E-9	-0.0000062362	2.8437212991E-9	11.800	26.700
6/26/2022	5:10 AM	0.2803622900	98.000	38.010	40.000	0.0000010000	-0.0000637277	5.6534571208E-9	-0.0000062548	1.1039933485E-9	11.700	26.700
6/26/2022	5:11 AM	0.2778478300	98.000	38.010	40.000	0.0000010000	-0.0000637140	7.2254784433E-9	-0.0000062626	8.0428200203E-10	11.700	26.700
6/26/2022	5:12 AM	0.2753333700	98.000	38.010	40.000	0.0000010000	-0.0000637194	4.9526430305E-9	-0.0000062494	8.9418965053E-10	11.700	26.600
6/26/2022	5:13 AM	0.2728189100	98.000	38.010	40.000	0.0000010000	-0.0000637188	9.6513350357E-9	-0.0000062664	8.8600225733E-10	11.700	26.700
6/26/2022	5:13 AM	0.2703044500	98.000	38.010	40.000	0.0000010000	-0.0000637281	7.4605986263E-9	-0.0000062538	1.0565563235E-9	11.700	26.600
6/26/2022	5:14 AM	0.2677899900	98.000	38.010	40.000	0.0000010000	-0.0000637284	5.9796425003E-9	-0.0000062625	1.0112939289E-9	11.700	26.600
6/26/2022	5:15 AM	0.2652755300	98.000	38.010	40.000	0.0000010000	-0.0000637339	5.7955078016E-9	-0.0000062812	1.1477512681E-9	11.700	26.600
6/26/2022	5:15 AM	0.2627610700	98.000	38.010	40.000	0.0000010000	-0.0000637312	5.2746987915E-9	-0.0000062589	2.5811388301E-10	11.700	26.600
6/26/2022	5:16 AM	0.2602466100	98.000	38.010	40.000	0.0000010000	-0.0000637269	4.6506946390E-9	-0.0000062610	1.3525003665E-9	11.600	26.600
6/26/2022	5:17 AM	0.2577321500	98.000	38.010	40.000	0.0000010000	-0.0000637255	5.2451666584E-9	-0.0000062570	1.3022703843E-9	11.600	26.600
6/26/2022	5:18 AM	0.2552176900	98.000	38.010	40.000	0.0000010000	-0.0000637253	6.5950195378E-9	-0.0000062548	4.7863046408E-10	11.600	26.600
6/26/2022	5:18 AM	0.2527032300	98.000	38.010	40.000	0.0000010000	-0.0000637254	5.7536639498E-9	-0.0000062738	9.4005583283E-10	11.600	26.600
6/26/2022	5:19 AM	0.2501887700	98.000	38.010	40.000	0.0000010000	-0.0000637270	5.8230815142E-9	-0.0000062536	1.3930630920E-9	11.600	26.600
6/26/2022	5:20 AM	0.2476743100	98.000	38.000	40.000	0.0000010000	-0.0000637261	5.4627615046E-9	-0.0000062570	4.4721359550E-10	11.600	26.600
6/26/2022	5:20 AM	0.2451598500	98.000	38.000	40.000	0.0000010000	-0.0000637258	6.9329674139E-9	-0.0000062614	6.7008771255E-10	11.600	26.600
6/26/2022	5:21 AM	0.2426453900	98.000	38.010	40.000	0.0000010000	-0.0000637259	6.7456353652E-9	-0.0000062609	6.6368092477E-10	11.600	26.600
6/26/2022	5:22 AM	0.2401309300	91.600	38.000	40.000	0.0000010000	-0.0000637263	1.0424331150E-8	-0.0000062592	6.2179480778E-10	11.600	26.600
6/26/2022	5:23 AM	0.2376164700	91.600	38.010	40.000	0.0000010000	-0.0000637204	6.1243405201E-9	-0.0000062430	9.2364110314E-10	11.600	26.600
6/26/2022	5:23 AM	0.2351020100	91.600	38.000	40.000	0.0000010000	-0.0000637210	4.9085148806E-9	-0.0000062549	1.2562429031E-9	11.600	26.600
6/26/2022	5:24 AM	0.2325875500	91.600	38.010	40.000	0.0000010000	-0.0000637294	4.6600955332E-9	-0.0000062585	5.8309518948E-10	11.500	26.600
6/26/2022	5:25 AM	0.2300730900	91.600	38.000	40.000	0.0000010000	-0.0000637272	7.6611753376E-9	-0.0000062707	1.1149461492E-9	11.500	26.600
6/26/2022	5:25 AM	0.2275586300	91.600	38.000	40.000	0.0000010000	-0.0000636979	6.2082708178E-9	-0.0000062517	8.2958126833E-10	11.500	26.600
6/26/2022	5:26 AM	0.2250441700	91.600	38.010	40.000	0.0000010000	-0.0000636948	6.0306161726E-9	-0.0000062487	6.5632839974E-10	11.500	26.600
6/26/2022	5:27 AM	0.2225297100	91.600	38.000	40.000	0.0000010000	-0.0000636941	4.7314639538E-9	-0.0000062727	2.0066548587E-9	11.500	26.600
6/26/2022	5:27 AM	0.2200152500	91.600	38.000	40.000	0.0000010000	-0.0000636812	6.0612420825E-9	-0.0000062589	3.7742546282E-10	11.500	26.600
6/26/2022	5:28 AM	0.2175007900	91.600	38.000	40.000	0.0000010000	-0.0000637034	4.5038357591E-9	-0.0000062421	1.4741657387E-9	11.500	26.600
6/26/2022	5:29 AM	0.2149863300	91.600	38.000	40.000	0.0000010000	-0.0000637068	3.5590414047E-9	-0.0000062440	1.0066157946E-9	11.500	26.600
6/26/2022	5:30 AM	0.2124718700	91.600	38.000	40.000	0.0000010000	-0.0000637004	2.0851647313E-9	-0.0000062481	5.5259075049E-10	11.500	26.600
6/26/2022	5:30 AM	0.2099574100	91.600	38.000	40.000	0.0000010000	-0.0000637113	7.4984528457E-9	-0.0000062390	2.7075006694E-9	11.500	26.500
6/26/2022	5:31 AM	0.2074429500	91.600	38.000	40.000	0.0000010000	-0.0000637167	7.2644083254E-9	-0.0000062473	6.7925092342E-10	11.500	26.600
6/26/2022	5:32 AM	0.2049284900	91.600	38.000	40.000	0.0000010000	-0.0000637068	4.3731456237E-9	-0.0000062489	6.5372306110E-10	11.500	26.600
6/26/2022	5:33 AM	0.2024140300	91.600	38.000	40.000	0.0000010000	-0.0000637155	4.6575383672E-9	-0.0000061894	6.5592963663E-9	11.500	26.600
6/26/2022	5:33 AM	0.1998995700	91.600	38.000	40.000	0.0000010000	-0.0000636976	7.8049326395E-9	-0.0000062610	5.7416573868E-10	11.500	26.600
6/26/2022	5:34 AM	0.1973851100	91.600	38.000	40.000	0.0000010000	-0.0000637101	4.4583559914E-9	-0.0000062616	5.5259075049E-10	11.500	26.600
6/26/2022	5:35 AM	0.1948706500	91.600	38.000	40.000	0.0000010000	-0.0000637032	4.9908151797E-9	-0.0000062452	3.0955735648E-10	11.500	26.600
6/26/2022	5:35 AM	0.1923561900	91.600	38.000	40.000	0.0000010000	-0.0000613930	6.5156913039E-9	-0.0000060091	5.1515439249E-10	11.500	26.600
6/26/2022	5:36 AM	0.1898417300	91.600	38.000	40.000	0.0000010000	-0.0000613862	5.1565493488E-9	-0.0000060182	1.2990196787E-9	11.500	26.600
6/26/2022	5:37 AM	0.1873272700	91.600	37.990	39.999	0.0000010000	-0.0000613942	8.1118438192E-9	-0.0000060398	1.4453624047E-9	11.500	26.600
6/26/2022	5:38 AM	0.1848128100	91.600	38.000	40.000	0.0000010000	-0.0000613934	8.5339530000E-9	-0.0000060212	1.2657929533E-9	11.500	26.600
6/26/2022	5:38 AM	0.1822983500	91.600	38.000	40.000	0.0000010000	-0.0000613899	8.5951980772E-9	-0.0000060340	7.4833147735E-10	11.500	26.600
6/26/2022	5:39 AM	0.1797838900	91.600	38.000	40.000	0.0000010000	-0.0000613957	5.7443526539E-9	-0.0000060182	8.1723431537E-10	11.500	26.600
6/26/2022	5:40 AM	0.1772694300	91.600	38.000	40.000	0.0000010000	-0.0000613904	4.4581521521E-9	-0.0000060027	1.4212612158E-9	11.500	26.600
6/26/2022	5:40 AM	0.1747549700	91.600	38.000	40.000	0.0000010000	-0.0000613881	8.3593289096E-9	-0.0000060043	2.6239958662E-9	11.500	26.600
6/26/2022	5:41 AM	0.1722405100	91.600	38.000	40.000	0.0000010000	-0.0000613910	4.7004259262E-9	-0.0000060359	1.3295148613E-9	11.500	26.600
6/26/2022	5:42 AM	0.1697260500	91.600	38.000	40.000	0.0000010000	-0.0000613857	8.2014202786E-9	-0.0000060205	4.0000000000E-10	11.500	26.600
6/26/2022	5:43 AM	0.1672115900	91.600	38.000	40.000	0.0000010000	-0.0000614036	7.0805755783E-9	-0.0000060076	1.2108748006E-9	11.500	26.600
6/26/2022	5:43 AM	0.1646971300	91.600	38.000	40.000	0.0000010000	-0.0000613893	7.2278884895E-9	-0.0000060144	1.2650042743E-9	11.500	26.600
6/26/2022	5:44 AM	0.1621826700	91.600	38.000	40.000	0.0000010000	-0.0000613825	4.5775233586E-9	-0.0000059985	1.1824601482E-9	11.400	26.600
6/26/2022	5:45 AM	0.1596682100	91.600	38.000	40.000	0.0000010000	-0.0000613841	4.6312790033E-9	-0.0000060207	6.0850436627E-10	11.400	26.600
6/26/2022	5:45 AM	0.1571537500	91.600	38.000	40.000	0.0000010000	-0.0000613803	8.9591303410E-9	-0.0000060251	5.4649857042E-10	11.400	26.600
6/26/2022	5:46 AM	0.1546392900	91.600	38.000	40.000	0.0000010000	-0.0000613763	5.7655694677E-9	-0.0000060146	1.1070229163E-9	11.400	26.600
6/26/2022	5:47 AM	0.1521248300	91.600	38.000	40.000	0.0000010000	-0.0000613867	4.7985571880E-9	-0.0000060185	3.2247448714E-10	11.400	26.600
6/26/2022	5:48 AM	0.1496103700	91.600	38.000	40.000	0.0000010000	-0.0000613829	6.4165735390E-9	-0.0000060320	9.3186001849E-10	11.400	26.600
6/26/2022	5:48 AM	0.1470959100	91.600	38.000	40.000	0.0000010000	-0.0000613788	5.9726445148E-9	-0.0000060145	1.4881245155E-9	11.400	26.600
6/26/2022	5:49 AM	0.1445814500	91.600	38.000	40.000	0.0000010000	-0.0000613934	5.6963785841E-9	-0.0000060265	1.0154753215E-9	11.400	26.500
6/26/2022	5:50 AM	0.1420669900	91.600	38.000	40.000	0.0000010000	-0.0000613872	4.3349653101E-9	-0.0000060080	9.2364110314E-10	11.400	26.600
6/26/2022	5:50 AM	0.1395525300	91.600	38.000	40.000	0.0000010000	-0.0000613856	4.6488571639E-9	-0.0000060143	1.3053509221E-9	11.400	26.600
6/26/2022	5:51 AM	0.1370380700	91.600	38.000	40.000	0.0000010000	-0.0000613836	3.5678358554E-9	-0.0000060182	3.7416573868E-10	11.400	26.600
6/26/2022	5:52 AM	0.1345236100	91.600	38.000	40.000	0.0000010000	-0.0000613920	4.5840963046E-9	-0.0000060240	4.7863046408E-10	11.400	26.600
6/26/2022	5:52 AM	0.1320091500	91.600	38.000	40.000	0.0000010000	-0.0000613956	8.5791219065E-9	-0.0000060206	1.2104001363E-9	11.400	26.600
6/26/2022	5:53 AM	0.1294946900	91.600	38.000	40.000	0.0000010000	-0.0000613927	2.8853304004E-9	-0.0000060330	2.8238937456E-9	11.400	26.600
6/26/2022	5:54 AM	0.1269802300	91.600	38.000	40.000	0.0000010000	-0.0000613826	5.6711342492E-9	-0.0000060180	3.7416573868E-10	11.400	26.500
6/26/2022	5:54 AM	0.1244657700	91.600	38.010	40.000	0.0000010000	-0.0000613895	6.6460581424E-9	-0.0000060151	1.1509686473E-9	11.400	26.500
6/26/2022	5:55 AM	0.1219513100	91.600	38.000	40.000	0.0000010000	-0.0000613823	5.5516374399E-9	-0.0000060339	8.7732985885E-10	11.400	26.500
6/26/2022	5:56 AM	0.1194368500	91.600	38.000	40.000	0.0000010000	-0.0000613791	4.3435686614E-9	-0.0000060099	1.5331103262E-9	11.400	26.500
6/26/2022	5:57 AM	0.1169223900	91.600	38.000	40.000	0.0000010000	-0.0000613804	6.2021191627E-9	-0.0000060231	3.0955735648E-10	11.400	26.500
6/26/2022	5:57 AM	0.1144079300	91.600	38.000	40.000	0.0000010000	-0.0000613755	7.4084370359E-9	-0.0000060187	7.4295816944E-10	11.400	26.600
6/26/2022	5:58 AM	0.1118934700	91.600	38.000	40.001	0.0000010000	-0.0000613806	5.3173598505E-9	-0.0000059967	1.7315789836E-9	11.400	26.500
6/26/2022	5:59 AM	0.1093790100	91.600	38.000	40.000	0.0000010000	-0.0000613896	6.9549394736E-9	-0.0000060274	1.0000000000E-10	11.400	26.500
6/26/2022	5:59 AM	0.1068645500	91.600	38.000	40.000	0.0000010000	-0.0000613855	6.9807534527E-9	-0.0000059801	4.7106701506E-9	11.300	26.500
6/26/2022	6:00 AM	0.1043500900	91.600	38.000	40.000	0.0000010000	-0.0000613770	6.5412380084E-9	-0.0000060280	8.6988284501E-10	11.300	26.500
6/26/2022	6:01 AM	0.1018356300	91.600	38.000	40.000	0.0000010000	-0.0000613832	5.4201133552E-9	-0.0000060228	1.7548448455E-9	11.300	26.500
6/26/2022	6:02 AM	0.0993211700	91.600	38.000	40.000	0.0000010000	-0.0000613941	6.4880673225E-9	-0.0000060027	1.1209763795E-9	11.300	26.500
6/26/2022	6:02 AM	0.0968067100	91.600	38.000	40.000	0.0000010000	-0.0000613897	6.5014906957E-9	-0.0000060271	4.4203384502E-10	11.300	26.500
6/26/2022	6:03 AM	0.0942922500	91.600	38.000	40.000	0.0000010000	-0.0000613926	2.3556966677E-9	-0.0000060503	2.2403117652E-9	11.300	26.500
6/26/2022	6:04 AM	0.0917777900	91.600	38.000	40.000	0.0000010000	-0.0000613856	6.7051924604E-9	-0.0000060337	9.7358287613E-10	11.300	26.500
6/26/2022	6:04 AM	0.0892633300	91.600	38.000	40.000	0.0000010000	-0.0000614022	5.9506714331E-9	-0.0000060200	2.4494897428E-10	11.300	26.500
6/26/2022	6:05 AM	0.0867488700	91.600	38.000	40.000	0.0000010000	-0.0000613908	5.1870475372E-9	-0.0000060286	8.6163530729E-10	11.300	26.500
6/26/2022	6:06 AM	0.0842344100	91.600	38.000	40.000	0.0000010000	-0.0000613934	9.2069044631E-9	-0.0000060211	2.2247448714E-10	11.300	26.500
