! User Name:	Aditya_Kumar
! Sample Name:	FGT_CPS_FCf120K M8T
! Sample ID:	FGT_CPS_4C
! Date:	10/24/2022	Time:	10:45 PM
! Current Source:	Keithley 224 Current Source
! Voltmeter V1:	Keithley 182 Degital voltmeter
! Voltmeter V2:	Keithley 2182A  NanoVoltmeter
! V1 (volts):	Vxy
! V2 (volts):	Vxx
! Max Field (Tesla):0.600000	! Data points (0_maxT:460.000000	! Average Number:5.000000	
! Comments:	Device was fabricated inside glove box.
! 
! 
! 
! 
! 
Data	Time	Magnetic Field (T)	Helium Level (%)	VTI Temperature (K)	Sample Temparture (K)	Current (A) 	Voltage-1(V)	Std. of V1	Voltage-2 (V)	Std. of V2	VTI  Heater Power (%)	Sample Heater Power (%)
10/24/2022	10:48 PM	-0.3004779700	74.100	2.999	4.999	0.0000010000	0.0000048823	4.3912434886E-9	0.0000506500	0.0000000000E+0	2.400	13.600
10/24/2022	10:49 PM	-0.1998995700	50.500	8.062	10.001	0.0000010000	0.0000048873	7.0939603666E-9	0.0000506500	0.0000000000E+0	0.000	19.600
10/24/2022	10:50 PM	-0.1005784000	50.500	8.107	10.003	0.0000010000	0.0000048955	8.8469959032E-9	0.0000506700	1.2247448714E-8	0.000	19.400
10/24/2022	10:50 PM	0.0000000000	50.500	8.131	10.003	0.0000010000	0.0000048948	4.8515732050E-9	0.0000505600	3.7742546282E-8	0.000	19.300
10/24/2022	10:51 PM	0.0502892000	50.500	8.140	10.001	0.0000010000	0.0000048969	6.7959788120E-9	0.0000506800	1.2247448714E-8	0.000	19.200
10/24/2022	10:52 PM	0.1005784000	50.500	8.151	10.002	0.0000010000	0.0000048994	7.2134921127E-9	0.0000506900	1.0000000000E-8	0.000	19.200
10/24/2022	10:53 PM	0.1056073200	50.500	8.172	10.003	0.0000010000	0.0000048869	4.7264738242E-9	0.0000507000	0.0000000000E+0	0.000	19.100
10/24/2022	10:53 PM	0.1093790100	50.500	8.185	10.004	0.0000010000	0.0000048965	7.2988485850E-9	0.0000504100	8.2764726786E-8	0.000	19.000
10/24/2022	10:54 PM	0.1144079300	50.500	8.205	10.003	0.0000010000	0.0000048987	7.0008784032E-9	0.0000506500	2.4494897428E-8	0.000	19.000
10/24/2022	10:55 PM	0.1194368500	50.500	8.221	10.003	0.0000010000	0.0000048983	7.4049725075E-9	0.0000507000	0.0000000000E+0	0.000	18.900
