! User Name:	Aditya_Kumar
! Sample Name:	FGT_CPS_FCf120K M8T
! Sample ID:	FGT_CPS_4C
! Date:	10/26/2022	Time:	11:49 AM
! Current Source:	Keithley 224 Current Source
! Voltmeter V1:	Keithley 182 Degital voltmeter
! Voltmeter V2:	Keithley 2182A  NanoVoltmeter
! V1 (volts):	Vxy
! V2 (volts):	Vxx
! Max Field (Tesla):0.600000	! Data points (0_maxT:460.000000	! Average Number:5.000000	
! Comments:	Device was fabricated inside glove box.
! 
! 
! 
! 
! 
Data	Time	Magnetic Field (T)	Helium Level (%)	VTI Temperature (K)	Sample Temparture (K)	Current (A) 	Voltage-1(V)	Std. of V1	Voltage-2 (V)	Std. of V2	VTI  Heater Power (%)	Sample Heater Power (%)
10/26/2022	12:09 PM	-0.3004779700	74.100	2.999	4.999	0.0000010000	0.0000047842	3.6672793381E-9	0.0000505700	1.2247448714E-8	2.400	13.600
10/26/2022	12:10 PM	-0.1998995700	57.600	23.010	25.000	0.0000010000	0.0000047700	7.4325128766E-9	0.0000505500	1.6940658945E-21	5.600	35.300
10/26/2022	12:11 PM	-0.1005784000	57.600	23.000	25.000	0.0000010000	0.0000047699	4.8824816886E-9	0.0000505500	1.6940658945E-21	5.600	35.300
10/26/2022	12:12 PM	0.0000000000	57.600	23.000	25.000	0.0000010000	0.0000047732	2.8820983169E-9	0.0000501200	1.4017845769E-7	5.600	35.300
10/26/2022	12:12 PM	0.0502892000	57.600	23.000	25.000	0.0000010000	0.0000047821	4.9733224948E-9	0.0000505100	1.0000000000E-8	5.600	35.300
10/26/2022	12:13 PM	0.1005784000	57.600	23.000	25.000	0.0000010000	0.0000047863	7.6974797202E-9	0.0000505900	1.0000000000E-8	5.600	35.300
10/26/2022	12:14 PM	0.1056073200	57.600	23.000	25.000	0.0000010000	0.0000047720	6.4091105848E-9	0.0000505400	2.9154759474E-8	5.600	35.300
10/26/2022	12:14 PM	0.1093790100	57.600	23.000	25.000	0.0000010000	0.0000047676	7.2901381499E-9	0.0000505700	1.2247448714E-8	5.500	35.300
10/26/2022	12:15 PM	0.1144079300	57.600	23.000	25.001	0.0000010000	0.0000047733	7.5797129046E-9	0.0000505500	2.0000000000E-8	5.500	35.300
10/26/2022	12:16 PM	0.1194368500	57.600	23.000	25.000	0.0000010000	0.0000060730	7.8134389976E-9	0.0000506200	2.0000000000E-8	5.500	35.300
10/26/2022	12:16 PM	0.1244657700	57.600	23.000	25.001	0.0000010000	0.0000060853	4.2107715806E-9	0.0000505400	2.4494897428E-8	5.500	35.300
10/26/2022	12:17 PM	0.1294946900	57.600	23.000	25.000	0.0000010000	0.0000060818	7.1819208296E-9	0.0000505800	1.2247448714E-8	5.500	35.300
10/26/2022	12:18 PM	0.1345236100	57.600	23.000	25.000	0.0000010000	0.0000060881	4.9572082949E-9	0.0000505800	1.2247448714E-8	5.500	35.300
10/26/2022	12:18 PM	0.1395525300	57.600	23.000	25.000	0.0000010000	0.0000060902	6.0733442495E-9	0.0000506000	3.3881317890E-21	5.500	35.300
10/26/2022	12:19 PM	0.1445814500	57.600	23.000	25.000	0.0000010000	0.0000060932	5.2595835317E-9	0.0000504500	3.5355339059E-8	5.500	35.300
10/26/2022	12:20 PM	0.1496103700	57.600	23.000	25.000	0.0000010000	0.0000060723	6.2112717699E-9	0.0000505500	1.6940658945E-21	5.500	35.300
