! User Name:	Aditya_Kumar
! Sample Name:	FGT_CPS_FCf120K P8T
! Sample ID:	FGT_CPS_4C
! Date:	10/17/2022	Time:	1:50 PM
! Current Source:	Keithley 224 Current Source
! Voltmeter V1:	Keithley 182 Degital voltmeter
! Voltmeter V2:	Keithley 2182A  NanoVoltmeter
! V1 (volts):	Vxy
! V2 (volts):	Vxx
! Max Field (Tesla):0.600000	! Data points (0_maxT:460.000000	! Average Number:5.000000	
! Comments:	Device was fabricated inside glove box.
! 
! 
! 
! 
! 
Data	Time	Magnetic Field (T)	Helium Level (%)	VTI Temperature (K)	Sample Temparture (K)	Current (A) 	Voltage-1(V)	Std. of V1	Voltage-2 (V)	Std. of V2	VTI  Heater Power (%)	Sample Heater Power (%)
10/17/2022	2:08 PM	0.3004779700	74.100	2.999	4.999	0.0000010000	-0.0000009817	8.5452377420E-9	0.0000524000	0.0000000000E+0	2.400	13.600
10/17/2022	2:09 PM	0.1998995700	74.100	8.007	10.000	0.0000010000	-0.0000009907	7.5305554146E-9	0.0000523500	1.6940658945E-21	3.500	20.000
10/17/2022	2:10 PM	0.1005784000	74.100	8.010	10.003	0.0000010000	-0.0000009929	1.0756614730E-8	0.0000524200	1.2247448714E-8	3.500	19.900
10/17/2022	2:10 PM	0.0000000000	74.100	8.015	10.003	0.0000010000	-0.0000010013	1.0128280483E-8	0.0000524500	1.6940658945E-21	3.500	19.900
10/17/2022	2:10 PM	-0.0050289200	74.100	8.003	10.002	0.0000010000	-0.0000009975	7.4481116143E-9	0.0000524100	1.0000000000E-8	3.500	19.900
10/17/2022	2:11 PM	-0.0100578400	74.100	7.999	10.000	0.0000010000	-0.0000009965	7.3899673421E-9	0.0000524200	2.2247448714E-8	3.600	20.000
10/17/2022	2:11 PM	-0.0150867600	74.100	8.001	10.000	0.0000010000	-0.0000009849	5.2665988840E-9	0.0000524100	1.0000000000E-8	3.600	20.000
10/17/2022	2:12 PM	-0.0201156800	74.100	7.998	10.000	0.0000010000	-0.0000009949	5.3741949921E-9	0.0000522300	5.8309518948E-8	3.600	20.000
10/17/2022	2:12 PM	-0.0251446000	74.100	7.998	10.000	0.0000010000	-0.0000009998	6.4613431642E-9	0.0000523400	1.0000000000E-8	3.600	19.900
10/17/2022	2:13 PM	-0.0301735200	74.100	8.000	10.000	0.0000010000	-0.0000010020	8.7259710567E-9	0.0000523600	1.0000000000E-8	3.600	20.000
10/17/2022	2:13 PM	-0.0352024400	74.100	8.000	10.000	0.0000010000	-0.0000010012	6.0988296567E-9	0.0000523700	1.2247448714E-8	3.600	20.000
10/17/2022	2:13 PM	-0.0402313600	74.100	8.000	10.000	0.0000010000	-0.0000009953	5.1951220614E-9	0.0000524000	0.0000000000E+0	3.600	20.000
10/17/2022	2:14 PM	-0.0452602800	74.100	8.000	10.001	0.0000010000	-0.0000009980	9.4149867843E-9	0.0000522600	5.8615541191E-8	3.600	19.900
10/17/2022	2:14 PM	-0.0502892000	74.100	8.000	10.000	0.0000010000	-0.0000010053	6.7906987549E-9	0.0000524200	1.2247448714E-8	3.600	20.000
10/17/2022	2:15 PM	-0.0553181200	74.100	7.999	10.000	0.0000010000	-0.0000009828	7.9385393981E-9	0.0000523900	1.0000000000E-8	3.600	20.000
10/17/2022	2:15 PM	-0.0603470400	74.100	8.001	10.001	0.0000010000	-0.0000010009	1.0551362057E-8	0.0000524400	1.0000000000E-8	3.600	19.900
10/17/2022	2:15 PM	-0.0653759600	74.100	8.002	10.000	0.0000010000	-0.0000009844	9.9153445829E-9	0.0000524400	1.0000000000E-8	3.500	19.900
10/17/2022	2:16 PM	-0.0704048800	74.100	7.998	9.999	0.0000010000	-0.0000009880	6.7994658580E-9	0.0000523800	1.2247448714E-8	3.600	19.900
10/17/2022	2:16 PM	-0.0754338000	74.100	8.002	10.000	0.0000010000	-0.0000010010	1.1951010058E-8	0.0000524000	0.0000000000E+0	3.500	19.900
10/17/2022	2:17 PM	-0.0804627200	74.100	7.999	10.000	0.0000010000	-0.0000009853	3.6366867591E-9	0.0000524100	1.0000000000E-8	3.600	19.900
10/17/2022	2:17 PM	-0.0854916400	74.100	7.999	10.001	0.0000010000	-0.0000009979	1.0686315861E-8	0.0000524000	0.0000000000E+0	3.600	19.900
10/17/2022	2:18 PM	-0.0905205600	74.100	8.000	10.000	0.0000010000	-0.0000009979	4.2858666460E-9	0.0000524000	2.4494897428E-8	3.600	19.900
10/17/2022	2:18 PM	-0.0955494800	74.100	8.004	10.000	0.0000010000	-0.0000009993	5.5911292509E-9	0.0000524500	1.5811388301E-8	3.500	20.000
10/17/2022	2:19 PM	-0.1005784000	74.100	8.000	10.000	0.0000010000	-0.0000009973	9.2502264612E-9	0.0000524100	1.0000000000E-8	3.500	19.900
10/17/2022	2:19 PM	-0.1056073200	74.100	8.001	10.000	0.0000010000	-0.0000009889	3.1064499538E-9	0.0000524000	0.0000000000E+0	3.500	19.900
10/17/2022	2:20 PM	-0.1093790100	74.100	7.999	10.000	0.0000010000	-0.0000009941	6.0538521599E-9	0.0000523700	1.2247448714E-8	3.500	19.900
10/17/2022	2:20 PM	-0.1144079300	74.100	8.001	10.000	0.0000010000	-0.0000009958	2.1673117863E-9	0.0000523700	1.2247448714E-8	3.500	19.900
10/17/2022	2:20 PM	-0.1194368500	74.100	8.002	10.001	0.0000010000	-0.0000009892	8.6713426426E-9	0.0000517000	2.2529050142E-7	3.500	19.900
10/17/2022	2:21 PM	-0.1244657700	74.100	8.000	9.999	0.0000010000	-0.0000009925	8.6957761625E-9	0.0000524200	1.2247448714E-8	3.500	19.900
10/17/2022	2:21 PM	-0.1294946900	74.100	8.000	10.001	0.0000010000	-0.0000009993	5.8902840419E-9	0.0000524000	0.0000000000E+0	3.500	19.900
10/17/2022	2:22 PM	-0.1345236100	74.100	8.000	10.000	0.0000010000	0.0000004444	7.2721074453E-9	0.0000523200	1.2247448714E-8	3.500	19.900
10/17/2022	2:22 PM	-0.1395525300	74.100	8.000	10.000	0.0000010000	0.0000004393	4.8336067124E-9	0.0000523700	1.2247448714E-8	3.500	19.900
10/17/2022	2:23 PM	-0.1445814500	74.100	7.997	9.999	0.0000010000	0.0000004512	6.9477298823E-9	0.0000524400	2.2247448714E-8	3.500	19.900
10/17/2022	2:23 PM	-0.1496103700	74.100	8.001	10.001	0.0000010000	0.0000004381	7.5953255984E-9	0.0000523700	1.2247448714E-8	3.500	19.900
10/17/2022	2:23 PM	-0.1546392900	74.100	8.001	10.000	0.0000010000	0.0000004391	5.3316413360E-9	0.0000523500	0.0000000000E+0	3.500	19.900
10/17/2022	2:24 PM	-0.1596682100	74.100	7.999	10.000	0.0000010000	0.0000004345	8.7325107898E-9	0.0000524100	2.2247448714E-8	3.500	19.900
10/17/2022	2:24 PM	-0.1646971300	74.100	8.002	10.000	0.0000010000	0.0000004454	6.0123189981E-9	0.0000524300	2.2247448714E-8	3.500	19.900
10/17/2022	2:25 PM	-0.1697260500	74.100	8.001	10.000	0.0000010000	0.0000004427	6.3691165249E-9	0.0000523800	1.2247448714E-8	3.500	19.900
10/17/2022	2:25 PM	-0.1747549700	74.100	8.000	10.000	0.0000010000	0.0000004418	5.9808207004E-9	0.0000518200	1.7507141400E-7	3.500	19.900
10/17/2022	2:25 PM	-0.1797838900	74.100	8.001	10.001	0.0000010000	0.0000004418	4.2516164542E-9	0.0000524000	2.4494897428E-8	3.500	19.900
10/17/2022	2:26 PM	-0.1848128100	74.100	8.001	10.001	0.0000010000	0.0000004459	6.2838499195E-9	0.0000522100	5.3385391260E-8	3.500	19.900
10/17/2022	2:26 PM	-0.1898417300	74.100	8.002	9.999	0.0000010000	0.0000004411	7.3526892737E-9	0.0000523700	1.2247448714E-8	3.500	19.900
10/17/2022	2:27 PM	-0.1948706500	74.100	8.000	10.001	0.0000010000	0.0000004478	5.1430073508E-9	0.0000524000	0.0000000000E+0	3.500	19.900
10/17/2022	2:27 PM	-0.1998995700	74.100	8.000	10.000	0.0000010000	0.0000004423	5.2478640363E-9	0.0000523700	2.2247448714E-8	3.500	19.900
10/17/2022	2:28 PM	-0.2049284900	74.100	8.000	10.000	0.0000010000	0.0000004510	7.8193116441E-9	0.0000524000	0.0000000000E+0	3.500	19.900
10/17/2022	2:28 PM	-0.2099574100	74.100	7.999	10.000	0.0000010000	0.0000004467	8.4646641102E-9	0.0000524100	1.0000000000E-8	3.500	19.900
10/17/2022	2:29 PM	-0.2149863300	74.100	7.999	10.001	0.0000010000	0.0000004541	8.8583572825E-9	0.0000524000	0.0000000000E+0	3.500	19.900
10/17/2022	2:29 PM	-0.2200152500	74.100	7.999	10.000	0.0000010000	0.0000004528	9.4236666002E-9	0.0000523500	0.0000000000E+0	3.500	19.900
10/17/2022	2:29 PM	-0.2250441700	74.100	7.999	10.001	0.0000010000	0.0000004635	7.3966371445E-9	0.0000523900	1.0000000000E-8	3.500	19.900
10/17/2022	2:30 PM	-0.2300730900	74.100	8.001	10.001	0.0000010000	0.0000004631	1.2105141116E-8	0.0000524000	0.0000000000E+0	3.500	19.900
10/17/2022	2:30 PM	-0.2351020100	74.100	8.000	10.000	0.0000010000	0.0000004469	1.2446058613E-8	0.0000524200	1.2247448714E-8	3.500	19.900
10/17/2022	2:31 PM	-0.2401309300	74.100	7.997	10.000	0.0000010000	0.0000004497	9.8642494120E-9	0.0000523500	0.0000000000E+0	3.500	19.900
10/17/2022	2:31 PM	-0.2451598500	74.100	8.003	9.999	0.0000010000	0.0000004557	1.1198546709E-8	0.0000524000	0.0000000000E+0	3.500	19.900
10/17/2022	2:32 PM	-0.2501887700	74.100	8.001	10.000	0.0000010000	0.0000004548	8.0418830014E-9	0.0000523800	1.2247448714E-8	3.500	19.900
10/17/2022	2:32 PM	-0.2552176900	74.100	7.995	10.000	0.0000010000	0.0000004533	5.9294693125E-9	0.0000523800	1.2247448714E-8	3.500	19.900
10/17/2022	2:33 PM	-0.2602466100	74.100	7.994	9.999	0.0000010000	0.0000004617	8.0551641826E-9	0.0000523500	1.5811388301E-8	3.500	19.900
10/17/2022	2:33 PM	-0.2652755300	74.100	7.997	9.999	0.0000010000	0.0000004674	9.7034064625E-9	0.0000524000	0.0000000000E+0	3.500	19.900
10/17/2022	2:33 PM	-0.2703044500	74.100	8.002	10.000	0.0000010000	0.0000004691	3.9006993123E-9	0.0000524000	0.0000000000E+0	3.500	19.800
10/17/2022	2:34 PM	-0.2753333700	74.100	8.000	10.000	0.0000010000	0.0000004675	5.3148976913E-9	0.0000524200	1.2247448714E-8	3.500	19.900
10/17/2022	2:34 PM	-0.2803622900	74.100	7.993	10.000	0.0000010000	0.0000004603	6.8399138639E-9	0.0000523700	1.2247448714E-8	3.500	19.900
10/17/2022	2:35 PM	-0.2853912100	74.100	8.003	10.000	0.0000010000	0.0000004621	5.8940979861E-9	0.0000524300	1.2247448714E-8	3.500	19.800
10/17/2022	2:35 PM	-0.2904201300	74.100	7.999	10.001	0.0000010000	0.0000004660	5.3930257777E-9	0.0000524100	1.0000000000E-8	3.500	19.800
10/17/2022	2:36 PM	-0.2954490500	74.100	8.001	10.000	0.0000010000	0.0000004631	7.4569691864E-9	0.0000521900	6.4031242374E-8	3.500	19.800
10/17/2022	2:36 PM	-0.3004779700	74.100	8.000	10.000	0.0000010000	0.0000004620	6.2467334116E-9	0.0000523600	1.0000000000E-8	3.500	19.800
10/17/2022	2:37 PM	-0.3004779700	74.100	7.999	10.001	0.0000010000	0.0000004740	7.0767410744E-9	0.0000523800	1.2247448714E-8	3.500	19.800
10/17/2022	2:37 PM	-0.1998995700	74.100	8.000	10.000	0.0000010000	0.0000004714	4.5413548416E-9	0.0000524000	0.0000000000E+0	3.500	19.900
10/17/2022	2:38 PM	-0.1005784000	74.100	8.002	10.001	0.0000010000	0.0000004770	1.1877103190E-8	0.0000524000	0.0000000000E+0	3.500	19.800
10/17/2022	2:38 PM	-0.0502892000	74.100	8.015	10.003	0.0000010000	0.0000004900	1.2350501963E-8	0.0000523500	2.0000000000E-8	3.400	19.800
10/17/2022	2:39 PM	-0.0452602800	74.100	8.003	10.000	0.0000010000	0.0000004734	4.1804426627E-9	0.0000524000	0.0000000000E+0	3.500	19.800
10/17/2022	2:39 PM	-0.0402313600	74.100	8.003	10.000	0.0000010000	0.0000004680	1.2355251526E-8	0.0000523600	2.2247448714E-8	3.500	19.800
10/17/2022	2:39 PM	-0.0352024400	74.100	7.999	10.000	0.0000010000	0.0000004773	8.1625496068E-9	0.0000521900	5.8615541191E-8	3.500	19.800
10/17/2022	2:40 PM	-0.0301735200	74.100	8.001	10.000	0.0000010000	0.0000004772	8.5018575799E-9	0.0000523900	2.2247448714E-8	3.500	19.800
10/17/2022	2:40 PM	-0.0251446000	74.100	8.000	10.000	0.0000010000	0.0000004726	5.1209449518E-9	0.0000523800	1.2247448714E-8	3.500	19.900
