! User Name:	Aditya_Kumar
! Sample Name:	FGT_CPS_FCf120K P8T
! Sample ID:	FGT_CPS_4C
! Date:	10/19/2022	Time:	7:32 AM
! Current Source:	Keithley 224 Current Source
! Voltmeter V1:	Keithley 182 Degital voltmeter
! Voltmeter V2:	Keithley 2182A  NanoVoltmeter
! V1 (volts):	Vxy
! V2 (volts):	Vxx
! Max Field (Tesla):0.600000	! Data points (0_maxT:460.000000	! Average Number:5.000000	
! Comments:	Device was fabricated inside glove box.
! 
! 
! 
! 
! 
Data	Time	Magnetic Field (T)	Helium Level (%)	VTI Temperature (K)	Sample Temparture (K)	Current (A) 	Voltage-1(V)	Std. of V1	Voltage-2 (V)	Std. of V2	VTI  Heater Power (%)	Sample Heater Power (%)
10/19/2022	7:41 AM	0.3004779700	74.100	2.999	4.999	0.0000010000	-0.0000007248	8.8004501268E-9	0.0000520000	3.3881317890E-21	2.400	13.600
10/19/2022	7:42 AM	0.1998995700	74.100	28.010	30.001	0.0000010000	-0.0000007188	9.6344964079E-9	0.0000519500	3.5355339059E-8	5.700	33.500
10/19/2022	7:42 AM	0.1005784000	74.100	28.000	30.000	0.0000010000	-0.0000007258	9.5216910535E-9	0.0000520000	3.3881317890E-21	5.800	33.500
10/19/2022	7:42 AM	0.0000000000	74.100	28.000	30.000	0.0000010000	-0.0000007240	9.9282623040E-9	0.0000520600	1.0000000000E-8	5.800	33.500
10/19/2022	7:43 AM	-0.0050289200	74.100	28.000	30.000	0.0000010000	-0.0000007175	7.3773893089E-9	0.0000520600	1.0000000000E-8	5.800	33.500
10/19/2022	7:43 AM	-0.0100578400	74.100	28.000	30.000	0.0000010000	-0.0000007201	5.4279277187E-9	0.0000520200	1.2247448714E-8	5.700	33.500
10/19/2022	7:44 AM	-0.0150867600	74.100	28.000	29.999	0.0000010000	-0.0000007242	5.6304906604E-9	0.0000520400	1.0000000000E-8	5.800	33.500
10/19/2022	7:44 AM	-0.0201156800	74.100	28.000	30.000	0.0000010000	-0.0000007206	4.0843778521E-9	0.0000520000	3.3881317890E-21	5.800	33.500
10/19/2022	7:45 AM	-0.0251446000	74.100	28.000	30.000	0.0000010000	-0.0000007199	7.1196660397E-9	0.0000519900	1.0000000000E-8	5.800	33.500
10/19/2022	7:45 AM	-0.0301735200	74.100	28.000	30.000	0.0000010000	-0.0000007238	7.0076092486E-9	0.0000520000	2.0000000000E-8	5.800	33.500
10/19/2022	7:45 AM	-0.0352024400	74.100	28.000	30.000	0.0000010000	-0.0000007163	4.3829746285E-9	0.0000520900	1.0000000000E-8	5.800	33.500
10/19/2022	7:46 AM	-0.0402313600	74.100	28.000	30.000	0.0000010000	-0.0000007178	5.3482733750E-9	0.0000520300	2.2247448714E-8	5.800	33.500
10/19/2022	7:46 AM	-0.0452602800	74.100	28.000	30.000	0.0000010000	-0.0000007261	5.4915488854E-9	0.0000520200	2.2247448714E-8	5.800	33.500
10/19/2022	7:47 AM	-0.0502892000	74.100	28.000	30.000	0.0000010000	-0.0000007215	4.3470594161E-9	0.0000518000	6.5192024052E-8	5.800	33.500
10/19/2022	7:47 AM	-0.0553181200	74.100	28.000	30.000	0.0000010000	-0.0000007227	5.7447057547E-9	0.0000520800	1.2247448714E-8	5.800	33.500
10/19/2022	7:48 AM	-0.0603470400	74.100	28.000	30.000	0.0000010000	-0.0000007179	5.5274814034E-9	0.0000518200	7.8190908485E-8	5.800	33.500
10/19/2022	7:48 AM	-0.0653759600	74.100	28.000	30.000	0.0000010000	-0.0000007275	5.5383169840E-9	0.0000520800	1.2247448714E-8	5.700	33.500
10/19/2022	7:49 AM	-0.0704048800	74.100	28.000	30.000	0.0000010000	-0.0000007265	8.7391614163E-9	0.0000520000	3.3881317890E-21	5.700	33.500
10/19/2022	7:49 AM	-0.0754338000	74.100	28.000	30.000	0.0000010000	-0.0000007174	7.6332921778E-9	0.0000517500	8.7413930606E-8	5.700	33.500
10/19/2022	7:50 AM	-0.0804627200	74.100	28.000	30.000	0.0000010000	-0.0000007169	4.9899276482E-9	0.0000520300	1.2247448714E-8	5.800	33.500
10/19/2022	7:50 AM	-0.0854916400	74.100	28.000	30.000	0.0000010000	-0.0000007162	4.5583910343E-9	0.0000520300	1.2247448714E-8	5.700	33.500
10/19/2022	7:50 AM	-0.0905205600	74.100	28.000	30.000	0.0000010000	-0.0000007195	6.1188574942E-9	0.0000520400	1.0000000000E-8	5.700	33.500
10/19/2022	7:51 AM	-0.0955494800	74.100	28.000	30.000	0.0000010000	-0.0000007205	7.0243499502E-9	0.0000520500	2.4494897428E-8	5.700	33.500
10/19/2022	7:51 AM	-0.1005784000	74.100	28.000	30.000	0.0000010000	-0.0000007240	6.2739736157E-9	0.0000520000	3.3881317890E-21	5.700	33.500
10/19/2022	7:52 AM	-0.1056073200	74.100	28.000	29.999	0.0000010000	-0.0000007284	6.1714109387E-9	0.0000520600	1.0000000000E-8	5.700	33.500
10/19/2022	7:52 AM	-0.1093790100	74.100	28.000	30.000	0.0000010000	-0.0000007229	6.8319427188E-9	0.0000520000	3.3881317890E-21	5.700	33.500
10/19/2022	7:52 AM	-0.1144079300	74.100	28.000	30.000	0.0000010000	-0.0000007235	6.9362165049E-9	0.0000520500	3.3881317890E-21	5.700	33.500
10/19/2022	7:53 AM	-0.1194368500	74.100	28.000	30.000	0.0000010000	0.0000005280	1.4170271881E-7	0.0000520400	2.2247448714E-8	5.700	33.500
10/19/2022	7:53 AM	-0.1244657700	74.100	28.000	30.000	0.0000010000	0.0000006791	7.3697791678E-9	0.0000520500	3.3881317890E-21	5.700	33.600
10/19/2022	7:54 AM	-0.1294946900	74.100	28.000	30.000	0.0000010000	0.0000006753	8.4470248531E-9	0.0000520500	3.3881317890E-21	5.700	33.500
10/19/2022	7:54 AM	-0.1345236100	74.100	28.000	30.000	0.0000010000	0.0000006665	8.6090715742E-9	0.0000520800	2.2247448714E-8	5.700	33.500
10/19/2022	7:55 AM	-0.1395525300	74.100	28.000	30.000	0.0000010000	0.0000006724	8.4130660555E-9	0.0000520500	3.3881317890E-21	5.700	33.500
10/19/2022	7:55 AM	-0.1445814500	74.100	28.000	30.000	0.0000010000	0.0000006712	6.1622180559E-9	0.0000520500	2.0000000000E-8	5.700	33.500
10/19/2022	7:55 AM	-0.1496103700	74.100	28.000	30.000	0.0000010000	0.0000006664	6.6858295017E-9	0.0000520500	3.3881317890E-21	5.700	33.500
10/19/2022	7:56 AM	-0.1546392900	74.100	28.000	30.000	0.0000010000	0.0000006674	9.3733010737E-9	0.0000520300	1.2247448714E-8	5.700	33.500
10/19/2022	7:56 AM	-0.1596682100	74.100	28.000	30.000	0.0000010000	0.0000006646	5.6600277404E-9	0.0000520000	3.3881317890E-21	5.700	33.500
10/19/2022	7:57 AM	-0.1646971300	74.100	28.000	30.000	0.0000010000	0.0000006581	7.0804893759E-9	0.0000520200	1.2247448714E-8	5.700	33.500
10/19/2022	7:57 AM	-0.1697260500	74.100	28.000	30.000	0.0000010000	0.0000006656	1.0257838511E-8	0.0000520300	1.2247448714E-8	5.700	33.500
10/19/2022	7:58 AM	-0.1747549700	74.100	28.000	30.000	0.0000010000	0.0000006660	5.0708791967E-9	0.0000514900	1.4611639196E-7	5.700	33.500
10/19/2022	7:58 AM	-0.1797838900	74.100	28.000	30.000	0.0000010000	0.0000006670	5.0395128760E-9	0.0000520700	1.2247448714E-8	5.700	33.600
10/19/2022	7:58 AM	-0.1848128100	74.100	28.000	30.000	0.0000010000	0.0000006688	6.5311470357E-9	0.0000519400	2.9154759474E-8	5.700	33.500
10/19/2022	7:59 AM	-0.1898417300	74.100	28.000	30.000	0.0000010000	0.0000006661	7.1824279893E-9	0.0000520500	3.3881317890E-21	5.700	33.500
10/19/2022	7:59 AM	-0.1948706500	74.100	28.000	30.000	0.0000010000	0.0000006686	4.7994038994E-9	0.0000520000	3.3881317890E-21	5.700	33.500
10/19/2022	8:00 AM	-0.1998995700	74.100	28.000	30.000	0.0000010000	0.0000006704	7.7770655271E-9	0.0000520600	1.0000000000E-8	5.700	33.500
10/19/2022	8:00 AM	-0.2049284900	74.100	28.000	30.000	0.0000010000	0.0000006763	5.6787915276E-9	0.0000520100	1.0000000000E-8	5.700	33.500
10/19/2022	8:01 AM	-0.2099574100	74.100	28.000	30.000	0.0000010000	0.0000006698	6.2878410642E-9	0.0000520100	1.0000000000E-8	5.700	33.500
