! User Name:	Aditya_Kumar
! Sample Name:	FGT_CPS_FCP8T_f120K
! Sample ID:	FGT_CPS_4C
! Date:	10/15/2022	Time:	4:35 AM
! Current Source:	Keithley 224 Current Source
! Voltmeter V1:	Keithley 182 Degital voltmeter
! Voltmeter V2:	Keithley 2182A  NanoVoltmeter
! V1 (volts):	Vxy
! V2 (volts):	Vxx
! Max Field (Tesla):0.600000	! Data points (0_maxT:460.000000	! Average Number:5.000000	
! Comments:	Device was fabricated inside glove box.
! 
! 
! 
! 
! 
Data	Time	Magnetic Field (T)	Helium Level (%)	VTI Temperature (K)	Sample Temparture (K)	Current (A) 	Voltage-1(V)	Std. of V1	Voltage-2 (V)	Std. of V2	VTI  Heater Power (%)	Sample Heater Power (%)
10/15/2022	4:37 AM	0.2501887700	74.100	2.999	4.999	0.0000010000	-0.0000013074	6.2890842710E-9	0.0000524400	2.4494897428E-8	2.400	13.600
10/15/2022	4:38 AM	0.2451598500	74.100	38.010	40.000	0.0000010000	-0.0000013196	4.5080820307E-9	0.0000524500	0.0000000000E+0	5.800	26.400
10/15/2022	4:38 AM	0.2401309300	74.100	38.000	40.000	0.0000010000	-0.0000013085	4.2560077042E-9	0.0000522600	5.3385391260E-8	5.800	26.400
10/15/2022	4:39 AM	0.2351020100	74.100	38.000	40.000	0.0000010000	-0.0000013179	3.6905151839E-9	0.0000525100	2.2247448714E-8	5.800	26.400
10/15/2022	4:39 AM	0.2300730900	74.100	38.000	40.000	0.0000010000	-0.0000013145	7.7906523285E-9	0.0000524500	0.0000000000E+0	5.800	26.400
10/15/2022	4:40 AM	0.2250441700	74.100	38.000	40.000	0.0000010000	-0.0000013214	8.1439452498E-9	0.0000524500	0.0000000000E+0	5.800	26.400
10/15/2022	4:40 AM	0.2200152500	74.100	38.000	40.000	0.0000010000	-0.0000013141	7.8391333548E-9	0.0000524700	1.2247448714E-8	5.800	26.400
10/15/2022	4:41 AM	0.2149863300	74.100	38.000	40.000	0.0000010000	-0.0000013149	5.5731865223E-9	0.0000524500	2.0000000000E-8	5.800	26.400
10/15/2022	4:41 AM	0.2099574100	74.100	38.000	40.000	0.0000010000	-0.0000013248	7.2510061309E-9	0.0000525000	2.4494897428E-8	5.800	26.400
10/15/2022	4:42 AM	0.2049284900	74.100	38.000	40.000	0.0000010000	-0.0000013065	6.8124327872E-9	0.0000524500	0.0000000000E+0	5.800	26.400
