! User Name:	Aditya_Kumar
! Sample Name:	FGT_CPS_ZFCf120K_FC_P8T
! Sample ID:	FGT_CPS_4C
! Date:	11/4/2022	Time:	10:19 AM
! Current Source:	Keithley 224 Current Source
! Voltmeter V1:	Keithley 182 Degital voltmeter
! Voltmeter V2:	Keithley 2182A  NanoVoltmeter
! V1 (volts):	Vxy
! V2 (volts):	Vxx
! Max Field (Tesla):0.600000	! Data points (0_maxT:460.000000	! Average Number:5.000000	
! Comments:	Device was fabricated inside glove box.
! 
! 
! 
! 
! 
Data	Time	Magnetic Field (T)	Helium Level (%)	VTI Temperature (K)	Sample Temparture (K)	Current (A) 	Voltage-1(V)	Std. of V1	Voltage-2 (V)	Std. of V2	VTI  Heater Power (%)	Sample Heater Power (%)
11/4/2022	10:21 AM	0.3004779700	74.100	2.999	4.999	0.0000010000	0.0000059947	8.6051921983E-9	0.0000505500	1.6940658945E-21	2.400	13.600
11/4/2022	10:22 AM	0.1998995700	74.100	17.997	20.000	0.0000010000	0.0000059872	6.1715624810E-9	0.0000505200	2.8058837015E-8	5.300	32.200
11/4/2022	10:22 AM	0.1005784000	74.100	17.998	20.001	0.0000010000	0.0000059954	8.5169081573E-9	0.0000504800	1.2247448714E-8	5.300	32.200
11/4/2022	10:23 AM	0.0000000000	74.100	17.996	20.001	0.0000010000	0.0000059898	4.8533560409E-9	0.0000504800	2.5495097568E-8	5.300	32.200
11/4/2022	10:23 AM	-0.0502892000	74.100	17.997	20.000	0.0000010000	0.0000059937	7.9882714514E-9	0.0000504400	2.9154759474E-8	5.300	32.200
11/4/2022	10:23 AM	-0.1005784000	74.100	17.996	19.999	0.0000010000	0.0000059953	6.9504737771E-9	0.0000505000	2.4494897428E-8	5.300	32.200
11/4/2022	10:24 AM	-0.1056073200	74.100	17.999	20.000	0.0000010000	0.0000060007	5.9695925369E-9	0.0000505500	3.3881317890E-21	5.300	32.200
11/4/2022	10:24 AM	-0.1093790100	74.100	17.998	20.000	0.0000010000	0.0000059858	4.6787932246E-9	0.0000505500	3.3881317890E-21	5.300	32.200
11/4/2022	10:25 AM	-0.1144079300	74.100	17.998	20.000	0.0000010000	0.0000059870	5.3519564954E-9	0.0000505700	2.2247448714E-8	5.300	32.200
11/4/2022	10:25 AM	-0.1194368500	74.100	17.998	20.000	0.0000010000	0.0000059902	5.5480608437E-9	0.0000505300	2.0000000000E-8	5.300	32.200
