! User Name:	Aditya_Kumar
! Sample Name:	FGT_CPS_FCf120K M8T
! Sample ID:	FGT_CPS_4C
! Date:	10/26/2022	Time:	9:13 PM
! Current Source:	Keithley 224 Current Source
! Voltmeter V1:	Keithley 182 Degital voltmeter
! Voltmeter V2:	Keithley 2182A  NanoVoltmeter
! V1 (volts):	Vxy
! V2 (volts):	Vxx
! Max Field (Tesla):0.600000	! Data points (0_maxT:460.000000	! Average Number:5.000000	
! Comments:	Device was fabricated inside glove box.
! 
! 
! 
! 
! 
Data	Time	Magnetic Field (T)	Helium Level (%)	VTI Temperature (K)	Sample Temparture (K)	Current (A) 	Voltage-1(V)	Std. of V1	Voltage-2 (V)	Std. of V2	VTI  Heater Power (%)	Sample Heater Power (%)
10/26/2022	9:15 PM	-0.3004779700	74.100	2.999	4.999	0.0000010000	0.0000047881	5.1483476377E-9	0.0000507200	2.2247448714E-8	2.400	13.600
10/26/2022	9:16 PM	-0.1998995700	38.700	28.010	30.003	0.0000010000	0.0000047857	4.9514932150E-9	0.0000506200	2.5495097568E-8	5.700	38.300
10/26/2022	9:17 PM	-0.1005784000	38.700	28.010	30.001	0.0000010000	0.0000047940	6.0714633670E-9	0.0000507100	1.0000000000E-8	5.700	38.200
10/26/2022	9:18 PM	0.0000000000	38.700	28.010	30.000	0.0000010000	0.0000047972	4.8055725860E-9	0.0000507500	1.6940658945E-21	5.700	38.200
10/26/2022	9:18 PM	0.0502892000	38.700	28.010	30.000	0.0000010000	0.0000047968	6.7171336733E-9	0.0000499600	2.3420076857E-7	5.700	38.200
10/26/2022	9:19 PM	0.1005784000	38.700	28.010	30.000	0.0000010000	0.0000047943	2.9707514476E-9	0.0000507000	1.6940658945E-21	5.700	38.300
10/26/2022	9:20 PM	0.1056073200	38.700	28.010	30.000	0.0000010000	0.0000061038	8.8413964716E-9	0.0000507100	1.0000000000E-8	5.700	38.300
10/26/2022	9:20 PM	0.1093790100	38.700	28.010	30.000	0.0000010000	0.0000061005	8.0205680825E-9	0.0000506900	2.2247448714E-8	5.700	38.300
10/26/2022	9:21 PM	0.1144079300	38.700	28.010	30.000	0.0000010000	0.0000061124	4.7335048537E-9	0.0000507000	2.4494897428E-8	5.600	38.300
10/26/2022	9:22 PM	0.1194368500	38.700	28.010	30.000	0.0000010000	0.0000061126	5.2062619973E-9	0.0000506800	1.2247448714E-8	5.600	38.300
10/26/2022	9:23 PM	0.1244657700	38.700	28.000	30.000	0.0000010000	0.0000061085	3.5756946919E-9	0.0000507200	2.2247448714E-8	5.600	38.300
10/26/2022	9:23 PM	0.1294946900	38.200	28.000	30.000	0.0000010000	0.0000061060	3.8907506275E-9	0.0000507500	1.6940658945E-21	5.600	38.300
10/26/2022	9:24 PM	0.1345236100	38.200	28.000	30.000	0.0000010000	0.0000061124	4.2260128742E-9	0.0000506600	1.0000000000E-8	5.600	38.300
10/26/2022	9:25 PM	0.1395525300	38.200	28.000	30.000	0.0000010000	0.0000061123	5.8182024210E-9	0.0000507300	1.2247448714E-8	5.600	38.300
10/26/2022	9:25 PM	0.1445814500	38.200	28.000	30.000	0.0000010000	0.0000061064	4.3211425909E-9	0.0000507500	1.6940658945E-21	5.600	38.300
10/26/2022	9:26 PM	0.1496103700	38.200	28.000	30.000	0.0000010000	0.0000061126	6.5701008332E-9	0.0000507000	1.6940658945E-21	5.600	38.300
10/26/2022	9:27 PM	0.1546392900	38.200	28.000	30.000	0.0000010000	0.0000061084	6.0962740956E-9	0.0000507000	1.6940658945E-21	5.600	38.300
10/26/2022	9:27 PM	0.1596682100	38.200	28.000	30.000	0.0000010000	0.0000061164	6.2586295223E-9	0.0000507400	1.0000000000E-8	5.600	38.300
10/26/2022	9:28 PM	0.1646971300	38.200	28.000	30.000	0.0000010000	0.0000061167	3.2466209857E-9	0.0000507100	1.0000000000E-8	5.600	38.300
10/26/2022	9:29 PM	0.1697260500	38.200	28.000	30.000	0.0000010000	0.0000061087	6.1376204876E-9	0.0000507200	1.2247448714E-8	5.600	38.300
10/26/2022	9:29 PM	0.1747549700	38.200	28.000	30.000	0.0000010000	0.0000061121	4.6353534453E-9	0.0000506800	1.2247448714E-8	5.600	38.300
10/26/2022	9:30 PM	0.1797838900	38.200	28.000	30.000	0.0000010000	0.0000061203	6.9684394302E-9	0.0000507400	1.0000000000E-8	5.600	38.300
10/26/2022	9:31 PM	0.1848128100	38.200	28.000	30.000	0.0000010000	0.0000061118	3.1381793838E-9	0.0000506900	1.0000000000E-8	5.600	38.300
