! User Name:	Aditya_Kumar
! Sample Name:	FGT_CPS_FCf120K P8T
! Sample ID:	FGT_CPS_4C
! Date:	10/20/2022	Time:	8:06 AM
! Current Source:	Keithley 224 Current Source
! Voltmeter V1:	Keithley 182 Degital voltmeter
! Voltmeter V2:	Keithley 2182A  NanoVoltmeter
! V1 (volts):	Vxy
! V2 (volts):	Vxx
! Max Field (Tesla):0.600000	! Data points (0_maxT:460.000000	! Average Number:5.000000	
! Comments:	Device was fabricated inside glove box.
! 
! 
! 
! 
! 
Data	Time	Magnetic Field (T)	Helium Level (%)	VTI Temperature (K)	Sample Temparture (K)	Current (A) 	Voltage-1(V)	Std. of V1	Voltage-2 (V)	Std. of V2	VTI  Heater Power (%)	Sample Heater Power (%)
10/20/2022	8:14 AM	0.3004779700	74.100	2.999	4.999	0.0000010000	-0.0000007650	3.8947944537E-9	0.0000524000	0.0000000000E+0	2.400	13.600
10/20/2022	8:16 AM	0.1998995700	74.100	3.643	4.994	0.0000010000	-0.0000007731	4.5511756929E-9	0.0000522800	5.9681613616E-8	0.000	10.000
10/20/2022	8:17 AM	0.1005784000	74.100	3.691	5.005	0.0000010000	-0.0000007742	9.1602806202E-9	0.0000521700	7.5166481892E-8	0.000	10.100
10/20/2022	8:17 AM	0.0000000000	74.100	3.681	5.005	0.0000010000	-0.0000007682	9.0286763764E-9	0.0000524200	2.0000000000E-8	0.000	10.000
10/20/2022	8:18 AM	-0.0502892000	74.100	3.689	5.005	0.0000010000	-0.0000007982	1.6938326076E-8	0.0000525100	2.4494897428E-8	0.000	10.000
10/20/2022	8:18 AM	-0.1005784000	74.100	3.635	5.001	0.0000010000	-0.0000008000	1.7416326422E-8	0.0000524500	0.0000000000E+0	0.000	10.200
10/20/2022	8:19 AM	-0.1056073200	74.100	3.629	5.001	0.0000010000	-0.0000007768	3.9319314334E-9	0.0000524000	0.0000000000E+0	0.000	10.200
10/20/2022	8:20 AM	-0.1093790100	74.100	3.628	5.000	0.0000010000	-0.0000007664	6.8577004334E-9	0.0000524100	1.0000000000E-8	0.000	10.400
10/20/2022	8:20 AM	-0.1144079300	74.100	3.624	4.998	0.0000010000	-0.0000007709	6.5274555742E-9	0.0000524400	2.2247448714E-8	0.000	10.500
10/20/2022	8:20 AM	-0.1194368500	74.100	3.612	5.000	0.0000010000	-0.0000007703	4.7114623109E-9	0.0000524500	0.0000000000E+0	0.000	10.400
10/20/2022	8:21 AM	-0.1244657700	74.100	3.624	5.000	0.0000010000	-0.0000007756	9.6451707113E-9	0.0000524000	0.0000000000E+0	0.000	10.400
10/20/2022	8:21 AM	-0.1294946900	74.100	3.611	5.000	0.0000010000	-0.0000007762	7.2040948802E-9	0.0000524000	0.0000000000E+0	0.000	10.300
10/20/2022	8:22 AM	-0.1345236100	74.100	3.609	5.000	0.0000010000	-0.0000007701	6.8490079515E-9	0.0000524600	1.0000000000E-8	0.000	10.400
10/20/2022	8:22 AM	-0.1395525300	74.100	3.606	4.999	0.0000010000	-0.0000007770	7.3532291832E-9	0.0000525000	2.4494897428E-8	0.000	10.300
10/20/2022	8:22 AM	-0.1445814500	74.100	3.597	4.998	0.0000010000	-0.0000007696	3.9663762971E-9	0.0000525200	2.0000000000E-8	0.000	10.400
10/20/2022	8:23 AM	-0.1496103700	74.100	3.606	5.001	0.0000010000	-0.0000007747	5.8301197565E-9	0.0000524000	0.0000000000E+0	0.000	10.300
10/20/2022	8:23 AM	-0.1546392900	74.100	3.602	4.999	0.0000010000	-0.0000007724	5.5931110446E-9	0.0000524700	2.8058837015E-8	0.000	10.400
10/20/2022	8:24 AM	-0.1596682100	74.100	3.594	5.000	0.0000010000	-0.0000007696	5.9085654681E-9	0.0000524300	2.0000000000E-8	0.000	10.400
10/20/2022	8:24 AM	-0.1646971300	74.100	3.592	5.000	0.0000010000	0.0000006861	6.9527889831E-9	0.0000522400	6.7008771255E-8	0.000	10.400
10/20/2022	8:25 AM	-0.1697260500	74.100	3.586	5.001	0.0000010000	0.0000006887	7.1552585739E-9	0.0000524500	0.0000000000E+0	0.000	10.400
10/20/2022	8:25 AM	-0.1747549700	74.100	3.580	5.000	0.0000010000	0.0000006915	7.0538802003E-9	0.0000524000	0.0000000000E+0	0.000	10.400
10/20/2022	8:25 AM	-0.1797838900	74.100	3.577	4.998	0.0000010000	0.0000006833	7.9133105529E-9	0.0000524500	0.0000000000E+0	0.000	10.500
10/20/2022	8:26 AM	-0.1848128100	74.100	3.584	5.000	0.0000010000	0.0000006827	4.7508692581E-9	0.0000524500	0.0000000000E+0	0.000	10.500
10/20/2022	8:26 AM	-0.1898417300	74.100	3.570	5.000	0.0000010000	0.0000006902	2.8891739246E-9	0.0000524300	1.2247448714E-8	0.000	10.500
10/20/2022	8:27 AM	-0.1948706500	74.100	3.581	5.001	0.0000010000	0.0000006999	9.6234534296E-9	0.0000524200	1.2247448714E-8	0.000	10.400
10/20/2022	8:27 AM	-0.1998995700	74.100	3.587	5.001	0.0000010000	0.0000006974	4.8176154203E-9	0.0000523800	1.2247448714E-8	0.000	10.400
10/20/2022	8:28 AM	-0.2049284900	74.100	3.573	5.000	0.0000010000	0.0000007066	5.4043559478E-9	0.0000524000	0.0000000000E+0	0.000	10.500
10/20/2022	8:28 AM	-0.2099574100	74.100	3.575	4.999	0.0000010000	0.0000007114	9.0656726793E-9	0.0000524500	2.0000000000E-8	0.000	10.400
10/20/2022	8:29 AM	-0.2149863300	74.100	3.570	5.001	0.0000010000	0.0000007009	4.7074743314E-9	0.0000524600	2.4494897428E-8	0.000	10.500
10/20/2022	8:29 AM	-0.2200152500	74.100	3.569	5.001	0.0000010000	0.0000007044	4.6409623942E-9	0.0000524800	1.2247448714E-8	0.000	10.500
10/20/2022	8:29 AM	-0.2250441700	74.100	3.571	5.000	0.0000010000	0.0000007007	5.8965754645E-9	0.0000524500	0.0000000000E+0	0.000	10.400
10/20/2022	8:30 AM	-0.2300730900	74.100	3.560	5.000	0.0000010000	0.0000006990	3.3326982667E-9	0.0000524300	2.0000000000E-8	0.000	10.400
10/20/2022	8:30 AM	-0.2351020100	74.100	3.565	5.000	0.0000010000	0.0000007023	4.1518016735E-9	0.0000523800	1.2247448714E-8	0.000	10.500
10/20/2022	8:31 AM	-0.2401309300	74.100	3.542	4.998	0.0000010000	0.0000007087	5.2379138053E-9	0.0000524500	0.0000000000E+0	0.000	10.500
10/20/2022	8:31 AM	-0.2451598500	74.100	3.545	4.998	0.0000010000	0.0000007022	4.8184878345E-9	0.0000524800	1.2247448714E-8	0.000	10.500
10/20/2022	8:32 AM	-0.2501887700	74.100	3.552	4.999	0.0000010000	0.0000007101	4.0343662355E-9	0.0000524000	0.0000000000E+0	0.000	10.600
10/20/2022	8:32 AM	-0.2552176900	74.100	3.541	5.000	0.0000010000	0.0000007028	5.8544064559E-9	0.0000524000	0.0000000000E+0	0.000	10.600
10/20/2022	8:33 AM	-0.2602466100	74.100	3.556	4.999	0.0000010000	0.0000007051	3.6963214331E-9	0.0000524600	1.0000000000E-8	0.000	10.500
10/20/2022	8:33 AM	-0.2652755300	74.100	3.536	5.000	0.0000010000	0.0000007041	4.7439917976E-9	0.0000524400	1.8708286934E-8	0.000	10.500
10/20/2022	8:34 AM	-0.2703044500	74.100	3.534	5.001	0.0000010000	0.0000007066	8.9141595137E-9	0.0000523800	1.2247448714E-8	0.000	10.500
10/20/2022	8:34 AM	-0.2753333700	74.100	3.532	5.000	0.0000010000	0.0000007065	6.0901585051E-9	0.0000524000	0.0000000000E+0	0.000	10.600
10/20/2022	8:35 AM	-0.2803622900	74.100	3.522	4.997	0.0000010000	0.0000007047	5.1849140413E-9	0.0000523800	1.2247448714E-8	0.000	10.600
10/20/2022	8:35 AM	-0.2853912100	74.100	3.541	5.002	0.0000010000	0.0000007034	5.6948870796E-9	0.0000524700	1.2247448714E-8	0.000	10.500
10/20/2022	8:35 AM	-0.2904201300	74.100	3.520	5.000	0.0000010000	0.0000007123	6.3095146577E-9	0.0000524100	1.0000000000E-8	0.000	10.600
10/20/2022	8:36 AM	-0.2954490500	74.100	3.512	5.000	0.0000010000	0.0000007058	6.2698651836E-9	0.0000524100	1.0000000000E-8	0.000	10.500
10/20/2022	8:36 AM	-0.3004779700	74.100	3.529	5.000	0.0000010000	0.0000007127	5.6415187075E-9	0.0000523600	1.0000000000E-8	0.000	10.700
10/20/2022	8:37 AM	-0.1998995700	74.100	3.515	5.000	0.0000010000	0.0000007141	8.9179260144E-9	0.0000524000	0.0000000000E+0	0.000	10.600
10/20/2022	8:37 AM	-0.1005784000	74.100	3.568	5.007	0.0000010000	0.0000007253	6.4227494990E-9	0.0000524300	1.2247448714E-8	0.000	10.500
10/20/2022	8:38 AM	-0.0502892000	74.100	3.565	5.006	0.0000010000	0.0000007451	1.4509531110E-8	0.0000524900	1.0000000000E-8	0.000	10.500
10/20/2022	8:38 AM	-0.0452602800	74.100	3.519	5.000	0.0000010000	0.0000007130	6.5637752117E-9	0.0000523700	1.2247448714E-8	0.000	10.600
10/20/2022	8:39 AM	-0.0402313600	74.100	3.498	4.995	0.0000010000	0.0000007193	9.5406243523E-9	0.0000524300	1.2247448714E-8	0.000	10.700
10/20/2022	8:39 AM	-0.0352024400	74.100	3.516	5.001	0.0000010000	0.0000007135	4.1888541154E-9	0.0000525000	0.0000000000E+0	0.000	10.600
10/20/2022	8:39 AM	-0.0301735200	74.100	3.521	5.001	0.0000010000	0.0000007223	5.2683006324E-9	0.0000523700	1.2247448714E-8	0.000	10.700
10/20/2022	8:40 AM	-0.0251446000	74.100	3.516	5.002	0.0000010000	0.0000007197	6.5860486776E-9	0.0000518300	1.8814887722E-7	0.000	10.800
10/20/2022	8:40 AM	-0.0201156800	74.100	3.502	4.997	0.0000010000	0.0000007160	4.6639077833E-9	0.0000524200	2.2247448714E-8	0.000	10.800
10/20/2022	8:41 AM	-0.0150867600	74.100	3.509	5.000	0.0000010000	0.0000007110	5.0483198468E-9	0.0000524500	0.0000000000E+0	0.000	10.700
10/20/2022	8:41 AM	-0.0100578400	74.100	3.506	5.002	0.0000010000	0.0000007178	4.9130470836E-9	0.0000524500	1.5811388301E-8	0.000	10.700
10/20/2022	8:42 AM	-0.0050289200	74.100	3.502	4.999	0.0000010000	0.0000007117	7.5699392976E-9	0.0000523900	1.0000000000E-8	0.000	10.700
10/20/2022	8:42 AM	0.0000000000	74.100	3.504	5.001	0.0000010000	0.0000007100	5.4633267837E-9	0.0000524300	1.2247448714E-8	0.000	10.600
10/20/2022	8:42 AM	0.0050289200	74.100	3.510	4.998	0.0000010000	0.0000007221	6.2503083821E-9	0.0000524500	0.0000000000E+0	0.000	10.600
10/20/2022	8:43 AM	0.0100578400	74.100	3.516	5.001	0.0000010000	0.0000007247	1.0306222306E-8	0.0000523900	1.0000000000E-8	0.000	10.600
10/20/2022	8:43 AM	0.0150867600	74.100	3.509	5.001	0.0000010000	0.0000007187	6.3209622849E-9	0.0000524500	0.0000000000E+0	0.000	10.700
10/20/2022	8:44 AM	0.0201156800	74.100	3.500	4.998	0.0000010000	0.0000007219	5.8923234377E-9	0.0000524700	1.2247448714E-8	0.000	10.700
10/20/2022	8:44 AM	0.0251446000	74.100	3.516	5.002	0.0000010000	0.0000007165	7.2882313584E-9	0.0000524600	2.4494897428E-8	0.000	10.700
10/20/2022	8:44 AM	0.0301735200	74.100	3.518	5.002	0.0000010000	0.0000004518	4.6523961959E-8	0.0000523800	1.2247448714E-8	0.000	10.700
10/20/2022	8:45 AM	0.0352024400	74.100	3.520	5.002	0.0000010000	0.0000002758	1.1125194320E-8	0.0000524300	1.2247448714E-8	0.000	10.700
10/20/2022	8:45 AM	0.0402313600	74.100	3.518	5.001	0.0000010000	0.0000001422	5.5694987547E-9	0.0000524000	0.0000000000E+0	0.000	10.600
10/20/2022	8:46 AM	0.0452602800	74.100	3.510	5.000	0.0000010000	0.0000000363	7.9086562259E-9	0.0000523600	1.0000000000E-8	0.000	10.700
