! User Name:	Aditya_Kumar
! Sample Name:	FGT_CPS_ZFCf120K_FC_P8T
! Sample ID:	FGT_CPS_4C
! Date:	11/4/2022	Time:	12:01 AM
! Current Source:	Keithley 224 Current Source
! Voltmeter V1:	Keithley 182 Degital voltmeter
! Voltmeter V2:	Keithley 2182A  NanoVoltmeter
! V1 (volts):	Vxy
! V2 (volts):	Vxx
! Max Field (Tesla):0.600000	! Data points (0_maxT:460.000000	! Average Number:5.000000	
! Comments:	Device was fabricated inside glove box.
! 
! 
! 
! 
! 
Data	Time	Magnetic Field (T)	Helium Level (%)	VTI Temperature (K)	Sample Temparture (K)	Current (A) 	Voltage-1(V)	Std. of V1	Voltage-2 (V)	Std. of V2	VTI  Heater Power (%)	Sample Heater Power (%)
11/4/2022	12:04 AM	0.3004779700	74.100	2.999	4.999	0.0000010000	0.0000060029	7.5256177369E-9	0.0000505500	3.3881317890E-21	2.400	13.600
11/4/2022	12:05 AM	0.1998995700	46.900	12.997	14.994	0.0000010000	0.0000059971	5.3000810533E-9	0.0000506200	1.2247448714E-8	4.800	26.500
11/4/2022	12:06 AM	0.1005784000	46.900	12.993	14.998	0.0000010000	0.0000060096	9.2592410734E-9	0.0000505500	3.3881317890E-21	4.800	26.600
11/4/2022	12:06 AM	0.0000000000	46.900	12.994	14.998	0.0000010000	0.0000060077	6.3404482848E-9	0.0000505800	1.2247448714E-8	4.800	26.600
11/4/2022	12:07 AM	-0.0502892000	46.900	12.995	14.999	0.0000010000	0.0000059948	6.3133095335E-9	0.0000506000	2.4494897428E-8	4.800	26.600
11/4/2022	12:08 AM	-0.1005784000	46.900	12.998	14.999	0.0000010000	0.0000059973	7.7181918077E-9	0.0000505500	3.3881317890E-21	4.800	26.600
11/4/2022	12:08 AM	-0.1056073200	46.900	13.000	15.000	0.0000010000	0.0000060007	4.9177086269E-9	0.0000505900	1.0000000000E-8	4.800	26.600
11/4/2022	12:09 AM	-0.1093790100	46.900	13.001	15.000	0.0000010000	0.0000059978	3.7118167341E-9	0.0000505800	1.2247448714E-8	4.800	26.600
11/4/2022	12:10 AM	-0.1144079300	46.900	13.000	14.999	0.0000010000	0.0000060059	6.3329070814E-9	0.0000505900	1.0000000000E-8	4.800	26.700
11/4/2022	12:10 AM	-0.1194368500	46.900	13.000	15.000	0.0000010000	0.0000059997	6.6630118034E-9	0.0000505500	3.3881317890E-21	4.800	26.600
11/4/2022	12:11 AM	-0.1244657700	46.900	13.001	15.000	0.0000010000	0.0000060083	6.5238697930E-9	0.0000505900	1.0000000000E-8	4.800	26.600
11/4/2022	12:12 AM	-0.1294946900	46.900	13.001	15.000	0.0000010000	0.0000046694	6.6534484592E-9	0.0000497500	2.6315394734E-7	4.800	26.600
11/4/2022	12:13 AM	-0.1345236100	46.900	13.000	15.000	0.0000010000	0.0000046603	6.6012137029E-9	0.0000505800	1.2247448714E-8	4.800	26.600
11/4/2022	12:13 AM	-0.1395525300	46.900	12.998	15.000	0.0000010000	0.0000046626	4.9078217911E-9	0.0000506300	1.2247448714E-8	4.800	26.600
11/4/2022	12:14 AM	-0.1445814500	46.900	13.000	15.000	0.0000010000	0.0000046620	7.0061114501E-9	0.0000505700	1.2247448714E-8	4.800	26.600
11/4/2022	12:15 AM	-0.1496103700	46.900	13.000	15.000	0.0000010000	0.0000046682	8.8670530618E-9	0.0000505800	1.2247448714E-8	4.800	26.600
11/4/2022	12:15 AM	-0.1546392900	46.900	13.000	15.000	0.0000010000	0.0000046648	4.1227458182E-9	0.0000506200	2.2247448714E-8	4.800	26.600
11/4/2022	12:16 AM	-0.1596682100	46.900	13.000	15.000	0.0000010000	0.0000046602	4.3771572231E-9	0.0000505500	2.0000000000E-8	4.800	26.600
11/4/2022	12:17 AM	-0.1646971300	46.900	13.002	15.000	0.0000010000	0.0000046709	5.7397276717E-9	0.0000506000	3.3881317890E-21	4.800	26.600
11/4/2022	12:17 AM	-0.1697260500	46.900	13.001	15.000	0.0000010000	0.0000046721	5.9509208093E-9	0.0000505500	2.4494897428E-8	4.800	26.600
11/4/2022	12:18 AM	-0.1747549700	46.900	13.001	15.000	0.0000010000	0.0000046587	7.5147451849E-9	0.0000506100	2.2247448714E-8	4.800	26.600
11/4/2022	12:19 AM	-0.1797838900	46.900	12.999	15.000	0.0000010000	0.0000046486	1.0722156470E-8	0.0000506000	3.3881317890E-21	4.800	26.600
11/4/2022	12:19 AM	-0.1848128100	46.900	13.000	15.000	0.0000010000	0.0000046680	4.7972094996E-9	0.0000505800	1.2247448714E-8	4.800	26.600
