! User Name:	Aditya_Kumar
! Sample Name:	CH1_FGT_OFGT_hbN_CH2_FGT_OFGT_CPS_FCP8Tf220K
! Sample ID:	MASA697_-2p7V
! Date:	11/30/2023	Time:	11:25 PM
! Current Source:	Keithley 224 Current Source
! Voltmeter V1:	Keithley 182 Degital voltmeter
! Voltmeter V2:	Keithley 2182A  NanoVoltmeter
! V1 (volts):	Rxy
! V2 (volts):	_
! Max Field (Tesla):7.999754	! Data points (0_maxT:3.000000	! Average Number:5.000000	
! Comments:	5mmx10mm, gated in AHE setup
! 
! 
! 
! 
Data	Time	Magnetic Field (T)	Helium Level (%)	VTI Temperature (K)	Sample Temparture (K)	Current (A) 	Voltage-1(V)	Std. of V1	Voltage-2 (V)	Std. of V2	VTI  Heater Power (%)	Sample Heater Power (%)
11/30/2023	11:27 PM	0.3997991400	41.400	2.992	4.997	0.0001000000	-0.0000387975	1.6605369763E-8	-0.0000387975	1.6605369763E-8	2.800	14.900
11/30/2023	11:27 PM	0.3997991400	50.600	7.995	9.991	0.0001000000	-0.0034209074	4.6404907935E-8	-0.0034209074	4.6404907935E-8	4.600	27.800
11/30/2023	11:28 PM	0.3004779700	50.600	8.000	10.008	0.0001000000	-0.0000387926	3.7779414861E-8	-0.0000387926	3.7779414861E-8	4.600	27.500
11/30/2023	11:28 PM	0.3004779700	50.600	8.003	9.993	0.0001000000	-0.0034211479	5.7025031064E-8	-0.0034211479	5.7025031064E-8	4.600	27.800
11/30/2023	11:29 PM	0.1998995700	50.600	7.994	10.006	0.0001000000	-0.0000387918	2.1599380105E-8	-0.0000387918	2.1599380105E-8	4.600	27.600
11/30/2023	11:29 PM	0.1998995700	50.600	8.006	9.993	0.0001000000	-0.0034213536	6.0738897521E-8	-0.0034213536	6.0738897521E-8	4.600	27.800
11/30/2023	11:30 PM	0.1005784000	50.600	7.993	10.003	0.0001000000	-0.0000387853	1.7898145928E-8	-0.0000387853	1.7898145928E-8	4.600	27.700
11/30/2023	11:30 PM	0.1005784000	50.600	8.008	9.996	0.0001000000	-0.0034216408	4.5173911061E-8	-0.0034216408	4.5173911061E-8	4.600	27.700
11/30/2023	11:31 PM	0.0000000000	50.600	7.992	10.002	0.0001000000	-0.0000387973	1.9945390493E-8	-0.0000387973	1.9945390493E-8	4.600	27.700
11/30/2023	11:31 PM	0.0000000000	50.600	8.010	9.995	0.0001000000	-0.0034217412	4.5595035713E-8	-0.0034217412	4.5595035713E-8	4.600	27.700
11/30/2023	11:32 PM	-0.0050289200	50.600	7.992	10.002	0.0001000000	-0.0000388005	1.8183601424E-8	-0.0000388005	1.8183601424E-8	4.600	27.700
11/30/2023	11:32 PM	-0.0050289200	50.600	8.005	9.998	0.0001000000	-0.0034217427	4.4326568213E-8	-0.0034217427	4.4326568213E-8	4.600	27.700
11/30/2023	11:33 PM	-0.0100578400	50.600	7.995	10.001	0.0001000000	-0.0000388113	1.5711371474E-8	-0.0000388113	1.5711371474E-8	4.600	27.700
11/30/2023	11:33 PM	-0.0100578400	50.600	8.004	9.999	0.0001000000	-0.0034216829	4.8178244219E-8	-0.0034216829	4.8178244219E-8	4.600	27.700
11/30/2023	11:34 PM	-0.0150867600	50.600	7.996	9.999	0.0001000000	-0.0000388040	1.6359232312E-8	-0.0000388040	1.6359232312E-8	4.600	27.700
11/30/2023	11:34 PM	-0.0150867600	50.600	8.002	10.002	0.0001000000	-0.0034217947	4.6646555620E-8	-0.0034217947	4.6646555620E-8	4.600	27.700
11/30/2023	11:35 PM	-0.0201156800	50.600	7.999	9.996	0.0001000000	-0.0000387964	1.9353407287E-8	-0.0000387964	1.9353407287E-8	4.600	27.800
11/30/2023	11:35 PM	-0.0201156800	50.600	8.000	10.005	0.0001000000	-0.0034217542	4.8290475517E-8	-0.0034217542	4.8290475517E-8	4.600	27.600
11/30/2023	11:36 PM	-0.0251446000	50.600	8.002	9.996	0.0001000000	-0.0000388040	1.0852558294E-8	-0.0000388040	1.0852558294E-8	4.600	27.800
11/30/2023	11:36 PM	-0.0251446000	50.600	7.996	10.003	0.0001000000	-0.0034217137	4.4612664591E-8	-0.0034217137	4.4612664591E-8	4.600	27.700
11/30/2023	11:37 PM	-0.0301735200	50.600	8.003	9.997	0.0001000000	-0.0000388508	1.5802778811E-8	-0.0000388508	1.5802778811E-8	4.600	27.700
11/30/2023	11:37 PM	-0.0301735200	50.600	7.996	10.002	0.0001000000	-0.0034217180	4.8593428054E-8	-0.0034217180	4.8593428054E-8	4.600	27.700
11/30/2023	11:38 PM	-0.0352024400	50.600	8.004	9.998	0.0001000000	-0.0000388625	1.6695272656E-8	-0.0000388625	1.6695272656E-8	4.600	27.700
11/30/2023	11:38 PM	-0.0352024400	50.600	7.996	10.001	0.0001000000	-0.0034217226	4.5941514239E-8	-0.0034217226	4.5941514239E-8	4.600	27.700
11/30/2023	11:39 PM	-0.0402313600	50.600	8.005	9.999	0.0001000000	-0.0000388514	1.7700644159E-8	-0.0000388514	1.7700644159E-8	4.600	27.700
