! User Name:	Aditya_Kumar
! Sample Name:	Ch1_OFGT_Ch2_OFGT_CPS_FCf290K_P8T_
! Sample ID:	MASA697_-2p7V
! Date:	12/7/2023	Time:	6:43 PM
! Current Source:	Keithley 224 Current Source
! Voltmeter V1:	Keithley 182 Degital voltmeter
! Voltmeter V2:	Keithley 2182A  NanoVoltmeter
! V1 (volts):	Rxy
! V2 (volts):	_
! Max Field (Tesla):7.999754	! Data points (0_maxT:3.000000	! Average Number:5.000000	
! Comments:	5mmx10mm, gated in AHE setup
! 
! 
! 
! 
Data	Time	Magnetic Field (T)	Helium Level (%)	VTI Temperature (K)	Sample Temparture (K)	Current (A) 	Voltage-1(V)	Std. of V1	Voltage-2 (V)	Std. of V2	VTI  Heater Power (%)	Sample Heater Power (%)
12/7/2023	10:20 PM	0.3997991400	41.400	7.996	10.000	0.0001000000	-0.0000506951	1.8383936378E-8	-0.0000506951	1.8383936378E-8	4.000	26.600
12/7/2023	10:21 PM	0.3997991400	41.400	8.003	10.002	0.0001000000	-0.0034225343	4.5943522972E-8	-0.0034225343	4.5943522972E-8	4.000	26.500
12/7/2023	10:21 PM	0.3004779700	41.400	8.003	9.998	0.0001000000	-0.0000506987	1.7840059489E-8	-0.0000506987	1.7840059489E-8	4.000	26.600
12/7/2023	10:21 PM	0.3004779700	41.400	7.997	10.003	0.0001000000	-0.0034225889	4.6162308353E-8	-0.0034225889	4.6162308353E-8	4.000	26.500
12/7/2023	10:22 PM	0.1998995700	41.400	8.000	10.001	0.0001000000	-0.0000506972	2.1141475853E-8	-0.0000506972	2.1141475853E-8	4.000	26.600
12/7/2023	10:22 PM	0.1998995700	41.400	8.001	10.003	0.0001000000	-0.0034228158	4.8302360462E-8	-0.0034228158	4.8302360462E-8	4.000	26.500
12/7/2023	10:22 PM	0.1005784000	41.400	8.001	9.997	0.0001000000	-0.0000507082	1.8208004715E-8	-0.0000507082	1.8208004715E-8	4.000	26.600
12/7/2023	10:22 PM	0.1005784000	41.400	7.996	10.004	0.0001000000	-0.0034230157	4.8506091551E-8	-0.0034230157	4.8506091551E-8	4.000	26.500
12/7/2023	10:23 PM	0.0000000000	41.400	8.001	10.001	0.0001000000	-0.0000507110	1.6080391113E-8	-0.0000507110	1.6080391113E-8	4.000	26.600
12/7/2023	10:23 PM	0.0000000000	41.400	8.002	10.002	0.0001000000	-0.0034231439	4.6940442854E-8	-0.0034231439	4.6940442854E-8	4.000	26.600
12/7/2023	10:23 PM	-0.0050289200	41.400	8.000	9.998	0.0001000000	-0.0000507062	1.4047194436E-8	-0.0000507062	1.4047194436E-8	4.000	26.600
12/7/2023	10:24 PM	-0.0050289200	41.400	7.997	9.999	0.0001000000	-0.0034232192	4.2475717052E-8	-0.0034232192	4.2475717052E-8	4.000	26.600
12/7/2023	10:24 PM	-0.0100578400	41.400	7.996	10.003	0.0001000000	-0.0000507048	1.2911591457E-8	-0.0000507048	1.2911591457E-8	4.000	26.600
12/7/2023	10:24 PM	-0.0100578400	41.400	8.001	10.004	0.0001000000	-0.0034232737	4.7698188858E-8	-0.0034232737	4.7698188858E-8	4.000	26.500
12/7/2023	10:24 PM	-0.0150867600	41.400	8.004	9.999	0.0001000000	-0.0000507050	1.6807226211E-8	-0.0000507050	1.6807226211E-8	4.000	26.600
12/7/2023	10:25 PM	-0.0150867600	41.400	8.001	9.996	0.0001000000	-0.0034232376	4.3299319498E-8	-0.0034232376	4.3299319498E-8	4.000	26.600
12/7/2023	10:25 PM	-0.0201156800	41.400	7.996	9.999	0.0001000000	-0.0000507153	1.5848254634E-8	-0.0000507153	1.5848254634E-8	4.000	26.600
12/7/2023	10:25 PM	-0.0201156800	41.400	7.997	10.003	0.0001000000	-0.0034232179	4.9403476318E-8	-0.0034232179	4.9403476318E-8	4.000	26.500
12/7/2023	10:25 PM	-0.0251446000	41.400	8.002	10.002	0.0001000000	-0.0000507080	1.4883318912E-8	-0.0000507080	1.4883318912E-8	4.000	26.500
12/7/2023	10:26 PM	-0.0251446000	41.400	8.003	9.997	0.0001000000	-0.0034232888	5.5128198820E-8	-0.0034232888	5.5128198820E-8	4.000	26.600
12/7/2023	10:26 PM	-0.0301735200	41.400	7.999	9.997	0.0001000000	-0.0000507062	1.2969935416E-8	-0.0000507062	1.2969935416E-8	4.000	26.700
12/7/2023	10:26 PM	-0.0301735200	41.400	7.995	10.001	0.0001000000	-0.0034232478	4.9167781187E-8	-0.0034232478	4.9167781187E-8	4.000	26.600
12/7/2023	10:26 PM	-0.0352024400	41.400	7.999	10.004	0.0001000000	-0.0000507087	1.3419844354E-8	-0.0000507087	1.3419844354E-8	4.000	26.500
12/7/2023	10:27 PM	-0.0352024400	41.400	8.003	9.999	0.0001000000	-0.0034232497	4.6539590651E-8	-0.0034232497	4.6539590651E-8	4.000	26.600
12/7/2023	10:27 PM	-0.0402313600	41.400	8.002	9.997	0.0001000000	-0.0000507066	1.9842602050E-8	-0.0000507066	1.9842602050E-8	4.000	26.600
12/7/2023	10:27 PM	-0.0402313600	41.400	7.997	9.999	0.0001000000	-0.0034231763	5.2103407503E-8	-0.0034231763	5.2103407503E-8	4.000	26.600
12/7/2023	10:27 PM	-0.0452602800	41.400	7.997	10.003	0.0001000000	-0.0000507063	1.5429069035E-8	-0.0000507063	1.5429069035E-8	4.000	26.600
12/7/2023	10:28 PM	-0.0452602800	41.400	8.002	10.000	0.0001000000	-0.0034233152	4.7711940646E-8	-0.0034233152	4.7711940646E-8	4.000	26.500
12/7/2023	10:28 PM	-0.0502892000	41.400	8.003	9.999	0.0001000000	-0.0000507115	1.4833656934E-8	-0.0000507115	1.4833656934E-8	4.000	26.600
12/7/2023	10:28 PM	-0.0502892000	41.400	7.998	9.998	0.0001000000	-0.0034233070	4.4049243719E-8	-0.0034233070	4.4049243719E-8	4.000	26.600
12/7/2023	10:28 PM	-0.0553181200	41.400	7.996	10.002	0.0001000000	-0.0000507158	2.0622001572E-8	-0.0000507158	2.0622001572E-8	4.000	26.600
12/7/2023	10:29 PM	-0.0553181200	41.400	8.001	10.003	0.0001000000	-0.0034234488	5.0782365725E-8	-0.0034234488	5.0782365725E-8	4.000	26.500
12/7/2023	10:29 PM	-0.0603470400	41.400	8.003	9.998	0.0001000000	-0.0000507119	1.5018825455E-8	-0.0000507119	1.5018825455E-8	4.000	26.600
12/7/2023	10:29 PM	-0.0603470400	41.400	7.997	9.999	0.0001000000	-0.0034233167	4.7994586725E-8	-0.0034233167	4.7994586725E-8	4.000	26.600
12/7/2023	10:30 PM	-0.0653759600	41.400	7.997	10.002	0.0001000000	-0.0000507103	1.8360952313E-8	-0.0000507103	1.8360952313E-8	4.000	26.600
