! User Name:	Aditya_Kumar
! Sample Name:	Ch1_OFGT_Ch2_OFGT_CPS_ZFCf290K_PF2T
! Sample ID:	MASA697_-2p7V
! Date:	12/6/2023	Time:	11:50 PM
! Current Source:	Keithley 224 Current Source
! Voltmeter V1:	Keithley 182 Degital voltmeter
! Voltmeter V2:	Keithley 2182A  NanoVoltmeter
! V1 (volts):	Rxy
! V2 (volts):	_
! Max Field (Tesla):7.999754	! Data points (0_maxT:3.000000	! Average Number:5.000000	
! Comments:	5mmx10mm, gated in AHE setup
! 
! 
! 
! 
Data	Time	Magnetic Field (T)	Helium Level (%)	VTI Temperature (K)	Sample Temparture (K)	Current (A) 	Voltage-1(V)	Std. of V1	Voltage-2 (V)	Std. of V2	VTI  Heater Power (%)	Sample Heater Power (%)
12/6/2023	11:52 PM	0.3997991400	41.400	2.992	4.997	0.0001000000	-0.0000380343	1.6751563485E-8	-0.0000380343	1.6751563485E-8	2.800	14.900
12/6/2023	11:52 PM	0.3997991400	41.400	8.018	9.996	0.0001000000	-0.0034210116	4.6701178595E-8	-0.0034210116	4.6701178595E-8	2.900	25.000
12/6/2023	11:52 PM	0.3004779700	41.400	7.993	9.989	0.0001000000	-0.0000380406	1.5293450392E-8	-0.0000380406	1.5293450392E-8	2.900	25.200
12/6/2023	11:53 PM	0.3004779700	41.400	7.987	10.010	0.0001000000	-0.0034214182	5.2825104039E-8	-0.0034214182	5.2825104039E-8	3.000	24.900
12/6/2023	11:53 PM	0.1998995700	41.400	8.005	10.003	0.0001000000	-0.0000380397	2.0002786383E-8	-0.0000380397	2.0002786383E-8	2.900	25.000
12/6/2023	11:53 PM	0.1998995700	41.400	8.003	10.000	0.0001000000	-0.0034216205	4.8897280887E-8	-0.0034216205	4.8897280887E-8	2.900	25.000
12/6/2023	11:54 PM	0.1005784000	41.400	7.999	9.996	0.0001000000	-0.0000380545	1.4273242142E-8	-0.0000380545	1.4273242142E-8	2.900	25.100
12/6/2023	11:54 PM	0.1005784000	41.400	7.993	10.005	0.0001000000	-0.0034218141	5.1590128408E-8	-0.0034218141	5.1590128408E-8	3.000	25.000
12/6/2023	11:54 PM	0.0000000000	41.400	8.002	10.002	0.0001000000	-0.0000380534	1.4844167126E-8	-0.0000380534	1.4844167126E-8	2.900	25.000
12/6/2023	11:54 PM	0.0000000000	41.400	8.003	10.001	0.0001000000	-0.0034218508	5.2155912303E-8	-0.0034218508	5.2155912303E-8	2.900	25.000
12/6/2023	11:55 PM	-0.0050289200	41.400	8.000	9.997	0.0001000000	-0.0000380497	1.7904255322E-8	-0.0000380497	1.7904255322E-8	2.900	25.100
12/6/2023	11:55 PM	-0.0050289200	41.400	7.994	10.000	0.0001000000	-0.0034217665	4.6157080959E-8	-0.0034217665	4.6157080959E-8	3.000	25.100
12/6/2023	11:55 PM	-0.0100578400	41.400	7.997	10.003	0.0001000000	-0.0000380480	1.5951765901E-8	-0.0000380480	1.5951765901E-8	3.000	25.000
12/6/2023	11:55 PM	-0.0100578400	41.400	8.002	10.002	0.0001000000	-0.0034217899	4.3360110425E-8	-0.0034217899	4.3360110425E-8	3.000	25.000
12/6/2023	11:56 PM	-0.0150867600	41.400	8.003	9.999	0.0001000000	-0.0000380551	1.7107823784E-8	-0.0000380551	1.7107823784E-8	2.900	25.000
12/6/2023	11:56 PM	-0.0150867600	41.400	7.999	9.998	0.0001000000	-0.0034218181	4.6788983697E-8	-0.0034218181	4.6788983697E-8	2.900	25.100
12/6/2023	11:56 PM	-0.0201156800	41.400	7.996	10.001	0.0001000000	-0.0000380434	1.4775894094E-8	-0.0000380434	1.4775894094E-8	3.000	25.000
12/6/2023	11:57 PM	-0.0201156800	41.400	7.998	10.003	0.0001000000	-0.0034218107	4.9404681366E-8	-0.0034218107	4.9404681366E-8	3.000	25.000
12/6/2023	11:57 PM	-0.0251446000	41.400	8.003	10.001	0.0001000000	-0.0000380479	1.4316966207E-8	-0.0000380479	1.4316966207E-8	2.900	25.000
12/6/2023	11:57 PM	-0.0251446000	41.400	8.003	9.998	0.0001000000	-0.0034217882	4.9234122620E-8	-0.0034217882	4.9234122620E-8	2.900	25.100
12/6/2023	11:57 PM	-0.0301735200	41.400	7.998	9.998	0.0001000000	-0.0000380478	1.5085616735E-8	-0.0000380478	1.5085616735E-8	2.900	25.100
12/6/2023	11:58 PM	-0.0301735200	41.400	7.996	10.001	0.0001000000	-0.0034218906	4.6462148096E-8	-0.0034218906	4.6462148096E-8	3.000	25.000
12/6/2023	11:58 PM	-0.0352024400	41.400	7.999	10.003	0.0001000000	-0.0000380453	1.7778306924E-8	-0.0000380453	1.7778306924E-8	3.000	25.000
12/6/2023	11:58 PM	-0.0352024400	41.400	8.003	9.997	0.0001000000	-0.0034217965	5.4401504703E-8	-0.0034217965	5.4401504703E-8	2.900	25.100
12/6/2023	11:58 PM	-0.0402313600	41.400	7.997	9.999	0.0001000000	-0.0000380514	1.8663805420E-8	-0.0000380514	1.8663805420E-8	3.000	25.000
12/6/2023	11:59 PM	-0.0402313600	41.400	7.997	10.001	0.0001000000	-0.0034217461	4.4518138860E-8	-0.0034217461	4.4518138860E-8	3.000	25.000
12/6/2023	11:59 PM	-0.0452602800	41.400	8.000	10.003	0.0001000000	-0.0000380549	1.4066854434E-8	-0.0000380549	1.4066854434E-8	3.000	25.000
12/6/2023	11:59 PM	-0.0452602800	41.400	8.003	10.000	0.0001000000	-0.0034217386	5.0370897714E-8	-0.0034217386	5.0370897714E-8	3.000	25.000
12/7/2023	12:00 AM	-0.0502892000	41.400	8.002	9.997	0.0001000000	-0.0000380489	1.9224004220E-8	-0.0000380489	1.9224004220E-8	2.900	25.100
12/7/2023	12:00 AM	-0.0502892000	41.400	7.997	9.999	0.0001000000	-0.0034216970	4.9307570666E-8	-0.0034216970	4.9307570666E-8	3.000	25.000
12/7/2023	12:00 AM	-0.0553181200	41.400	7.998	10.001	0.0001000000	-0.0000380539	1.3547007795E-8	-0.0000380539	1.3547007795E-8	3.000	25.000
12/7/2023	12:00 AM	-0.0553181200	41.400	8.000	10.001	0.0001000000	-0.0034216627	4.4903344769E-8	-0.0034216627	4.4903344769E-8	3.000	25.000
12/7/2023	12:01 AM	-0.0603470400	41.400	8.002	10.000	0.0001000000	-0.0000380498	1.5784442432E-8	-0.0000380498	1.5784442432E-8	3.000	25.000
12/7/2023	12:01 AM	-0.0603470400	41.400	8.001	9.998	0.0001000000	-0.0034217002	4.7765764134E-8	-0.0034217002	4.7765764134E-8	2.900	25.100
12/7/2023	12:01 AM	-0.0653759600	41.400	7.998	9.999	0.0001000000	-0.0000380555	1.3647767509E-8	-0.0000380555	1.3647767509E-8	3.000	25.000
12/7/2023	12:01 AM	-0.0653759600	41.400	7.996	10.002	0.0001000000	-0.0034218198	4.9987957278E-8	-0.0034218198	4.9987957278E-8	3.000	25.000
12/7/2023	12:02 AM	-0.0704048800	41.400	8.000	10.003	0.0001000000	-0.0000380551	1.5170431940E-8	-0.0000380551	1.5170431940E-8	3.000	25.000
12/7/2023	12:02 AM	-0.0704048800	41.400	8.004	9.999	0.0001000000	-0.0034216720	4.6908939489E-8	-0.0034216720	4.6908939489E-8	3.000	25.000
12/7/2023	12:02 AM	-0.0754338000	41.400	8.002	9.997	0.0001000000	-0.0000380495	1.9120613472E-8	-0.0000380495	1.9120613472E-8	3.000	25.100
12/7/2023	12:02 AM	-0.0754338000	41.400	7.995	9.999	0.0001000000	-0.0034216816	4.7815010103E-8	-0.0034216816	4.7815010103E-8	3.000	25.100
12/7/2023	12:03 AM	-0.0804627200	41.400	7.996	10.002	0.0001000000	-0.0000380532	2.4336308092E-8	-0.0000380532	2.4336308092E-8	3.000	25.000
12/7/2023	12:03 AM	-0.0804627200	41.400	8.002	10.001	0.0001000000	-0.0034216679	5.0993565420E-8	-0.0034216679	5.0993565420E-8	3.000	25.000
12/7/2023	12:03 AM	-0.0854916400	41.400	8.003	9.998	0.0001000000	-0.0000380553	1.7890994223E-8	-0.0000380553	1.7890994223E-8	2.900	25.000
12/7/2023	12:03 AM	-0.0854916400	41.400	7.999	9.998	0.0001000000	-0.0034216146	4.8757754516E-8	-0.0034216146	4.8757754516E-8	3.000	25.100
12/7/2023	12:04 AM	-0.0905205600	41.400	7.996	10.001	0.0001000000	-0.0000380476	1.7658751406E-8	-0.0000380476	1.7658751406E-8	3.000	25.000
12/7/2023	12:04 AM	-0.0905205600	41.400	7.999	10.003	0.0001000000	-0.0034216086	5.0745886105E-8	-0.0034216086	5.0745886105E-8	3.000	25.000
