# FGT/O — R vs T field-cooled sweep (FC-warm, 0.1 T)
# Source file : 20220525_1042_Device3_FGT_O_RvsT_FCW_0.1T_RvsT_2.90E+2KCh1.txt
# Measurement date : 25 May 2022
# Device : Device 3 (FGT/O)
# Protocol : Field-cooled warm (FCW), B_cool = 0.1 T
#
# Column definitions
#   I_A          : Applied current (A) — constant throughout sweep
#   T_K          : Sample temperature (K)
#   Vxy_V        : Antisymmetrised Hall voltage (V_+ - V_-)/2 + 4e-6 offset (V)
#   Vxx_V        : Symmetrised longitudinal voltage V_xx = Rxx * I,
#                  spike-filtered (rolling-median MAD, window=30, threshold=1.5) (V)
#
I_A	T_K	Vxy (V)	V_xx (V)
1.000000E-05	6.234000E+00	5.059370E-06	5.276950E-05
1.000000E-05	6.078000E+00	5.045805E-06	5.275250E-05
1.000000E-05	6.602000E+00	5.044490E-06	5.275025E-05
1.000000E-05	7.017000E+00	5.039450E-06	5.281000E-05
1.000000E-05	7.504000E+00	5.034710E-06	5.288450E-05
1.000000E-05	7.992000E+00	5.024955E-06	5.278650E-05
1.000000E-05	8.488000E+00	5.022980E-06	5.280450E-05
1.000000E-05	8.971000E+00	5.012430E-06	5.290950E-05
1.000000E-05	9.459000E+00	5.007690E-06	5.272950E-05
1.000000E-05	1.006200E+01	5.007825E-06	5.274800E-05
1.000000E-05	1.067600E+01	5.006015E-06	5.271350E-05
1.000000E-05	1.119900E+01	5.001715E-06	5.270550E-05
1.000000E-05	1.170900E+01	4.991985E-06	5.274600E-05
1.000000E-05	1.220100E+01	4.987025E-06	5.275250E-05
1.000000E-05	1.267100E+01	4.988615E-06	5.260100E-05
1.000000E-05	1.312600E+01	4.985410E-06	5.262300E-05
1.000000E-05	1.356400E+01	4.984620E-06	5.268550E-05
1.000000E-05	1.398400E+01	4.981385E-06	5.248750E-05
1.000000E-05	1.438800E+01	4.975330E-06	5.251500E-05
1.000000E-05	1.477900E+01	4.975270E-06	5.254150E-05
1.000000E-05	1.515200E+01	4.971025E-06	5.258000E-05
1.000000E-05	1.551600E+01	4.969545E-06	5.256050E-05
1.000000E-05	1.586300E+01	4.966970E-06	5.244650E-05
1.000000E-05	1.627100E+01	4.962310E-06	5.255650E-05
1.000000E-05	1.671700E+01	4.956910E-06	5.241650E-05
1.000000E-05	1.716100E+01	4.954170E-06	5.256400E-05
1.000000E-05	1.759800E+01	4.960005E-06	5.249550E-05
